Date,Holiday,Holiday_Type
2012/1/1,1,New year
2012/1/2,1,New year (Observed)
2012/1/3,0,None
2012/1/4,0,None
2012/1/5,0,None
2012/1/6,0,None
2012/1/7,1,weekend
2012/1/8,1,weekend
2012/1/9,0,None
2012/1/10,0,None
2012/1/11,0,None
2012/1/12,0,None
2012/1/13,0,None
2012/1/14,1,weekend
2012/1/15,1,weekend
2012/1/16,1,"Birthday of Martin Luther King, Jr."
2012/1/17,0,None
2012/1/18,0,None
2012/1/19,0,None
2012/1/20,0,None
2012/1/21,1,weekend
2012/1/22,1,weekend
2012/1/23,0,None
2012/1/24,0,None
2012/1/25,0,None
2012/1/26,0,None
2012/1/27,0,None
2012/1/28,1,weekend
2012/1/29,1,weekend
2012/1/30,0,None
2012/1/31,0,None
2012/2/1,0,None
2012/2/2,0,None
2012/2/3,0,None
2012/2/4,1,weekend
2012/2/5,1,weekend
2012/2/6,0,None
2012/2/7,0,None
2012/2/8,0,None
2012/2/9,0,None
2012/2/10,0,None
2012/2/11,1,weekend
2012/2/12,1,weekend
2012/2/13,0,None
2012/2/14,0,None
2012/2/15,0,None
2012/2/16,0,None
2012/2/17,0,None
2012/2/18,1,weekend
2012/2/19,1,weekend
2012/2/20,1,Washington's Birthday
2012/2/21,0,None
2012/2/22,0,None
2012/2/23,0,None
2012/2/24,0,None
2012/2/25,1,weekend
2012/2/26,1,weekend
2012/2/27,0,None
2012/2/28,0,None
2012/2/29,0,None
2012/3/1,0,None
2012/3/2,0,None
2012/3/3,1,weekend
2012/3/4,1,weekend
2012/3/5,0,None
2012/3/6,0,None
2012/3/7,0,None
2012/3/8,0,None
2012/3/9,0,None
2012/3/10,1,weekend
2012/3/11,1,weekend
2012/3/12,0,None
2012/3/13,0,None
2012/3/14,0,None
2012/3/15,0,None
2012/3/16,0,None
2012/3/17,1,weekend
2012/3/18,1,weekend
2012/3/19,0,None
2012/3/20,0,None
2012/3/21,0,None
2012/3/22,0,None
2012/3/23,0,None
2012/3/24,1,weekend
2012/3/25,1,weekend
2012/3/26,0,None
2012/3/27,0,None
2012/3/28,0,None
2012/3/29,0,None
2012/3/30,0,None
2012/3/31,1,Cesar Chavez Day
2012/4/1,1,weekend
2012/4/2,0,None
2012/4/3,0,None
2012/4/4,0,None
2012/4/5,0,None
2012/4/6,0,None
2012/4/7,1,weekend
2012/4/8,1,weekend
2012/4/9,0,None
2012/4/10,0,None
2012/4/11,0,None
2012/4/12,0,None
2012/4/13,0,None
2012/4/14,1,weekend
2012/4/15,1,weekend
2012/4/16,0,None
