osmid,source,geometry,created_by,highway,amenity,education,ele,gnis:county_id,gnis:created
153302836,,POINT (-87.6492523 41.871885),Potlatch 0.10f,,university,university,181,031,05/03/1999
153429397,,POINT (-87.6157662 41.8517029),Potlatch 0.5d,,,,,,
258490031,,POINT (-87.6438467 41.9512273),,,parking,,,,
259389081,,POINT (-87.637086 41.9337152),,,hospital,,,,
259578819,,POINT (-87.6496509 41.9664728),Potlatch 0.8b,,hospital,,,,
259749266,,POINT (-87.6224896 41.8353967),,,school,,,,
266656387,,POINT (-87.7623116 41.9703664),,,bus_station,,,,
269688947,,POINT (-87.7721932 42.0040769),,,post_box,,,,
269689207,,POINT (-87.7645605 41.9975483),Potlatch 0.9c,,post_office,,,,
269689708,,POINT (-87.7809228 42.0078098),,,,,,,
269689709,,POINT (-87.7800183 42.0071886),,,,,,,
269689710,,POINT (-87.780263 42.0081566),,,,,,,
269689724,,POINT (-87.780255 42.006608),,,,,,,
269689745,,POINT (-87.7793917 42.0069526),,,,,,,
269690080,,POINT (-87.7792458 42.0066592),,,,,,,
269690133,,POINT (-87.7665686 41.9981762),,,fire_station,,,,
269690452,,POINT (-87.761187 41.99942),Potlatch 0.9c,,school,,,,
269690517,,POINT (-87.7619595 42.0011422),,,,,,,
269690553,,POINT (-87.7611184 42.0006829),,,,,,,
269691036,,POINT (-87.7871251 41.9970471),,,fuel,,,,
269691510,,POINT (-87.7873139 42.0116528),,,,,,,
269691663,,POINT (-87.7637104 41.9984505),Potlatch 0.9c,,,,,,
269691809,,POINT (-87.7795033 42.0075393),,,,,,,
270855658,,POINT (-87.5830705 41.7797426),,,,,,,
271275487,,POINT (-87.6331198 41.8841747),,,theatre,,,,
271275603,,POINT (-87.6255101 41.8848116),,,theatre,,,,
271275710,,POINT (-87.6213182 41.8795714),,,theatre,,,,
271275794,,POINT (-87.6251452 41.8759684),,,theatre,,,,
271278227,,POINT (-87.6067542 41.8917167),Potlatch 0.9c,,theatre,,,,
271278525,,POINT (-87.605819 41.8915514),Potlatch 0.9c,,theatre,,,,
282370094,,POINT (-87.837263 41.9763227),,,,,,,
286083644,,POINT (-87.8069146 42.0186773),Potlatch 0.10b,,fast_food,,,,
286084353,,POINT (-87.7636216 41.9705668),Potlatch 0.10b,,fast_food,,,,
286372329,,POINT (-87.6515509 41.9241721),,,bicycle_parking,,,,
286372562,,POINT (-87.6492816 41.9256056),,,fast_food,,,,
286804754,,POINT (-87.6728822 42.0181184),Potlatch 0.10f,,bus_station,,,,
286855523,,POINT (-87.6352138 41.9227574),,,fountain,,,,
287160477,,POINT (-87.6535249 41.926007),,,,,,,
287160478,,POINT (-87.6535271 41.9256497),,,post_office,,,,
287161903,,POINT (-87.652705 41.9400583),,,restaurant,,,,
287181435,,POINT (-87.6210383 41.883941),Potlatch 0.10b,,bicycle_parking,,,,
287314332,,POINT (-87.6540466 41.9865671),Potlatch 0.10b,,drinking_water,,,,
289550203,,POINT (-87.7677764 41.9453231),Potlatch 0.10b,,hospital,,,,
296374384,,POINT (-87.6850919 41.9223768),,,,,,,
300051942,,POINT (-87.626422 41.8796732),,,fast_food,,,,
305521898,,POINT (-87.7002392 41.9871407),Potlatch 0.10e,,school,,,,
306736993,,POINT (-87.6285662 41.8811013),,,,,,,
306737605,,POINT (-87.6279187 41.8800973),,,fast_food,,,,
306737694,,POINT (-87.6246249 41.8802475),,,fast_food,,,,
306737766,,POINT (-87.626422 41.880648),,,fast_food,,,,
306740690,,POINT (-87.6200181 41.8927808),Potlatch 0.10e,,fast_food,,,,
306741002,,POINT (-87.6096584 41.8914263),Potlatch 0.10e,,restaurant,,,,
306741800,,POINT (-87.609667 41.8919311),Potlatch 0.10e,,restaurant,,,,
306742663,,POINT (-87.6256254 41.8805846),,,pharmacy,,,,
306743175,,POINT (-87.6264274 41.8814867),,,restaurant,,,,
306744246,,POINT (-87.6258852 41.8846597),,,fast_food,,,,
306744421,,POINT (-87.6259067 41.8834107),,,retail,,,,
306744471,,POINT (-87.626481 41.8843674),,,cafe,,,,
306744602,,POINT (-87.6263353 41.8831644),Potlatch 0.10e,,cafe,,,,
307291075,,POINT (-87.6249125 41.8806881),Potlatch 0.10e,,,,,,
307454244,,POINT (-87.6301312 41.8803825),,,restaurant,,,,
307454659,,POINT (-87.6305065 41.8809389),,,fast_food,,,,
307455970,,POINT (-87.6259338 41.8839061),,,fast_food,,,,
308022115,,POINT (-87.7083054 41.9759672),,,fast_food,,,,
308670404,,POINT (-87.6582729 41.9254529),,,library,,,,
308674047,,POINT (-87.6686646 41.9237732),,,fast_food,,,,
308676840,,POINT (-87.6564275 41.9255487),,,fuel,,,,
308677177,,POINT (-87.6568567 41.9254401),,,restaurant,,,,
308677372,,POINT (-87.6685702 41.924878),,,fuel,,,,
310689165,,POINT (-87.6452629 41.9203394),,,,,,,
310689212,,POINT (-87.6466791 41.9203394),,,,,,,
310689234,,POINT (-87.6467392 41.9211504),,,,,,,
310690950,,POINT (-87.6265776 41.8783539),Potlatch 0.10f,,fast_food,,,,
310690970,,POINT (-87.6273347 41.8779269),,,,,,,
310695609,,POINT (-87.6262475 41.8663511),,,,,,,
311438230,,POINT (-87.6883701 41.9300082),,,cinema,,,,
311438932,,POINT (-87.6693323 41.9757947),Potlatch 0.10f,,theatre,,,,
313107974,,POINT (-87.6093038 41.8919284),Potlatch 0.10f,,cinema,,,,
313771462,,POINT (-87.669906 41.8713984),Potlatch 0.10f,,fast_food,,,,
313773968,,POINT (-87.62701 41.8676857),,,pharmacy,,,,
315578664,,POINT (-87.7809522 41.9245519),Potlatch 0.10f,,,,,,
315578665,,POINT (-87.7791241 41.9254332),Potlatch 0.10f,,,,,,
315578666,,POINT (-87.7788236 41.9263719),Potlatch 0.10f,,,,,,
315578667,,POINT (-87.780772 41.926257),Potlatch 0.10f,,,,,,
317637543,,POINT (-87.69856 41.9907178),,,fast_food,,,,
318177032,,POINT (-87.6315213 41.8934867),,,restaurant,,,,
318274065,,POINT (-87.6253974 41.8819749),,,restaurant,,,,
318274413,,POINT (-87.626925 41.8822116),Potlatch 0.10f,,fast_food,,,,
318276729,,POINT (-87.6330295 41.920917),,,cafe,,,,
318276887,,POINT (-87.6234936 41.8826824),,,restaurant,,,,
318841165,,POINT (-87.6342594 41.8864112),,,restaurant,,,,
344806004,,POINT (-87.6377346 41.9035282),,,,,,,
344806011,,POINT (-87.6391428 41.9035461),,,,,,,
344810051,,POINT (-87.6896668 41.9698905),,,fast_food,,,,
344810332,,POINT (-87.7093649 41.9833412),Potlatch 0.10f,,,,,,
345385501,,POINT (-87.648996 41.9374643),,,restaurant,,,,
345399383,,POINT (-87.6438103 41.9020383),,,parking,,,,
346207271,,POINT (-87.66165 41.9290156),,,restaurant,,,,
346210195,,POINT (-87.6535647 41.9291497),,,restaurant,,,,
346217055,,POINT (-87.6790391 41.9597431),Potlatch 0.10f,,post_box,,,,
346233089,,POINT (-87.6835267 41.9612616),,,cafe,,,,
346234680,,POINT (-87.6761596 41.9616382),,,cafe,,,,
346235240,,POINT (-87.6766491 41.9616342),,,restaurant,,,,
346236566,,POINT (-87.6835089 41.9605721),,,restaurant,,,,
346359040,,POINT (-87.6798386 41.9175738),,,pub,,,,
346368476,,POINT (-87.6761732 41.9615509),Potlatch 0.10f,,post_box,,,,
347158474,,POINT (-87.6316738 41.8859392),,,pub,,,,
347160446,,POINT (-87.638364 41.9126984),,,restaurant,,,,
347160634,,POINT (-87.6349479 41.9113379),,,cafe,,,,
347162170,,POINT (-87.6534874 41.9285367),,,cafe,,,,
347301872,,POINT (-87.6789343 41.9547023),Potlatch 0.10f,,cafe,,,,
347433838,,POINT (-87.6532745 41.9291567),,,pub,,,,
