osmid,geometry,created_by,man_made,name,leisure,amenity,addr:street,addr:housenumber
246512355,POINT (-73.990321 40.7359418),Potlatch 0.7,,Union Square,park,,,
248607290,POINT (-73.9908743 40.7021785),Potlatch 0.7b,,,,parking,,
248607421,POINT (-73.9901018 40.701183),Potlatch 0.7b,,,,parking,,
248707866,POINT (-73.9709961 40.7485411),,,,park,,,
274322525,POINT (-73.998362 40.7449803),Potlatch 0.9c,,Clearview Cinema Chelsa,,cinema,,
274323915,POINT (-73.8450742 40.7463713),,,The Unisphere,,,,
276204483,POINT (-73.9371183 40.7493932),Potlatch 0.9c,,,,parking,,
276213017,POINT (-73.8514677 40.7471441),,,New York Hall of Science,,,,
280572143,POINT (-73.9084732 40.770824),Potlatch 0.10,,,,,,
291921307,POINT (-73.9582443 40.7995165),Merkaartor 0.11,,,,drinking_water,,
291921308,POINT (-73.9591241 40.7944484),,,,,drinking_water,,
291921309,POINT (-73.955369 40.7928726),Merkaartor 0.11,,,,drinking_water,,
291921311,POINT (-73.9556265 40.7921984),Merkaartor 0.11,,,,drinking_water,,
299046361,POINT (-73.9852615 40.7585318),,,Times Square,,public_building,,
311366890,POINT (-73.9689522 40.8027944),Potlatch 0.10f,,Nicholas Roerich Museum,,,,
320948228,POINT (-74.0028376 40.7057752),,,South Street Seaport,,,,
320950726,POINT (-74.017522 40.7149885),,,,,ferry_terminal,,
322546340,POINT (-73.9710255 40.773851),Potlatch 0.10f,,,,toilets,,
339045006,POINT (-74.0020605 40.7338255),,,Stonewall Inn,,bar,Christopher Street,53
348454463,POINT (-73.9666324 40.7739996),,,Toilet,,toilets,,
348454541,POINT (-73.9678792 40.7720233),Potlatch 0.10f,,East 72nd Street Playground,playground,,,
349323821,POINT (-73.9769132 40.7625332),,,Five Guys,,restaurant,,
357544003,POINT (-73.8418015 40.6148267),,,Jamaica Bay Wildlife Refuge,park,,,
357544016,POINT (-73.8768025 40.6409373),,,Spring Creek Park,park,,,
357544058,POINT (-73.8534686 40.6778811),,,Acacia Cemetery,,grave_yard,,
357544067,POINT (-73.8825263 40.7677527),,,Vaughn College of Aeronautics and Technology,,school,,
357544071,POINT (-74.0865303 40.5973267),,,Academy of Saint Dorothy,,school,,
357544183,POINT (-73.9029141 40.8217674),,,Addams Vocational High School,,school,,
357544280,POINT (-73.9137481 40.7123248),,,Ahawith Chesed Cemetery,,grave_yard,,
357544551,POINT (-73.9215257 40.8303783),,,All Hallows School,,school,,
357544577,POINT (-73.9445823 40.7012139),,,All Saints High School,,school,,
357544706,POINT (-73.7404097 40.7470466),,,Alley Park,park,,,
357544728,POINT (-74.1012531 40.6370481),,,Allison Park,park,,,
357544809,POINT (-73.9387487 40.6289931),,,Amersfort Park,park,,,
357544886,POINT (-73.7462433 40.6981586),,,Andrew Jackson High School,,school,,
357545021,POINT (-73.8870802 40.8512113),,,Aquinas High School,,school,,
357545298,POINT (-74.163199 40.5998264),,,Asbury Church (historical),,place_of_worship,,
357545339,POINT (-73.8784693 40.7356578),,,Ascension School,,school,,
357545517,POINT (-73.9229149 40.7784347),,,Astoria Park,park,,,
357545607,POINT (-73.9326375 40.6276042),,,Auburn Academy,,school,,
357545623,POINT (-74.0959751 40.6126042),,,Augustinian Academy (historical),,school,,
357545696,POINT (-73.9304152 40.7428798),,,Avation High School,,school,,
357545739,POINT (-73.9637495 40.7634348),,,Aviation Trades High School,,school,,
357545944,POINT (-73.7859666 40.6745478),,,Baisley Pond Park,park,,,
357545993,POINT (-73.9140253 40.8731554),,,Baker Field,park,,,
357546843,POINT (-74.15431 40.6220482),,,Baron Hirsch Cemetery,,grave_yard,,
357547097,POINT (-74.0231955 40.6367706),,,Bay Ridge High School,,school,,
357547103,POINT (-74.0037505 40.627882),,,Bay Ridge High School Annex,,school,,
357547110,POINT (-74.0183664 40.6320816),,,Bay Ridge Hospital - Alcohol and Drug Rehabilitation,,hospital,,
357547151,POINT (-73.855413 40.6778811),,,Bayside Cemetery,,grave_yard,,
357547185,POINT (-73.805981 40.5894569),,,Public School 183,,school,,
357548187,POINT (-73.8984698 40.7070471),,,Benninger Playground,park,,,
357548305,POINT (-74.1862548 40.5231612),,,Intermediate School 7,,school,,
357548361,POINT (-73.98248 40.73262),,,Beth Israel Medical Center,,hospital,,
357548368,POINT (-73.9634717 40.7098248),,,Beth Jacob Seminary,,school,,
357548449,POINT (-74.2347103 40.5155565),,,Bethel Church,,place_of_worship,,
357549086,POINT (-73.9823611 40.6564925),,,Bishop Ford Center Catholic High School,,school,,
357549104,POINT (-73.9779164 40.6159378),,,Bishop Kearney School,,school,,
357549108,POINT (-73.9690632 40.6866962),,,Bishop Loughlin Memorial High School,,school,,
357549381,POINT (-73.8734691 40.7534352),,,Blessed Sacrament School,,school,,
357549387,POINT (-73.8656908 40.829545),,,Blessed Sacrament School,,school,,
357549890,POINT (-73.9120813 40.7587128),,,Boulevard Hospital,,hospital,,
357549973,POINT (-73.8255061 40.7475031),,,New York Hospital Medical Center of Queens,,hospital,,
357549980,POINT (-73.8070783 40.7706573),,,Bowne Park,park,,,
357550025,POINT (-73.9479156 40.6848253),,,Boys High School,,school,,
357550233,POINT (-73.9740274 40.7859344),,,Louis D Brandeis High School,,school,,
357550307,POINT (-73.9595826 40.6256599),,,Braverman High School,,school,,
357550727,POINT (-73.8754132 40.8567668),,,Bronx Park,park,,,
357550733,POINT (-73.8395859 40.8487339),,,Bronx Psychiatric Center,,hospital,,
357550738,POINT (-73.9198591 40.8187118),,,Alfred E Smith High School,,school,,
357550811,POINT (-73.9534714 40.7223245),,,Automotive High School,,school,,
357550821,POINT (-73.9106088 40.5915064),,,Brooklyn Marine Park,park,,,
357550827,POINT (-73.9523602 40.6667701),,,Brooklyn Preparatory School,,school,,
357550833,POINT (-73.9362399 40.6566674),,,Kingsboro Psychiatric Center,,hospital,,
357550955,POINT (-73.7445766 40.6614925),,,Brookville Park,park,,,
357550985,POINT (-73.9431933 40.6734366),,,Brower Park,park,,,
357551141,POINT (-73.91111 40.7575),,,William C Bryant High School,,school,,
357551778,POINT (-73.9118035 40.6970473),,,Bushwick High School,,school,,
357551782,POINT (-73.9240261 40.7028806),,,Maria Hernandez Park,park,,,
357551916,POINT (-73.9318041 40.73288),,,Calvary Cemetery,,grave_yard,,
357552223,POINT (-73.9040255 40.6367708),,,Canarsie Cemetery,,grave_yard,,
357552228,POINT (-73.898192 40.6406596),,,Canarsie High School,,school,,
357552232,POINT (-73.8912474 40.6281598),,,Canarsie Park,park,,,
357552375,POINT (-73.8406899 40.8831553),,,Cardinal Spellman High School,,school,,
357552378,POINT (-73.75694 40.75167),,,Benjamin Cardozo High School,,school,,
357552500,POINT (-73.995417 40.6812142),,,Carroll Park,park,,,
357552616,POINT (-73.7214122 40.7496469),,,Public School Q186 Castlewood,,school,,
357552686,POINT (-73.7334077 40.7471619),,,Cathedral College,,school,,
357552769,POINT (-73.8312457 40.7356579),,,Cedar Grove Cemetery,,grave_yard,,
357552875,POINT (-73.9001366 40.6862142),,,Cemetery of the Evergreens,,grave_yard,,
357553445,POINT (-73.8329124 40.6489928),,,Frank M Charles Memorial Park,park,,,
357553711,POINT (-73.88917 40.71083),,,Christ the King Regional High School,,school,,
