,osmid,geometry,fclass,name
0,153758936,POINT (-87.6163847 41.8518677),attraction,McCormick Place
1,258490031,POINT (-87.6438467 41.9512273),parking,
2,266656387,POINT (-87.7623116 41.9703664),bus_station,Jefferson Park
3,269688947,POINT (-87.7721932 42.0040769),post_box,
4,269689708,POINT (-87.7809228 42.0078098),pitch,
5,269689709,POINT (-87.7800183 42.0071886),pitch,
6,269689710,POINT (-87.780263 42.0081566),pitch,
7,269689724,POINT (-87.780255 42.006608),pitch,
8,269690517,POINT (-87.7619595 42.0011422),pitch,
9,269690553,POINT (-87.7611184 42.0006829),pitch,
10,269691036,POINT (-87.7871251 41.9970471),fuel,
11,269691510,POINT (-87.7873139 42.0116528),motel,
12,269691663,POINT (-87.7634036 41.9988654),bicycle,Edgebrook Cycle
13,270855658,POINT (-87.5830705 41.7797426),pitch,
14,271275487,POINT (-87.6331198 41.8841747),theatre,Cadillac Palace Theatre
15,271275603,POINT (-87.6255101 41.8848116),theatre,Storefront Theater
16,271275710,POINT (-87.6213182 41.8795714),theatre,Rubloff Auditorium
17,271275794,POINT (-87.6251452 41.8759684),theatre,Auditorium Theatre
18,271278227,POINT (-87.6067542 41.8917167),theatre,Navy Pier Skyline Stage
19,271278525,POINT (-87.605819 41.8915514),theatre,Chicago Shakespeare Theater
20,282370094,POINT (-87.8373006 41.9763227),convenience,7-Eleven
21,286372329,POINT (-87.6515509 41.9241721),bicycle_parking,
22,286372562,POINT (-87.6492816 41.9256056),fast_food,McDonald's
23,286804754,POINT (-87.6728822 42.0181184),bus_station,Howard & Paulina Bus Terminal
24,286855523,POINT (-87.6352138 41.9227574),fountain,
25,287160477,POINT (-87.6535249 41.926007),books,DePaul University Bookstore
26,287160478,POINT (-87.6535271 41.9256497),post_office,
27,287161903,POINT (-87.652705 41.9400583),restaurant,Clarke's
28,287181435,POINT (-87.6209999 41.8839379),bicycle_parking,
29,287314332,POINT (-87.654035 41.986611),drinking_water,
30,289550203,POINT (-87.7677764 41.9453231),hospital,Our Lady of Resurrection
31,296374384,POINT (-87.6850919 41.9223768),playground,
32,300051942,POINT (-87.626422 41.8796732),fast_food,McDonald's
33,306736993,POINT (-87.6285662 41.8811013),hotel,Hampton Majestic Inn
34,306737605,POINT (-87.6279187 41.8800973),fast_food,Subway
35,306737694,POINT (-87.6246653 41.8802258),fast_food,Cozi
36,306737766,POINT (-87.626422 41.880648),fast_food,Corner Bakery Cafe
37,306740690,POINT (-87.6200181 41.8927808),fast_food,Einstein Bros. Bagels
38,306741002,POINT (-87.6096584 41.8914263),restaurant,Bubba Gump Shrimp Co.
39,306741800,POINT (-87.609667 41.8919311),restaurant,Capi's Italian Kitchen
40,306742663,POINT (-87.6259094 41.8806046),pharmacy,CVS Pharmacy
41,306743175,POINT (-87.6264274 41.8814867),restaurant,Ada's Famous Deli & Restaurant
42,306744246,POINT (-87.6258852 41.8846597),fast_food,Qdoba Mexican Grill
43,306744421,POINT (-87.6259067 41.8834107),retail,Staples The Office Superstore
44,306744471,POINT (-87.626481 41.8843674),cafe,Starbucks Coffee
45,306744602,POINT (-87.6263353 41.8831644),cafe,Starbucks Coffee
46,307455970,POINT (-87.6259338 41.8839061),fast_food,McDonald's
47,308676840,POINT (-87.6564275 41.9255487),fuel,Mobil
48,308677177,POINT (-87.6568567 41.9254401),restaurant,Branko's Submarines
49,308677372,POINT (-87.6685702 41.924878),fuel,BP
50,310690950,POINT (-87.6265776 41.8783539),fast_food,Arby's
51,310690970,POINT (-87.6273347 41.8779269),books,Barnes and Noble
52,311438932,POINT (-87.6693323 41.9757947),theatre,Neofuturists
53,313107974,POINT (-87.6093038 41.8919284),cinema,Navy Pier IMAX Theatre
54,313771462,POINT (-87.669906 41.8713984),fast_food,Sbarro
55,317637543,POINT (-87.69856 41.9907178),fast_food,Wolfe's
56,318177032,POINT (-87.6315213 41.8934867),restaurant,Portillo's
57,318274065,POINT (-87.6253974 41.8819749),restaurant,Pizano's Pizza & Pasta
58,318274413,POINT (-87.626925 41.8822116),fast_food,Chipotle
59,318276729,POINT (-87.6330295 41.920917),cafe,Park Place Cafe
60,344806004,POINT (-87.6377346 41.9035282),attraction,Seward Fountain
61,344806011,POINT (-87.6391428 41.9035461),attraction,Seward Clock
62,344810332,POINT (-87.7093649 41.9833412),convenience,7-Eleven
63,345385501,POINT (-87.648996 41.9374643),restaurant,Clark St Dog
64,346207271,POINT (-87.66165 41.9290156),restaurant,Rose Angelis
65,346210195,POINT (-87.6535647 41.9291497),restaurant,Lou Malnati's
66,346233089,POINT (-87.6835267 41.9612616),cafe,Julius Meinl
67,346234680,POINT (-87.6761596 41.9616382),cafe,Starbucks
68,346235240,POINT (-87.6766491 41.9616342),restaurant,La Amistad
