,osmid,geometry,fclass,name
0,60471261,POINT (-77.0316916 38.9154323),pub,Cafe Saint Ex
1,291675307,POINT (-77.0463218 38.8992306),university,The George Washington University
2,306011118,POINT (-77.0161077 38.9076915),fire_station,District of Columbia Fire and Emergency Medical Services Engine Company 6
3,306011599,POINT (-77.0496801 38.9055403),fire_station,DC Fire Department Engine Company No. 1
4,306020851,POINT (-77.0109473 38.8958177),fire_station,DC Fire Department Engine Co. 3
5,306026265,POINT (-77.0065721 38.8964028),fountain,
6,306031609,POINT (-77.0250333 38.9234165),fire_station,DC Fire Dept. Engine Co. 4
7,306035513,POINT (-77.0375363 38.9173062),fire_station,DC Fire Dept. Engine Co. 9
8,306496893,POINT (-76.9867404 38.901548),fire_station,DC Fire Department Engine Co. 10
9,306499334,POINT (-77.0330285 38.9322767),fire_station,DC Fire Department Engine Co. 11
10,306500024,POINT (-76.9991556 38.9198168),fire_station,DC Fire Department Engine Co. 12
11,306500868,POINT (-77.0193376 38.8836063),fire_station,DC Fire Department Engine No. 13
12,306504731,POINT (-77.0083178 38.948844),fire_station,DC Fire Department Engine Co. 14
13,306507109,POINT (-76.9860763 38.8648489),fire_station,DC Fire Department Engine Co. 15
14,306508304,POINT (-77.0298202 38.9032103),fire_station,DC Fire Department Engine Co. 16
15,306511453,POINT (-76.9898857 38.9323941),fire_station,DC Fire Department Engine Co. 17
16,306511654,POINT (-76.994654 38.883254),fire_station,DC Fire Department Engine Co. 18
17,306512682,POINT (-76.966929 38.8715774),fire_station,DC Fire Department Engine Co. 19
18,306512939,POINT (-77.0783533 38.9449442),fire_station,DC Fire Department Engine Co. 20
19,306514470,POINT (-77.0422282 38.9247122),fire_station,DC Fire Department Engine Co. 21
20,306515312,POINT (-77.0283389 38.9600288),fire_station,DC Fire Department Engine Co. 22
21,306516395,POINT (-77.0270919 38.9520896),fire_station,DC Fire Department Engine Co. 24
22,306516802,POINT (-77.0007438 38.8432177),fire_station,D Fire Department Engine Co. 25
23,306517458,POINT (-76.9868038 38.924799),fire_station,DC Fire Department Engine Co. 26
24,307053902,POINT (-76.9432387 38.9010638),fire_station,DC Fire Department Engine Co. 27
25,307055376,POINT (-77.0593927 38.9363767),fire_station,DC Fire Department Engine Co. 28
26,307067859,POINT (-77.0935415 38.9156259),fire_station,DC Fire Department Engine Co. 29
27,307072199,POINT (-76.9334296 38.8907105),fire_station,DC Fire Department Engine Co. 30
28,307076753,POINT (-77.0699241 38.9542667),fire_station,DC Fire Department Engine Co. 31
29,307080193,POINT (-76.9713843 38.8526171),fire_station,DC Fire Department Engine Co. 32
30,307120468,POINT (-77.0051261 38.8308851),fire_station,DC Fire Department Engine Co. 33
31,309514349,POINT (-77.07211 38.9068086),bicycle_parking,
32,309514504,POINT (-77.0745001 38.9078818),bicycle_parking,
33,340147839,POINT (-77.0329341 38.9284669),fast_food,Potbelly's
34,340147854,POINT (-77.033256 38.9285921),fast_food,Five Guys
35,356606026,POINT (-77.0111 38.8443),post_office,Bolling Air Force Base Post Office
36,358237577,POINT (-77.0463661 38.9720548),park,Rock Creek Park
37,358243879,POINT (-77.0983116 38.9128892),post_office,Bethesda Annex Post Office
38,358255878,POINT (-77.0784559 38.9660907),place_of_worship,Chevy Chase Baptist Church
39,358256028,POINT (-76.977727 38.945411),place_of_worship,Givens Bible Church
40,358256058,POINT (-76.918069 38.89637),place_of_worship,Holy Truth of God in Christ Jesus Church
41,358256108,POINT (-77.030334 38.987003),place_of_worship,Saint Marys Baptist Church
42,358256156,POINT (-77.0126739 38.9733152),place_of_worship,Takoma Park Seventh Day Adventist Church
43,358256277,POINT (-76.9655041 38.9342396),place_of_worship,Mountain of Fire Miracles Ministries Church
44,358256326,POINT (-76.974868 38.943081),place_of_worship,Northeastern Presbyterian Church
45,358256347,POINT (-76.979309 38.943813),place_of_worship,Rhema Christian Center Church
46,358954671,POINT (-76.9691416 38.8781678),park,Anacostia Park
47,358954680,POINT (-77.00455 38.84156),school,Assumption Elementary School
48,358954684,POINT (-77.0323 38.91794),school,Saint Augustine School
49,358954688,POINT (-76.99691 38.95365),school,Backus Middle School
50,358954698,POINT (-76.9705308 38.9395555),park,Barnard Hill Park
51,358954702,POINT (-76.9969203 38.9009451),school,Blair School
52,358954707,POINT (-76.9827534 38.9203892),park,Brentwood Village Playground
53,358954711,POINT (-76.97089 38.90258),school,Browne Junior High School
54,358954716,POINT (-76.9869199 38.8870564),school,Bryan School
55,358954721,POINT (-77.0171986 38.9087227),school,Bundy School
56,358954726,POINT (-77.0435882 38.9223335),school,Columbian School
57,358954730,POINT (-77.0007631 38.8432257),school,Congress Heights School
58,358954736,POINT (-76.9860867 38.9134449),school,Crummell School
59,358954740,POINT (-76.961086 38.9215004),park,Dakota Playground
60,358954745,POINT (-77.07521 38.95288),school,Deal Junior High School
61,358954748,POINT (-77.0642582 38.9434733),school,University of The District Of Columbia
62,358954752,POINT (-76.9884873 38.8559917),school,Douglass Jr High (former)
63,358954755,POINT (-77.0621997 38.9165003),park,Dumbarton Oaks Park
64,358954758,POINT (-77.0585236 38.9425357),school,Dunbarton College
