,osmid,geometry,fclass,name
0,246512355,POINT (-73.990321 40.7359418),park,Union Square
1,248607290,POINT (-73.9908743 40.7021785),parking,
2,248607421,POINT (-73.9901018 40.701183),parking,
3,248707866,POINT (-73.9709961 40.7485411),park,
4,274322525,POINT (-73.998362 40.7449803),cinema,Clearview Cinema Chelsa
5,274323915,POINT (-73.8450742 40.7463713),attraction,The Unisphere
6,276204483,POINT (-73.9371183 40.7493932),parking,
7,276213017,POINT (-73.8514677 40.7471441),museum,New York Hall of Science
8,280572143,POINT (-73.9084732 40.770824),hotel,
9,291921307,POINT (-73.9582443 40.7995165),drinking_water,
10,291921308,POINT (-73.9591241 40.7944484),drinking_water,
11,291921309,POINT (-73.955369 40.7928726),drinking_water,
12,291921311,POINT (-73.9556265 40.7921984),drinking_water,
13,299046361,POINT (-73.9852615 40.7585318),public_building,Times Square
14,311366890,POINT (-73.9689522 40.8027944),attraction,Nicholas Roerich Museum
15,320948228,POINT (-74.0028376 40.7057752),attraction,South Street Seaport
16,320950726,POINT (-74.017522 40.7149885),ferry_terminal,
17,322546340,POINT (-73.9710255 40.773851),toilets,
18,339045006,POINT (-74.0020605 40.7338255),bar,Stonewall Inn
19,348454463,POINT (-73.9666324 40.7739996),toilets,Toilet
20,348454541,POINT (-73.9678792 40.7720233),playground,East 72nd Street Playground
21,349323821,POINT (-73.9769132 40.7625332),restaurant,Five Guys
22,357544003,POINT (-73.8418015 40.6148267),park,Jamaica Bay Wildlife Refuge
23,357544016,POINT (-73.8768025 40.6409373),park,Spring Creek Park
24,357544058,POINT (-73.8534686 40.6778811),grave_yard,Acacia Cemetery
25,357544067,POINT (-73.8825263 40.7677527),school,Vaughn College of Aeronautics and Technology
26,357544071,POINT (-74.0865303 40.5973267),school,Academy of Saint Dorothy
27,357544183,POINT (-73.9029141 40.8217674),school,Addams Vocational High School
28,357544280,POINT (-73.9137481 40.7123248),grave_yard,Ahawith Chesed Cemetery
29,357544551,POINT (-73.9215257 40.8303783),school,All Hallows School
30,357544577,POINT (-73.9445823 40.7012139),school,All Saints High School
