FID,osm_id,code,fclass,name,lon,lat
0,20954425,2901,toilet, ,-118.2945817,34.1181132
1,26427668,2402,motel,Sterns Motel,-118.434094,33.9966
2,36395349,2721,attraction,Headwaters (nominal source of L.A. River),-118.6018548,34.1952225
3,48900359,2742,viewpoint, ,-116.4824697,32.9344282
4,49736461,2742,viewpoint, ,-116.568725,33.0502268
5,54159406,2907,camera_surveillance, ,-117.5028662,33.7640767
6,54208222,2741,picnic_site,Lake Fulmor Picnic Area,-116.7813666,33.8044942
7,54256956,2422,camp_site,Pinyon Flat Campground,-116.4560367,33.5849851
8,54482677,2724,memorial,"In Memory Of Lt. Ronald E. Wiltse, USA - KIA Vietnam 13 May 1968",-117.5108763,34.107769
9,54484207,2724,memorial,"In Memory Of PFC Calvin Lewis, USA - KIA Vietnam 6 Jan 1969",-117.5115944,34.1080516
10,54496041,2724,memorial,"In Memory Of PFC. Domenic A. Corona, USMC - KIA Vietnam 29 Jul 1966",-117.5088682,34.1122856
11,54539596,2724,memorial,"In Memory Of PFC Joseph P. Marek, USA - KIA Vietnam 15 Nov 1967",-117.511843,34.1089666
12,54551377,2907,camera_surveillance, ,-117.5666175,34.1093076
13,54582542,2724,memorial,"In Memory Of Cpl. Richard A. Burns, USA - KIA Vietnam 28 Feb 1969",-117.5087218,34.1130457
14,54640212,2422,camp_site,Yellow Post #6,-117.0062033,34.3092344
15,54653612,2501,supermarket, ,-116.4848801,33.7954537
16,54699834,2422,camp_site,Santa Rosa Camp YellowStake16,-116.4446955,33.537052
17,54760283,2724,memorial,"In Memory Of PFC Kenneth J. Redondo, USA - Died While in Service to His Country",-117.4947929,34.1199944
18,54762623,2742,viewpoint, ,-117.2494921,34.0286523
19,54762984,2724,memorial,"In Memory Of SP/5 Richard Lane, USA - KIA Vietnam 16 Jun 1968",-117.5075865,34.110289
20,54765891,2724,memorial,"In Memory Of Sgt. Gary E. Hoadley, USA - KIA Vietnam 3 Aug 1968",-117.5124776,34.1093799
21,54867585,2724,memorial,"In Memory Of PFC Richard A. Noelke, USA - KIA Vietnam 6 Nov 1965",-117.4932913,34.1105239
22,54930333,2724,memorial,"In Memory Of Sgt. David J. Rideout, USA - KIA Vietnam 16 Jan 1969",-117.4946369,34.1204639
23,60794627,2302,fast_food,Jack in the Box,-118.1515821,34.0772159
24,72448982,2302,fast_food,Yoshinoya,-118.2160197,34.0762169
25,72448995,2302,fast_food,Jack in the Box,-118.2160126,34.0766932
26,77741928,2301,restaurant,Hometown Buffet,-118.3305106,34.190943
27,86588346,2511,convenience,99 Cents Only,-118.1828915,34.1153033
28,91337204,2742,viewpoint,Creston-Eureka Grade,-120.6267785,35.5086668
29,92261749,2304,pub,The Vault,-117.1816713,34.0544332
30,92276492,2304,pub,Royal Falconer,-117.182418,34.056794
31,92276809,2304,pub,Darby's American Cantina,-117.1824163,34.0565967
32,97045590,2301,restaurant,Benjarong Thai Cuisine,-117.1959165,34.0590042
33,97051991,2001,police, ,-117.1861625,34.0557093
34,98195675,2301,restaurant,Myung GA Tofu and Korean BBQ,-117.2615984,34.0695688
35,98197574,2301,restaurant,Party House Restaurant,-117.279203,34.0867574
36,98199129,2301,restaurant,Pho Ha Vietnamese Restaurant,-117.2768812,34.0916869
