osmid,created_by,geometry,amenity,tourism,name,station,railway,cuisine,shop
110834295,Potlatch 0.5,POINT (145.0249075 -38.4770018),parking,,,,,,
110834482,Potlatch 0.5,POINT (145.023929 -38.4750263),parking,,,,,,
110834645,Potlatch 0.5,POINT (145.0251908 -38.482283),parking,,,,,,
110899379,Potlatch 0.5d,POINT (144.8885647 -38.49312),parking,,,,,,
110899481,,POINT (144.8903915 -38.4929626),parking,,,,,,
110899564,Potlatch 0.5d,POINT (144.8890711 -38.492764),parking,,,,,,
110919044,,POINT (144.9476003 -38.350051),,attraction,Franklin Point,,,,
110919115,,POINT (144.9489017 -38.351077),,viewpoint,Murrays Lookout,,,,
110919163,,POINT (144.9471941 -38.35407),,attraction,Chapmans Point,,,,
114507682,,POINT (145.0668533 -38.2237063),,yes,Tanti Park,preserved,station,,
278104286,Potlatch 0.9c,POINT (144.8976578 -38.3581927),fast_food,,KFC,,,,
278104311,,POINT (144.8986105 -38.3579437),fast_food,,McDonald's,,,burger,
278111859,Potlatch 0.9c,POINT (144.9075541 -38.3561736),,,Safeway,,,,supermarket
278111891,Potlatch 0.9c,POINT (144.9027218 -38.3567861),pub,,Rosebud Hotel,,,,
278111955,,POINT (144.8921262 -38.3615757),,,Coles,,,,supermarket
278113266,Potlatch 0.9c,POINT (144.8937783 -38.3595725),,,Aldi,,,,supermarket
278907064,Potlatch 0.9c,POINT (145.0140229 -38.2665574),parking,,,,,,
278907065,Potlatch 0.9c,POINT (145.0138341 -38.2680602),parking,,,,,,
278907089,,POINT (145.0138677 -38.2677962),toilets,,,,,,
279248794,Potlatch 0.9c,POINT (145.0335739 -38.2185087),pub,,The Royal,,,,
279249060,Potlatch 0.10f,POINT (145.0305022 -38.2448545),pub,,Dava Hotel,,,,
314753593,Potlatch 0.10f,POINT (145.0497393 -38.2387021),parking,,,,,,
314753619,Potlatch 0.10f,POINT (145.0535502 -38.2374886),parking,,,,,,
314753783,Potlatch 0.10f,POINT (145.0529751 -38.2386279),parking,,,,,,
329180615,Merkaartor 0.12,POINT (145.1973134 -38.3099966),parking,,,,,,
329962121,,POINT (145.1907527 -38.3075846),post_office,,,,,,
330379320,,POINT (145.1337253 -38.1552016),fuel,,BP Frankston South,,,,
347280908,,POINT (145.0594863 -38.2156401),parking,,,,,,
347280909,,POINT (145.057882 -38.2165759),parking,,,,,,
347280925,,POINT (145.0593704 -38.2119503),parking,,,,,,
357080092,,POINT (144.9510593 -38.3531424),,viewpoint,,,,,
357808979,Potlatch 0.10f,POINT (145.0542326 -38.2098298),,attraction,Beleura,,,,
364670764,,POINT (145.1230414 -38.143289),post_office,,Australia Post,,,,
364670766,,POINT (145.124954 -38.1420244),parking,,Bayside Shopping Centre Parking,,,,
364670769,,POINT (145.1229336 -38.1439115),cinema,,Hoyts Cinema,,,,
364670789,,POINT (145.122295 -38.1440407),parking,,Bayside Shopping Centre Parking,,,,
364670798,,POINT (145.1226834 -38.1431645),bank,,Commonwealth Bank,,,,
364878387,,POINT (145.1670586 -38.1509074),cinema,,Village Cinemas,,,,
365210654,,POINT (145.136133 -38.1474261),fast_food,,Subway,,,,
365210655,,POINT (145.1215087 -38.1428261),fast_food,,Subway,,,,
365210772,,POINT (145.126413 -38.140202),,,Woolworths,,,,supermarket
365210773,,POINT (145.1234117 -38.1421829),,,Coles,,,,supermarket
365210785,,POINT (145.1670848 -38.1530017),,,Woolworths,,,,supermarket
365210790,,POINT (145.1658349 -38.1533686),,,Woolworths,,,,supermarket
365210902,Merkaartor 0.13,POINT (145.1344906 -38.1487915),fast_food,,Red Rooster,,,,
366792161,,POINT (145.1966947 -38.1510983),,,Coles,,,,supermarket
367121885,,POINT (145.1252492 -38.1472529),fuel,,United,,,,
367127064,Merkaartor 0.13,POINT (145.0401252 -38.2193814),,,Coles,,,,supermarket
367127065,,POINT (145.0402218 -38.2237392),,,Woolworths,,,,supermarket
367127279,,POINT (145.0898802 -38.1838062),,,Woolworths,,,,supermarket
367127558,,POINT (145.0631547 -38.1999877),parking,,Sunnyside Beach,,,,
368387444,,POINT (145.1715701 -38.2244567),,,Woolworths,,,,supermarket
368387447,,POINT (145.170282 -38.2241439),,,Coles,,,,supermarket
369133026,,POINT (145.1412837 -38.1845076),fast_food,,Subway,,,sandwich,
369641654,,POINT (145.2076137 -38.1413318),,,Woolworths,,,,supermarket
369641655,,POINT (145.2086369 -38.1424909),fast_food,,Dominos Pizza,,,,
369641656,,POINT (145.2087254 -38.1425932),fast_food,,Subway,,,,
373087472,Merkaartor 0.12,POINT (145.1960018 -38.3084539),parking,,,,,,
373087473,Merkaartor 0.12,POINT (145.1973724 -38.3088517),parking,,,,,,
373087476,,POINT (145.1965109 -38.308291),toilets,,,,,,
373087501,,POINT (145.1944435 -38.3072647),parking,,,,,,
373098236,,POINT (145.1906991 -38.2908713),fuel,,United,,,,
387995181,,POINT (145.1375727 -38.1479618),parking,,Underground parking entry,,,,
415515179,,POINT (145.1233311 -38.1433523),bank,,ANZ,,,,
415515181,,POINT (145.1232064 -38.1433196),bank,,Westpac,,,,
415515184,,POINT (145.1234612 -38.1437562),fast_food,,Nandos,,,,
