STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTYPE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
KBUR,Burbank,,34.1808,-118.3089,2012-02-29 23:53:00,,OVC,10.0,,52,,,,46.0,,80,,,,29.31,,,,,,58.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 00:46:00,,OVC,10.0,,52,,,,45.0,,76,3.0,230.0,,29.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 00:53:00,,OVC,10.0,,52,,,,45.0,,77,5.0,220.0,,29.31,2.0,Falling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 01:31:00,,OVC,10.0,,52,,,,45.0,,76,,,,29.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 01:53:00,,BKN,10.0,,51,,,,45.0,,80,,,,29.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 02:53:00,,BKN,10.0,,50,,,,44.0,,80,3.0,280.0,,29.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 03:53:00,,OVC,10.0,,49,,,,44.0,,83,,,,29.28,2.0,Falling,,,,53.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 04:53:00,,FEW,10.0,,48,,,,43.0,,83,3.0,290.0,,29.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 05:53:00,,CLR,10.0,,46,,,,41.0,,83,,,,29.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 06:53:00,,SCT,10.0,,47,,,,43.0,,86,3.0,120.0,,29.3,1.0,Rising Rapidly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 07:53:00,,CLR,10.0,,49,,,,43.0,,80,3.0,330.0,,29.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 08:53:00,,CLR,10.0,,52,,,,45.0,,77,,,,29.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 09:53:00,,SCT,10.0,,55,,,,44.0,,67,,,,29.31,0.0,Steady,,,,55.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 10:53:00,,CLR,10.0,,57,,,,42.0,,57,3.0,,,29.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 11:53:00,,SCT,10.0,,59,,,,41.0,,51,8.0,140.0,,29.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 12:53:00,,FEW,10.0,,60,,,,40.0,,47,7.0,130.0,,29.24,2.0,Falling Rapidly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 13:53:00,,SCT,10.0,,60,,,,43.0,,53,9.0,170.0,,29.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 14:53:00,,BKN,10.0,,59,,,,43.0,,55,9.0,180.0,,29.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 15:53:00,,SCT,10.0,,60,,,,42.0,,51,6.0,170.0,,29.2,2.0,Falling,,,,62.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 16:53:00,,CLR,10.0,,59,,,,42.0,,53,6.0,170.0,,29.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 17:53:00,,CLR,10.0,,57,,,,40.0,,53,6.0,180.0,,29.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 18:53:00,,CLR,10.0,,57,,,,33.0,,40,,,,29.19,2.0,Falling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 19:35:00,,CLR,10.0,,57,,,,28.0,,33,22.0,10.0,33.0,29.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBUR,Burbank,,34.1808,-118.3089,2012-03-01 19:53:00,,CLR,10.0,,56,,,,28.0,,34,17.0,360.0,,29.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
