key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KSJC,observation,2017/1/1 2:53,KSJC,San Jose,2017/1/1 0:53,N,40,33,3300,Fair,2,Falling Rapidly,34,40,79,29.91,10,35,120,ESE,,7,,,,0,,Low,35,0,,,,,CLR,,,,,,,,,
KSJC,observation,2017/1/1 3:53,KSJC,San Jose,2017/1/1 1:53,N,41,27,2700,Mostly Cloudy,,,35,41,79,29.92,9,41,,CALM,,0,,,,0,,Low,41,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 4:53,KSJC,San Jose,2017/1/1 2:53,N,42,26,2600,Cloudy,,,36,42,79,29.93,9,38,130,SE,,6,,,,0,,Low,38,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/1 5:53,KSJC,San Jose,2017/1/1 3:53,N,43,26,2600,Cloudy,0,Steady,36,43,76,29.92,10,40,120,ESE,,5,,,,0,,Low,40,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/1 6:11,KSJC,San Jose,2017/1/1 4:11,N,43,26,2600,Cloudy,,,37,43,80,29.91,10,38,120,ESE,,8,,,,0,,Low,38,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/1 6:53,KSJC,San Jose,2017/1/1 4:53,N,43,26,2600,Cloudy,,,37,43,80,29.88,10,39,120,ESE,,7,,,,0,,Low,39,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/1 7:53,KSJC,San Jose,2017/1/1 5:53,N,44,27,2700,Mostly Cloudy,,,36,44,73,29.9,10,40,140,SE,,7,,,,0,,Low,40,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 8:53,KSJC,San Jose,2017/1/1 6:53,D,44,28,2800,Mostly Cloudy,0,Steady,37,44,76,29.9,10,41,130,SE,,6,,,,0,,Low,41,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 9:53,KSJC,San Jose,2017/1/1 7:53,D,44,26,2600,Cloudy,,,37,44,76,29.91,10,42,130,SE,,5,,,,0,,Low,42,1,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/1 10:53,KSJC,San Jose,2017/1/1 8:53,D,46,28,2800,Mostly Cloudy,,,37,46,71,29.91,10,44,140,SE,,5,,,,0,,Low,44,1,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 11:53,KSJC,San Jose,2017/1/1 9:53,D,48,28,2800,Mostly Cloudy,1,Rising,38,48,68,29.92,10,48,,CALM,,0,,,,0,,Low,48,1,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 12:53,KSJC,San Jose,2017/1/1 10:53,D,52,28,2800,Mostly Cloudy,,,39,52,61,29.91,10,52,,CALM,,0,,,,0,,Low,52,1,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 13:53,KSJC,San Jose,2017/1/1 11:53,D,53,28,2800,Mostly Cloudy,,,36,53,52,29.91,10,53,250,WSW,,8,,,,0,,Low,53,2,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 14:53,KSJC,San Jose,2017/1/1 12:53,D,55,30,3000,Partly Cloudy,2,Falling Rapidly,36,55,49,29.88,10,55,300,WNW,,7,,,,0,,Low,55,2,,,,,SCT,,,,,,,,,
KSJC,observation,2017/1/1 15:53,KSJC,San Jose,2017/1/1 13:53,D,55,28,2800,Mostly Cloudy,,,37,55,51,29.87,10,55,250,WSW,,12,,,,0,,Low,55,1,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 16:53,KSJC,San Jose,2017/1/1 14:53,D,54,28,2800,Mostly Cloudy,,,35,54,49,29.86,10,54,250,WSW,,13,,,,0,,Low,54,1,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 17:53,KSJC,San Jose,2017/1/1 15:53,D,54,28,2800,Mostly Cloudy,0,Steady,34,54,47,29.87,10,54,300,WNW,,15,,,,0,,Low,54,1,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 18:53,KSJC,San Jose,2017/1/1 16:53,D,50,30,3000,Partly Cloudy,,,33,50,52,29.88,10,50,280,W,,16,,,,0,,Low,50,1,,,,,SCT,,,,,,,,,
KSJC,observation,2017/1/1 19:53,KSJC,San Jose,2017/1/1 17:53,N,48,27,2700,Mostly Cloudy,,,34,48,58,29.88,10,45,250,WSW,,7,,,,0,,Low,45,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 20:53,KSJC,San Jose,2017/1/1 18:53,N,48,27,2700,Mostly Cloudy,1,Rising Rapidly,34,48,58,29.9,10,46,240,WSW,,5,,,,0,,Low,46,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 21:53,KSJC,San Jose,2017/1/1 19:53,N,46,27,2700,Mostly Cloudy,,,34,46,63,29.91,10,46,,CALM,,0,,,,0,,Low,46,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 22:53,KSJC,San Jose,2017/1/1 20:53,N,48,26,2600,Cloudy,,,35,48,61,29.94,10,48,,VAR,,3,,,,0,,Low,48,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/1 23:53,KSJC,San Jose,2017/1/1 21:53,N,47,26,2600,Cloudy,1,Rising,38,47,71,29.95,10,44,130,SE,,6,,,,0,,Low,44,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 0:53,KSJC,San Jose,2017/1/1 22:53,N,46,26,2600,Cloudy,,,39,46,76,29.95,10,42,110,ESE,,8,,,,0,,Low,42,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 1:53,KSJC,San Jose,2017/1/1 23:53,N,45,26,2600,Cloudy,,,39,45,80,29.93,10,42,120,ESE,,6,56,39,,0,,Low,42,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 2:53,KSJC,San Jose,2017/1/2 0:53,N,45,11,1201,Light Rain,0,Steady,39,45,80,29.94,10,41,120,ESE,,7,,,,0,,Low,41,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 3:53,KSJC,San Jose,2017/1/2 1:53,N,45,26,2600,Cloudy,,,38,45,76,29.95,10,41,120,ESE,,8,,,,0,,Low,41,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 4:53,KSJC,San Jose,2017/1/2 2:53,N,45,11,1201,Light Rain,,,37,45,74,29.96,10,42,110,ESE,,6,,,,0,,Low,42,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 5:53,KSJC,San Jose,2017/1/2 3:53,N,44,11,1201,Light Rain,0,Steady,39,44,82,29.95,8,41,120,ESE,,6,,,0.01,0.01,,Low,41,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 6:53,KSJC,San Jose,2017/1/2 4:53,N,44,26,2600,Cloudy,,,40,44,85,29.95,10,44,70,ENE,,3,,,,0.01,,Low,44,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 7:53,KSJC,San Jose,2017/1/2 5:53,N,44,26,2600,Cloudy,,,40,44,85,29.95,10,41,130,SE,,6,,,,0,,Low,41,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 8:53,KSJC,San Jose,2017/1/2 6:53,D,44,26,2600,Cloudy,0,Steady,39,44,82,29.95,10,39,120,ESE,,9,,,,0,,Low,39,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 9:53,KSJC,San Jose,2017/1/2 7:53,D,45,26,2600,Cloudy,,,39,45,80,29.96,10,40,120,ESE,,9,,,,0,,Low,40,1,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 10:53,KSJC,San Jose,2017/1/2 8:53,D,46,26,2600,Cloudy,,,40,46,79,29.97,10,41,120,ESE,,10,,,,0,,Low,41,1,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 11:53,KSJC,San Jose,2017/1/2 9:53,D,47,26,2600,Cloudy,1,Rising Rapidly,40,47,77,29.99,10,43,120,ESE,,9,,,,0,,Low,43,1,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 12:53,KSJC,San Jose,2017/1/2 10:53,D,48,11,1201,Light Rain,,,41,48,77,29.99,10,44,100,E,,8,,,,0,,Low,44,1,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 13:53,KSJC,San Jose,2017/1/2 11:53,D,47,11,1201,Light Rain,,,40,47,77,29.99,7,47,,CALM,,0,,,,0.03,,Low,47,1,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 14:53,KSJC,San Jose,2017/1/2 12:53,D,49,26,2600,Cloudy,2,Falling Rapidly,42,49,77,29.98,7,49,,CALM,,0,,,,0.02,,Low,49,1,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 15:53,KSJC,San Jose,2017/1/2 13:53,D,50,26,2600,Cloudy,,,43,50,77,29.98,10,50,130,SE,,6,,,,0,,Low,50,1,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 16:53,KSJC,San Jose,2017/1/2 14:53,D,50,28,2800,Mostly Cloudy,,,43,50,77,29.97,10,50,110,ESE,,8,,,,0,,Low,50,1,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/2 17:53,KSJC,San Jose,2017/1/2 15:53,D,51,28,2800,Mostly Cloudy,2,Falling Rapidly,42,51,71,29.97,10,51,120,ESE,,9,,,,0,,Low,51,1,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/2 18:53,KSJC,San Jose,2017/1/2 16:53,D,50,28,2800,Mostly Cloudy,,,42,50,74,29.97,10,50,120,ESE,,8,,,,0,,Low,50,1,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/2 19:53,KSJC,San Jose,2017/1/2 17:53,N,49,27,2700,Mostly Cloudy,,,43,49,80,29.98,10,44,120,ESE,,12,,,,0,,Low,44,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/2 20:53,KSJC,San Jose,2017/1/2 18:53,N,49,27,2700,Mostly Cloudy,1,Rising Rapidly,43,49,80,30,10,44,130,SE,,13,,,,0,,Low,44,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/2 21:53,KSJC,San Jose,2017/1/2 19:53,N,48,27,2700,Mostly Cloudy,,,43,48,83,30,10,43,120,ESE,,13,,,,0,,Low,43,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/2 22:53,KSJC,San Jose,2017/1/2 20:53,N,48,11,1201,Light Rain,,,44,48,86,30.02,10,44,110,ESE,,9,,,,0,,Low,44,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 23:53,KSJC,San Jose,2017/1/2 21:53,N,48,26,2600,Cloudy,1,Rising,43,48,83,30.02,10,44,110,ESE,,8,,,,0,,Low,44,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/3 0:53,KSJC,San Jose,2017/1/2 22:53,N,49,26,2600,Cloudy,,,43,49,80,30.04,10,47,140,SE,,6,,,,0,,Low,47,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/3 1:53,KSJC,San Jose,2017/1/2 23:53,N,49,26,2600,Cloudy,,,44,49,83,30.04,10,46,120,ESE,,7,51,43,,0,,Low,46,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/3 2:06,KSJC,San Jose,2017/1/3 0:06,N,49,26,2600,Cloudy,,,44,49,83,30.04,10,45,120,ESE,,8,,,,0,,Low,45,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/3 2:19,KSJC,San Jose,2017/1/3 0:19,N,49,26,2600,Cloudy,,,44,49,83,30.04,10,45,130,SE,,10,,,,0,,Low,45,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/3 2:40,KSJC,San Jose,2017/1/3 0:40,N,49,26,2600,Cloudy,,,44,49,83,30.04,10,45,130,SE,,8,,,,0,,Low,45,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/3 2:53,KSJC,San Jose,2017/1/3 0:53,N,49,11,1201,Light Rain,0,Steady,44,49,83,30.04,10,45,120,ESE,,8,,,,0,,Low,45,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/3 3:53,KSJC,San Jose,2017/1/3 1:53,N,49,26,2600,Cloudy,,,44,49,83,30.06,10,47,180,S,,6,,,,0.01,,Low,47,0,,,,,OVC,,,,,,,,,
