key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KBUR,observation,2012/3/1 1:53,KBUR,Burbank,2012/2/29 23:53,N,52,26,2600,Cloudy,,,46,52,80,29.31,10,52,,CALM,,,58,38,,,,Low,52,0,,,,,OVC,,,,,,,,,
KBUR,observation,2012/3/1 2:46,KBUR,Burbank,2012/3/1 0:46,N,52,26,2600,Cloudy,,,45,52,76,29.33,10,52,230,SW,,3,,,,,,Low,52,0,,,,,OVC,,,,,,,,,
KBUR,observation,2012/3/1 2:53,KBUR,Burbank,2012/3/1 0:53,N,52,26,2600,Cloudy,2,Falling,45,52,77,29.31,10,52,220,SW,,5,,,,,,Low,52,0,,,,,OVC,,,,,,,,,
KBUR,observation,2012/3/1 3:31,KBUR,Burbank,2012/3/1 1:31,N,52,26,2600,Cloudy,,,45,52,76,29.33,10,52,,CALM,,,,,,,,Low,52,0,,,,,OVC,,,,,,,,,
KBUR,observation,2012/3/1 3:53,KBUR,Burbank,2012/3/1 1:53,N,51,27,2700,Mostly Cloudy,,,45,51,80,29.29,10,51,,CALM,,,,,,,,Low,51,0,,,,,BKN,,,,,,,,,
KBUR,observation,2012/3/1 4:53,KBUR,Burbank,2012/3/1 2:53,N,50,27,2700,Mostly Cloudy,,,44,50,80,29.28,10,50,280,W,,3,,,,,,Low,50,0,,,,,BKN,,,,,,,,,
KBUR,observation,2012/3/1 5:53,KBUR,Burbank,2012/3/1 3:53,N,49,26,2600,Cloudy,2,Falling,44,49,83,29.28,10,49,,CALM,,,53,49,,,,Low,49,0,,,,,OVC,,,,,,,,,
KBUR,observation,2012/3/1 6:53,KBUR,Burbank,2012/3/1 4:53,N,48,33,3300,Fair,,,43,48,83,29.28,10,48,290,WNW,,3,,,,,,Low,48,0,,,,,FEW,,,,,,,,,
KBUR,observation,2012/3/1 7:53,KBUR,Burbank,2012/3/1 5:53,N,46,33,3300,Fair,,,41,46,83,29.29,10,46,,CALM,,,,,,,,Low,46,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 8:53,KBUR,Burbank,2012/3/1 6:53,N,47,29,2900,Partly Cloudy,1,Rising Rapidly,43,47,86,29.3,10,47,120,ESE,,3,,,,,,,47,-2,,,,,SCT,,,,,,,,,
KBUR,observation,2012/3/1 9:53,KBUR,Burbank,2012/3/1 7:53,D,49,34,3400,Fair,,,43,49,80,29.32,10,49,330,NNW,,3,,,,,,Low,49,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 10:53,KBUR,Burbank,2012/3/1 8:53,D,52,34,3400,Fair,,,45,52,77,29.31,10,52,,CALM,,,,,,,,Low,52,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 11:53,KBUR,Burbank,2012/3/1 9:53,D,55,30,3000,Partly Cloudy,0,Steady,44,55,67,29.31,10,55,,CALM,,,55,45,,,,,55,-102,,,,,SCT,,,,,,,,,
KBUR,observation,2012/3/1 12:53,KBUR,Burbank,2012/3/1 10:53,D,57,34,3400,Fair,,,42,57,57,29.29,10,57,,VAR,,3,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 13:53,KBUR,Burbank,2012/3/1 11:53,D,59,30,3000,Partly Cloudy,,,41,59,51,29.27,10,59,140,SE,,8,,,,,,,59,-167,,,,,SCT,,,,,,,,,
KBUR,observation,2012/3/1 14:53,KBUR,Burbank,2012/3/1 12:53,D,60,34,3400,Fair,2,Falling Rapidly,40,60,47,29.24,10,60,130,SE,,7,,,,,,,60,-76,,,,,FEW,,,,,,,,,
KBUR,observation,2012/3/1 15:53,KBUR,Burbank,2012/3/1 13:53,D,60,30,3000,Partly Cloudy,,,43,60,53,29.22,10,60,170,S,,9,,,,,,,60,-123,,,,,SCT,,,,,,,,,
KBUR,observation,2012/3/1 16:53,KBUR,Burbank,2012/3/1 14:53,D,59,28,2800,Mostly Cloudy,,,43,59,55,29.22,10,59,180,S,,9,,,,,,,59,-114,,,,,BKN,,,,,,,,,
KBUR,observation,2012/3/1 17:53,KBUR,Burbank,2012/3/1 15:53,D,60,30,3000,Partly Cloudy,2,Falling,42,60,51,29.2,10,60,170,S,,6,62,54,,,,,60,-31,,,,,SCT,,,,,,,,,
KBUR,observation,2012/3/1 18:53,KBUR,Burbank,2012/3/1 16:53,D,59,34,3400,Fair,,,42,59,53,29.19,10,59,170,S,,6,,,,,,Low,59,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 19:53,KBUR,Burbank,2012/3/1 17:53,D,57,34,3400,Fair,,,40,57,53,29.19,10,57,180,S,,6,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 20:53,KBUR,Burbank,2012/3/1 18:53,N,57,33,3300,Fair,2,Falling,33,57,40,29.19,10,57,,CALM,,,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 21:35,KBUR,Burbank,2012/3/1 19:35,N,57,33,3390,Fair / Windy,,,28,57,33,29.21,10,57,10,N,33,22,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 21:53,KBUR,Burbank,2012/3/1 19:53,N,56,33,3300,Fair,,,28,56,34,29.19,10,56,360,N,,17,,,,,,Low,56,0,,,,,CLR,,,,,,,,,
