key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KSJC,observation,2017/1/1 0:53,KSJC,San Jose,2017010100,N,40.0,33,3300,0100000000,2.0,Falling Rapidly,34.0,40.0,79.0,29.91,10.0,35.0,120.0,ESE,,7.0,,,,0.0,,Low,35.0,0.0,,,,,CLR,,,,,,,,,
KSJC,observation,2017/1/1 1:53,KSJC,San Jose,2017010101,N,41.0,27,2700,1000000000,,,35.0,41.0,79.0,29.92,9.0,41.0,,CALM,,0.0,,,,0.0,,Low,41.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 2:53,KSJC,San Jose,2017010102,N,42.0,26,2600,1000000000,,,36.0,42.0,79.0,29.93,9.0,38.0,130.0,SE,,6.0,,,,0.0,,Low,38.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/1 3:53,KSJC,San Jose,2017010103,N,43.0,26,2600,1000000000,0.0,Steady,36.0,43.0,76.0,29.92,10.0,40.0,120.0,ESE,,5.0,,,,0.0,,Low,40.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/1 4:11,KSJC,San Jose,2017010104,N,43.0,26,2600,1000000000,,,37.0,43.0,80.0,29.895,10.0,38.5,120.0,ESE,,7.5,,,,0.0,,Low,38.5,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/1 5:53,KSJC,San Jose,2017010105,N,44.0,27,2700,1000000000,,,36.0,44.0,73.0,29.9,10.0,40.0,140.0,SE,,7.0,,,,0.0,,Low,40.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 6:53,KSJC,San Jose,2017010106,D,44.0,28,2800,1000000000,0.0,Steady,37.0,44.0,76.0,29.9,10.0,41.0,130.0,SE,,6.0,,,,0.0,,Low,41.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 7:53,KSJC,San Jose,2017010107,D,44.0,26,2600,1000000000,,,37.0,44.0,76.0,29.91,10.0,42.0,130.0,SE,,5.0,,,,0.0,,Low,42.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/1 8:53,KSJC,San Jose,2017010108,D,46.0,28,2800,1000000000,,,37.0,46.0,71.0,29.91,10.0,44.0,140.0,SE,,5.0,,,,0.0,,Low,44.0,1.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 9:53,KSJC,San Jose,2017010109,D,48.0,28,2800,1000000000,1.0,Rising,38.0,48.0,68.0,29.92,10.0,48.0,,CALM,,0.0,,,,0.0,,Low,48.0,1.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 10:53,KSJC,San Jose,2017010110,D,52.0,28,2800,1000000000,,,39.0,52.0,61.0,29.91,10.0,52.0,,CALM,,0.0,,,,0.0,,Low,52.0,1.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 11:53,KSJC,San Jose,2017010111,D,53.0,28,2800,1000000000,,,36.0,53.0,52.0,29.91,10.0,53.0,250.0,WSW,,8.0,,,,0.0,,Low,53.0,2.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 12:53,KSJC,San Jose,2017010112,D,55.0,30,3000,1000000000,2.0,Falling Rapidly,36.0,55.0,49.0,29.88,10.0,55.0,300.0,WNW,,7.0,,,,0.0,,Low,55.0,2.0,,,,,SCT,,,,,,,,,
KSJC,observation,2017/1/1 13:53,KSJC,San Jose,2017010113,D,55.0,28,2800,1000000000,,,37.0,55.0,51.0,29.87,10.0,55.0,250.0,WSW,,12.0,,,,0.0,,Low,55.0,1.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 14:53,KSJC,San Jose,2017010114,D,54.0,28,2800,1000000000,,,35.0,54.0,49.0,29.86,10.0,54.0,250.0,WSW,,13.0,,,,0.0,,Low,54.0,1.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 15:53,KSJC,San Jose,2017010115,D,54.0,28,2800,1000000000,0.0,Steady,34.0,54.0,47.0,29.87,10.0,54.0,300.0,WNW,,15.0,,,,0.0,,Low,54.0,1.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 16:53,KSJC,San Jose,2017010116,D,50.0,30,3000,1000000000,,,33.0,50.0,52.0,29.88,10.0,50.0,280.0,W,,16.0,,,,0.0,,Low,50.0,1.0,,,,,SCT,,,,,,,,,
KSJC,observation,2017/1/1 17:53,KSJC,San Jose,2017010117,N,48.0,27,2700,1000000000,,,34.0,48.0,58.0,29.88,10.0,45.0,250.0,WSW,,7.0,,,,0.0,,Low,45.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 18:53,KSJC,San Jose,2017010118,N,48.0,27,2700,1000000000,1.0,Rising Rapidly,34.0,48.0,58.0,29.9,10.0,46.0,240.0,WSW,,5.0,,,,0.0,,Low,46.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 19:53,KSJC,San Jose,2017010119,N,46.0,27,2700,1000000000,,,34.0,46.0,63.0,29.91,10.0,46.0,,CALM,,0.0,,,,0.0,,Low,46.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/1 20:53,KSJC,San Jose,2017010120,N,48.0,26,2600,1000000000,,,35.0,48.0,61.0,29.94,10.0,48.0,,VAR,,3.0,,,,0.0,,Low,48.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/1 21:53,KSJC,San Jose,2017010121,N,47.0,26,2600,1000000000,1.0,Rising,38.0,47.0,71.0,29.95,10.0,44.0,130.0,SE,,6.0,,,,0.0,,Low,44.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/1 22:53,KSJC,San Jose,2017010122,N,46.0,26,2600,1000000000,,,39.0,46.0,76.0,29.95,10.0,42.0,110.0,ESE,,8.0,,,,0.0,,Low,42.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/1 23:53,KSJC,San Jose,2017010123,N,45.0,26,2600,1000000000,,,39.0,45.0,80.0,29.93,10.0,42.0,120.0,ESE,,6.0,56.0,39.0,,0.0,,Low,42.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 0:53,KSJC,San Jose,2017010200,N,45.0,11,1201,0010000000,0.0,Steady,39.0,45.0,80.0,29.94,10.0,41.0,120.0,ESE,,7.0,,,,0.0,,Low,41.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 1:53,KSJC,San Jose,2017010201,N,45.0,26,2600,1000000000,,,38.0,45.0,76.0,29.95,10.0,41.0,120.0,ESE,,8.0,,,,0.0,,Low,41.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 2:53,KSJC,San Jose,2017010202,N,45.0,11,1201,0010000000,,,37.0,45.0,74.0,29.96,10.0,42.0,110.0,ESE,,6.0,,,,0.0,,Low,42.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 3:53,KSJC,San Jose,2017010203,N,44.0,11,1201,0010000000,0.0,Steady,39.0,44.0,82.0,29.95,8.0,41.0,120.0,ESE,,6.0,,,0.01,0.01,,Low,41.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 4:53,KSJC,San Jose,2017010204,N,44.0,26,2600,1000000000,,,40.0,44.0,85.0,29.95,10.0,44.0,70.0,ENE,,3.0,,,,0.01,,Low,44.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 5:53,KSJC,San Jose,2017010205,N,44.0,26,2600,1000000000,,,40.0,44.0,85.0,29.95,10.0,41.0,130.0,SE,,6.0,,,,0.0,,Low,41.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 6:53,KSJC,San Jose,2017010206,D,44.0,26,2600,1000000000,0.0,Steady,39.0,44.0,82.0,29.95,10.0,39.0,120.0,ESE,,9.0,,,,0.0,,Low,39.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 7:53,KSJC,San Jose,2017010207,D,45.0,26,2600,1000000000,,,39.0,45.0,80.0,29.96,10.0,40.0,120.0,ESE,,9.0,,,,0.0,,Low,40.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 8:53,KSJC,San Jose,2017010208,D,46.0,26,2600,1000000000,,,40.0,46.0,79.0,29.97,10.0,41.0,120.0,ESE,,10.0,,,,0.0,,Low,41.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 9:53,KSJC,San Jose,2017010209,D,47.0,26,2600,1000000000,1.0,Rising Rapidly,40.0,47.0,77.0,29.99,10.0,43.0,120.0,ESE,,9.0,,,,0.0,,Low,43.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 10:53,KSJC,San Jose,2017010210,D,48.0,11,1201,0010000000,,,41.0,48.0,77.0,29.99,10.0,44.0,100.0,E,,8.0,,,,0.0,,Low,44.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 11:53,KSJC,San Jose,2017010211,D,47.0,11,1201,0010000000,,,40.0,47.0,77.0,29.99,7.0,47.0,,CALM,,0.0,,,,0.03,,Low,47.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 12:53,KSJC,San Jose,2017010212,D,49.0,26,2600,1000000000,2.0,Falling Rapidly,42.0,49.0,77.0,29.98,7.0,49.0,,CALM,,0.0,,,,0.02,,Low,49.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 13:53,KSJC,San Jose,2017010213,D,50.0,26,2600,1000000000,,,43.0,50.0,77.0,29.98,10.0,50.0,130.0,SE,,6.0,,,,0.0,,Low,50.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/2 14:53,KSJC,San Jose,2017010214,D,50.0,28,2800,1000000000,,,43.0,50.0,77.0,29.97,10.0,50.0,110.0,ESE,,8.0,,,,0.0,,Low,50.0,1.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/2 15:53,KSJC,San Jose,2017010215,D,51.0,28,2800,1000000000,2.0,Falling Rapidly,42.0,51.0,71.0,29.97,10.0,51.0,120.0,ESE,,9.0,,,,0.0,,Low,51.0,1.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/2 16:53,KSJC,San Jose,2017010216,D,50.0,28,2800,1000000000,,,42.0,50.0,74.0,29.97,10.0,50.0,120.0,ESE,,8.0,,,,0.0,,Low,50.0,1.0,,,,,BKN,,,,,,,,,
