key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KBUR,observation,2012/2/29 23:53,KBUR,Burbank,2012022923,N,52.0,26,2600,1000000000,,,46.0,52.0,80.0,29.31,10.0,52.0,,CALM,,,58.0,38.0,,,,Low,52.0,0.0,,,,,OVC,,,,,,,,,
KBUR,observation,2012/3/1 0:46,KBUR,Burbank,2012030100,N,52.0,26,2600,1000000000,,,45.0,52.0,76.5,29.32,10.0,52.0,230.0,SW,,4.0,,,,,,Low,52.0,0.0,,,,,OVC,,,,,,,,,
KBUR,observation,2012/3/1 1:31,KBUR,Burbank,2012030101,N,51.5,26,2600,1000000000,,,45.0,51.5,78.0,29.31,10.0,51.5,,CALM,,,,,,,,Low,51.5,0.0,,,,,OVC,,,,,,,,,
KBUR,observation,2012/3/1 2:53,KBUR,Burbank,2012030102,N,50.0,27,2700,1000000000,,,44.0,50.0,80.0,29.28,10.0,50.0,280.0,W,,3.0,,,,,,Low,50.0,0.0,,,,,BKN,,,,,,,,,
KBUR,observation,2012/3/1 3:53,KBUR,Burbank,2012030103,N,49.0,26,2600,1000000000,2.0,Falling,44.0,49.0,83.0,29.28,10.0,49.0,,CALM,,,53.0,49.0,,,,Low,49.0,0.0,,,,,OVC,,,,,,,,,
KBUR,observation,2012/3/1 4:53,KBUR,Burbank,2012030104,N,48.0,33,3300,0100000000,,,43.0,48.0,83.0,29.28,10.0,48.0,290.0,WNW,,3.0,,,,,,Low,48.0,0.0,,,,,FEW,,,,,,,,,
KBUR,observation,2012/3/1 5:53,KBUR,Burbank,2012030105,N,46.0,33,3300,0100000000,,,41.0,46.0,83.0,29.29,10.0,46.0,,CALM,,,,,,,,Low,46.0,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 6:53,KBUR,Burbank,2012030106,N,47.0,29,2900,1000000000,1.0,Rising Rapidly,43.0,47.0,86.0,29.3,10.0,47.0,120.0,ESE,,3.0,,,,,,,47.0,-2.0,,,,,SCT,,,,,,,,,
KBUR,observation,2012/3/1 7:53,KBUR,Burbank,2012030107,D,49.0,34,3400,0100000000,,,43.0,49.0,80.0,29.32,10.0,49.0,330.0,NNW,,3.0,,,,,,Low,49.0,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 8:53,KBUR,Burbank,2012030108,D,52.0,34,3400,0100000000,,,45.0,52.0,77.0,29.31,10.0,52.0,,CALM,,,,,,,,Low,52.0,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 9:53,KBUR,Burbank,2012030109,D,55.0,30,3000,1000000000,0.0,Steady,44.0,55.0,67.0,29.31,10.0,55.0,,CALM,,,55.0,45.0,,,,,55.0,-102.0,,,,,SCT,,,,,,,,,
KBUR,observation,2012/3/1 10:53,KBUR,Burbank,2012030110,D,57.0,34,3400,0100000000,,,42.0,57.0,57.0,29.29,10.0,57.0,,VAR,,3.0,,,,,,Low,57.0,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 11:53,KBUR,Burbank,2012030111,D,59.0,30,3000,1000000000,,,41.0,59.0,51.0,29.27,10.0,59.0,140.0,SE,,8.0,,,,,,,59.0,-167.0,,,,,SCT,,,,,,,,,
KBUR,observation,2012/3/1 12:53,KBUR,Burbank,2012030112,D,60.0,34,3400,0100000000,2.0,Falling Rapidly,40.0,60.0,47.0,29.24,10.0,60.0,130.0,SE,,7.0,,,,,,,60.0,-76.0,,,,,FEW,,,,,,,,,
KBUR,observation,2012/3/1 13:53,KBUR,Burbank,2012030113,D,60.0,30,3000,1000000000,,,43.0,60.0,53.0,29.22,10.0,60.0,170.0,S,,9.0,,,,,,,60.0,-123.0,,,,,SCT,,,,,,,,,
KBUR,observation,2012/3/1 14:53,KBUR,Burbank,2012030114,D,59.0,28,2800,1000000000,,,43.0,59.0,55.0,29.22,10.0,59.0,180.0,S,,9.0,,,,,,,59.0,-114.0,,,,,BKN,,,,,,,,,
KBUR,observation,2012/3/1 15:53,KBUR,Burbank,2012030115,D,60.0,30,3000,1000000000,2.0,Falling,42.0,60.0,51.0,29.2,10.0,60.0,170.0,S,,6.0,62.0,54.0,,,,,60.0,-31.0,,,,,SCT,,,,,,,,,
KBUR,observation,2012/3/1 16:53,KBUR,Burbank,2012030116,D,59.0,34,3400,0100000000,,,42.0,59.0,53.0,29.19,10.0,59.0,170.0,S,,6.0,,,,,,Low,59.0,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 17:53,KBUR,Burbank,2012030117,D,57.0,34,3400,0100000000,,,40.0,57.0,53.0,29.19,10.0,57.0,180.0,S,,6.0,,,,,,Low,57.0,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 18:53,KBUR,Burbank,2012030118,N,57.0,33,3300,0100000000,2.0,Falling,33.0,57.0,40.0,29.19,10.0,57.0,,CALM,,,,,,,,Low,57.0,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 19:35,KBUR,Burbank,2012030119,N,56.5,33,3390,0100010000,,,28.0,56.5,33.5,29.20000000000001,10.0,56.5,10.0,N,,19.5,,,,,,Low,56.5,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 20:53,KBUR,Burbank,2012030120,N,56.0,33,3300,0100000000,,,29.0,56.0,36.0,29.2,10.0,56.0,340.0,NNW,24.0,18.0,,,,,,Low,56.0,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 21:53,KBUR,Burbank,2012030121,N,55.0,33,3300,0100000000,1.0,Rising,30.0,55.0,38.0,29.2,10.0,55.0,340.0,NNW,23.0,10.0,60.0,55.0,,,,Low,55.0,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 22:53,KBUR,Burbank,2012030122,N,56.0,33,3300,0100000000,,,30.0,56.0,37.0,29.22,10.0,56.0,330.0,NNW,,6.0,,,,,,Low,56.0,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/1 23:53,KBUR,Burbank,2012030123,N,55.0,33,3300,0100000000,,,31.0,55.0,40.0,29.22,10.0,55.0,,VAR,17.0,3.0,62.0,45.0,,,,Low,55.0,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/2 0:53,KBUR,Burbank,2012030200,N,54.0,33,3300,0100000000,1.0,Rising,35.0,54.0,49.0,29.23,10.0,54.0,110.0,ESE,21.0,10.0,,,,,,Low,54.0,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/2 1:53,KBUR,Burbank,2012030201,N,48.0,33,3300,0100000000,,,42.0,48.0,80.0,29.23,10.0,48.0,,CALM,,,,,,,,Low,48.0,0.0,,,,,CLR,,,,,,,,,
KBUR,observation,2012/3/2 2:53,KBUR,Burbank,2012030202,N,47.0,33,3300,0100000000,,,42.0,47.0,83.0,29.23,10.0,47.0,,CALM,,,,,,,,Low,47.0,0.0,,,,,CLR,,,,,,,,,
