key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KSJC,observation,2017-01-01 02:53:00,KSJC,San Jose,2017-01-01 00:53:00,N,40,33,3300,Fair,2.0,Falling Rapidly,34.0,40.0,79.0,29.91,10.0,35.0,120.0,ESE,,7.0,,,,0.0,,Low,35,0,,,,,CLR,,,,,,,,,
KSJC,observation,2017-01-01 03:53:00,KSJC,San Jose,2017-01-01 01:53:00,N,41,27,2700,Mostly Cloudy,,,35.0,41.0,79.0,29.92,9.0,41.0,,CALM,,0.0,,,,0.0,,Low,41,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017-01-01 04:53:00,KSJC,San Jose,2017-01-01 02:53:00,N,42,26,2600,Cloudy,,,36.0,42.0,79.0,29.93,9.0,38.0,130.0,SE,,6.0,,,,0.0,,Low,38,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017-01-01 05:53:00,KSJC,San Jose,2017-01-01 03:53:00,N,43,26,2600,Cloudy,0.0,Steady,36.0,43.0,76.0,29.92,10.0,40.0,120.0,ESE,,5.0,,,,0.0,,Low,40,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017-01-01 06:11:00,KSJC,San Jose,2017-01-01 04:11:00,N,43,26,2600,Cloudy,,,37.0,43.0,80.0,29.91,10.0,38.0,120.0,ESE,,8.0,,,,0.0,,Low,38,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017-01-01 06:53:00,KSJC,San Jose,2017-01-01 04:53:00,N,43,26,2600,Cloudy,,,37.0,43.0,80.0,29.88,10.0,39.0,120.0,ESE,,7.0,,,,0.0,,Low,39,0,,,,,OVC,,,,,,,,,
KSJC,observation,2017-01-01 07:53:00,KSJC,San Jose,2017-01-01 05:53:00,N,44,27,2700,Mostly Cloudy,,,36.0,44.0,73.0,29.9,10.0,40.0,140.0,SE,,7.0,,,,0.0,,Low,40,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017-01-01 08:53:00,KSJC,San Jose,2017-01-01 06:53:00,D,44,28,2800,Mostly Cloudy,0.0,Steady,37.0,44.0,76.0,29.9,10.0,41.0,130.0,SE,,6.0,,,,0.0,,Low,41,0,,,,,BKN,,,,,,,,,
KSJC,observation,2017-01-01 09:53:00,KSJC,San Jose,2017-01-01 07:53:00,D,44,26,2600,Cloudy,,,37.0,44.0,76.0,29.91,10.0,42.0,130.0,SE,,5.0,,,,0.0,,Low,42,1,,,,,OVC,,,,,,,,,
KSJC,observation,2017-01-01 10:53:00,KSJC,San Jose,2017-01-01 08:53:00,D,46,28,2800,Mostly Cloudy,,,37.0,46.0,71.0,29.91,10.0,44.0,140.0,SE,,5.0,,,,0.0,,Low,44,1,,,,,BKN,,,,,,,,,
KSJC,observation,2017-01-01 11:53:00,KSJC,San Jose,2017-01-01 09:53:00,D,48,28,2800,Mostly Cloudy,1.0,Rising,38.0,48.0,68.0,29.92,10.0,48.0,,CALM,,0.0,,,,0.0,,Low,48,1,,,,,BKN,,,,,,,,,
