key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KBUR,observation,2012-03-01 01:53:00,KBUR,Burbank,2012-02-29 23:53:00,N,52,26,2600,Cloudy,,,46.0,52,80,29.31,10.0,52,,CALM,,,58.0,38.0,,,,Low,52,0,,,,,OVC,,,,,,,,,
KBUR,observation,2012-03-01 02:46:00,KBUR,Burbank,2012-03-01 00:46:00,N,52,26,2600,Cloudy,,,45.0,52,76,29.33,10.0,52,230.0,SW,,3.0,,,,,,Low,52,0,,,,,OVC,,,,,,,,,
KBUR,observation,2012-03-01 02:53:00,KBUR,Burbank,2012-03-01 00:53:00,N,52,26,2600,Cloudy,2.0,Falling,45.0,52,77,29.31,10.0,52,220.0,SW,,5.0,,,,,,Low,52,0,,,,,OVC,,,,,,,,,
KBUR,observation,2012-03-01 03:31:00,KBUR,Burbank,2012-03-01 01:31:00,N,52,26,2600,Cloudy,,,45.0,52,76,29.33,10.0,52,,CALM,,,,,,,,Low,52,0,,,,,OVC,,,,,,,,,
KBUR,observation,2012-03-01 03:53:00,KBUR,Burbank,2012-03-01 01:53:00,N,51,27,2700,Mostly Cloudy,,,45.0,51,80,29.29,10.0,51,,CALM,,,,,,,,Low,51,0,,,,,BKN,,,,,,,,,
KBUR,observation,2012-03-01 04:53:00,KBUR,Burbank,2012-03-01 02:53:00,N,50,27,2700,Mostly Cloudy,,,44.0,50,80,29.28,10.0,50,280.0,W,,3.0,,,,,,Low,50,0,,,,,BKN,,,,,,,,,
KBUR,observation,2012-03-01 05:53:00,KBUR,Burbank,2012-03-01 03:53:00,N,49,26,2600,Cloudy,2.0,Falling,44.0,49,83,29.28,10.0,49,,CALM,,,53.0,49.0,,,,Low,49,0,,,,,OVC,,,,,,,,,
KBUR,observation,2012-03-01 06:53:00,KBUR,Burbank,2012-03-01 04:53:00,N,48,33,3300,Fair,,,43.0,48,83,29.28,10.0,48,290.0,WNW,,3.0,,,,,,Low,48,0,,,,,FEW,,,,,,,,,
KBUR,observation,2012-03-01 07:53:00,KBUR,Burbank,2012-03-01 05:53:00,N,46,33,3300,Fair,,,41.0,46,83,29.29,10.0,46,,CALM,,,,,,,,Low,46,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012-03-01 08:53:00,KBUR,Burbank,2012-03-01 06:53:00,N,47,29,2900,Partly Cloudy,1.0,Rising Rapidly,43.0,47,86,29.3,10.0,47,120.0,ESE,,3.0,,,,,,,47,-2,,,,,SCT,,,,,,,,,
KBUR,observation,2012-03-01 09:53:00,KBUR,Burbank,2012-03-01 07:53:00,D,49,34,3400,Fair,,,43.0,49,80,29.32,10.0,49,330.0,NNW,,3.0,,,,,,Low,49,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012-03-01 10:53:00,KBUR,Burbank,2012-03-01 08:53:00,D,52,34,3400,Fair,,,45.0,52,77,29.31,10.0,52,,CALM,,,,,,,,Low,52,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012-03-01 11:53:00,KBUR,Burbank,2012-03-01 09:53:00,D,55,30,3000,Partly Cloudy,0.0,Steady,44.0,55,67,29.31,10.0,55,,CALM,,,55.0,45.0,,,,,55,-102,,,,,SCT,,,,,,,,,
KBUR,observation,2012-03-01 12:53:00,KBUR,Burbank,2012-03-01 10:53:00,D,57,34,3400,Fair,,,42.0,57,57,29.29,10.0,57,,VAR,,3.0,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012-03-01 13:53:00,KBUR,Burbank,2012-03-01 11:53:00,D,59,30,3000,Partly Cloudy,,,41.0,59,51,29.27,10.0,59,140.0,SE,,8.0,,,,,,,59,-167,,,,,SCT,,,,,,,,,
KBUR,observation,2012-03-01 14:53:00,KBUR,Burbank,2012-03-01 12:53:00,D,60,34,3400,Fair,2.0,Falling Rapidly,40.0,60,47,29.24,10.0,60,130.0,SE,,7.0,,,,,,,60,-76,,,,,FEW,,,,,,,,,
KBUR,observation,2012-03-01 15:53:00,KBUR,Burbank,2012-03-01 13:53:00,D,60,30,3000,Partly Cloudy,,,43.0,60,53,29.22,10.0,60,170.0,S,,9.0,,,,,,,60,-123,,,,,SCT,,,,,,,,,
KBUR,observation,2012-03-01 16:53:00,KBUR,Burbank,2012-03-01 14:53:00,D,59,28,2800,Mostly Cloudy,,,43.0,59,55,29.22,10.0,59,180.0,S,,9.0,,,,,,,59,-114,,,,,BKN,,,,,,,,,
KBUR,observation,2012-03-01 17:53:00,KBUR,Burbank,2012-03-01 15:53:00,D,60,30,3000,Partly Cloudy,2.0,Falling,42.0,60,51,29.2,10.0,60,170.0,S,,6.0,62.0,54.0,,,,,60,-31,,,,,SCT,,,,,,,,,
KBUR,observation,2012-03-01 18:53:00,KBUR,Burbank,2012-03-01 16:53:00,D,59,34,3400,Fair,,,42.0,59,53,29.19,10.0,59,170.0,S,,6.0,,,,,,Low,59,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012-03-01 19:53:00,KBUR,Burbank,2012-03-01 17:53:00,D,57,34,3400,Fair,,,40.0,57,53,29.19,10.0,57,180.0,S,,6.0,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012-03-01 20:53:00,KBUR,Burbank,2012-03-01 18:53:00,N,57,33,3300,Fair,2.0,Falling,33.0,57,40,29.19,10.0,57,,CALM,,,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
KBUR,observation,2012-03-01 21:35:00,KBUR,Burbank,2012-03-01 19:35:00,N,57,33,3390,Fair / Windy,,,28.0,57,33,29.21,10.0,57,10.0,N,33.0,22.0,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
