key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KMDW,observation,2017/1/30 23:49,KMDW,Chicago/Midway,2017013023,N,39.0,26,2600,1000000000,,,28.5,39.0,66.0,28.83,10.0,31.5,240.0,WSW,24.0,13.5,,,,0.0,,Low,31.5,0.0,,,,,OVC,,,,,,,,,
KMDW,observation,2017/1/31 0:53,KMDW,Chicago/Midway,2017013100,N,39.0,11,1201,0010000000,,,32.0,39.0,76.0,28.83,7.0,30.0,270.0,W,25.0,16.0,,,,0.0,,Low,30.0,0.0,,,,,OVC,,,,,,,,,
KMDW,observation,2017/1/31 1:53,KMDW,Chicago/Midway,2017013101,N,38.0,11,1201,0010000000,,,32.0,38.0,79.0,28.85,6.0,29.0,260.0,W,25.0,16.0,,,,0.0,,Low,29.0,0.0,,,,,OVC,,,,,,,,,
KMDW,observation,2017/1/31 2:53,KMDW,Chicago/Midway,2017013102,N,38.0,9,901,0010000000,1.0,Rising Rapidly,32.0,38.0,79.0,28.87,6.0,29.0,280.0,W,28.0,16.0,,,,0.01,,Low,29.0,0.0,,,,,OVC,,,,,,,,,
KMDW,observation,2017/1/31 3:53,KMDW,Chicago/Midway,2017013103,N,39.0,26,2690,1000010000,,,32.0,39.0,76.0,28.89,10.0,28.0,280.0,W,32.0,23.0,,,,0.0,,Low,28.0,0.0,,,,,OVC,,,,,,,,,
KMDW,observation,2017/1/31 4:53,KMDW,Chicago/Midway,2017013104,N,39.0,9,901,0010000000,,,31.0,39.0,73.0,28.91,10.0,30.0,280.0,W,25.0,17.0,,,,0.0,,Low,30.0,0.0,,,,,OVC,,,,,,,,,
KMDW,observation,2017/1/31 5:53,KMDW,Chicago/Midway,2017013105,N,38.0,9,901,0010000000,1.0,Rising Rapidly,32.0,38.0,79.0,28.94,10.0,29.0,280.0,W,28.0,17.0,,,0.01,0.0,,Low,29.0,0.0,,,,,OVC,,,,,,,,,
KMDW,observation,2017/1/31 6:53,KMDW,Chicago/Midway,2017013106,D,39.0,9,901,0010000000,,,31.0,39.0,73.0,28.97,10.0,31.0,270.0,W,25.0,14.0,,,,0.0,,Low,31.0,0.0,,,,,OVC,,,,,,,,,
KMDW,observation,2017/1/31 7:53,KMDW,Chicago/Midway,2017013107,D,39.0,26,2600,1000000000,,,31.0,39.0,73.0,28.99,10.0,31.0,260.0,W,25.0,14.0,,,,0.0,,Low,31.0,1.0,,,,,OVC,,,,,,,,,
KMDW,observation,2017/1/31 8:53,KMDW,Chicago/Midway,2017013108,D,39.0,26,2600,1000000000,1.0,Rising,30.0,39.0,70.0,29.02,10.0,30.0,270.0,W,26.0,17.0,,,,0.0,,Low,30.0,1.0,,,,,OVC,,,,,,,,,
