key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KDCA,observation,2017/2/9 23:52,KDCA,Washington/Natl,2017020923,N,26.0,33.0,3390.0,0100010000,,,5.0,26.0,41.0,30.24,10.0,12.0,320.0,NW,29.0,21.0,53.0,26.0,,0.0,,Low,12.0,0.0,,,,,FEW,,,,,,,,,
KDCA,observation,2017/2/10 0:52,KDCA,Washington/Natl,2017021000,N,25.0,33.0,3300.0,0100000000,1.0,Rising,4.0,25.0,41.0,30.27,10.0,12.0,320.0,NW,26.0,17.0,,,,0.0,,Low,12.0,0.0,,,,,FEW,,,,,,,,,
KDCA,observation,2017/2/10 1:52,KDCA,Washington/Natl,2017021001,N,24.0,33.0,3300.0,0100000000,,,5.0,24.0,44.0,30.29,10.0,12.0,300.0,WNW,20.0,14.0,,,,0.0,,Low,12.0,0.0,,,,,FEW,,,,,,,,,
KDCA,observation,2017/2/10 2:52,KDCA,Washington/Natl,2017021002,N,24.0,33.0,3300.0,0100000000,,,6.0,24.0,46.0,30.3,10.0,12.0,310.0,NW,,13.0,,,,0.0,,Low,12.0,0.0,,,,,FEW,,,,,,,,,
KDCA,observation,2017/2/10 3:52,KDCA,Washington/Natl,2017021003,N,24.0,33.0,3300.0,0100000000,1.0,Rising,6.0,24.0,46.0,30.31,10.0,12.0,290.0,WNW,20.0,13.0,,,,0.0,,Low,12.0,0.0,,,,,FEW,,,,,,,,,
KDCA,observation,2017/2/10 4:52,KDCA,Washington/Natl,2017021004,N,24.0,33.0,3300.0,0100000000,,,6.0,24.0,46.0,30.34,10.0,13.0,340.0,NNW,,12.0,,,,0.0,,Low,13.0,0.0,,,,,CLR,,,,,,,,,
KDCA,observation,2017/2/10 5:52,KDCA,Washington/Natl,2017021005,N,24.0,33.0,3300.0,0100000000,,,7.0,24.0,48.0,30.36,10.0,16.0,280.0,W,,7.0,,,,0.0,,Low,16.0,0.0,,,,,CLR,,,,,,,,,
KDCA,observation,2017/2/10 6:19,KDCA,Washington/Natl,2017021006,N,24.0,27.0,2700.0,1000000000,,,7.0,24.0,48.0,30.38000000000001,10.0,16.0,310.0,NW,,7.0,,,,0.0,,Low,16.0,0.0,,,,,BKN,,,,,,,,,
KDCA,observation,2017/2/10 7:52,KDCA,Washington/Natl,2017021007,D,25.0,26.0,2600.0,1000000000,,,9.0,25.0,51.0,30.41,10.0,16.0,260.0,W,,8.0,,,,0.0,,Low,16.0,1.0,,,,,BKN,,,,,,,,,
KDCA,observation,2017/2/10 8:52,KDCA,Washington/Natl,2017021008,D,27.0,28.0,2800.0,1000000000,,,9.0,27.0,47.0,30.41,10.0,18.0,250.0,WSW,,9.0,,,,0.0,,Low,18.0,1.0,,,,,BKN,,,,,,,,,
KDCA,observation,2017/2/10 9:52,KDCA,Washington/Natl,2017021009,D,30.0,28.0,2800.0,1000000000,1.0,Rising,7.0,30.0,38.0,30.41,10.0,21.0,270.0,W,,12.0,,,,0.0,,Low,21.0,1.0,,,,,BKN,,,,,,,,,
KDCA,observation,2017/2/10 10:52,KDCA,Washington/Natl,2017021010,D,32.0,28.0,2800.0,1000000000,,,7.0,32.0,35.0,30.42,10.0,22.0,240.0,WSW,21.0,15.0,,,,0.0,,Low,22.0,2.0,,,,,BKN,,,,,,,,,
KDCA,observation,2017/2/10 11:52,KDCA,Washington/Natl,2017021011,D,35.0,30.0,3000.0,1000000000,,,6.0,35.0,30.0,30.37,10.0,27.0,240.0,WSW,,12.0,,,,0.0,,Moderate,27.0,3.0,,,,,SCT,,,,,,,,,
KDCA,observation,2017/2/10 12:52,KDCA,Washington/Natl,2017021012,D,37.0,30.0,3000.0,1000000000,2.0,Falling Rapidly,7.0,37.0,29.0,30.33,10.0,28.0,230.0,SW,18.0,14.0,,,,0.0,,Moderate,28.0,3.0,,,,,SCT,,,,,,,,,
