key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
YMML,observation,2021/8/16 0:00,YMML,Melbourne,2021081600,N,54.5,27.0,2700.0,1000000000,,,44.0,54.5,67.5,29.68,6.0,54.5,290.0,WNW,,18.5,,,,,,Low,54.5,0.0,,,,,BKN,,,,,,,,,
YMML,observation,2021/8/16 1:00,YMML,Melbourne,2021081601,N,54.0,27.0,2780.0,0010000000,,,43.66666666666666,54.0,68.66666666666667,29.68,6.0,54.0,280.0,W,,17.0,,,,,,Low,54.0,0.0,,,,,BKN,,,,,,,,,
YMML,observation,2021/8/16 2:00,YMML,Melbourne,2021081602,N,51.0,27.0,2700.0,1000000000,,,45.0,51.0,79.0,29.68,6.0,51.0,280.0,W,,13.5,,,,,,Low,51.0,0.0,,,,,BKN,,,,,,,,,
YMML,observation,2021/8/16 3:00,YMML,Melbourne,2021081603,N,51.0,27.0,2700.0,1000000000,,,45.0,51.0,79.0,29.68,6.0,51.0,290.0,WNW,,14.0,,,,,,Low,51.0,0.0,,,,,BKN,,,,,,,,,
YMML,observation,2021/8/16 4:00,YMML,Melbourne,2021081604,N,51.0,27.0,2700.0,1000000000,,,45.5,51.0,81.5,29.68,6.0,51.0,300.0,WNW,,9.0,,,,,,Low,51.0,0.0,,,,,BKN,,,,,,,,,
YMML,observation,2021/8/16 5:00,YMML,Melbourne,2021081605,N,49.0,27.0,2700.0,1000000000,,,45.0,49.0,84.5,29.68,6.0,46.5,280.0,W,,12.5,,,,,,Low,46.5,0.0,,,,,BKN,,,,,,,,,
YMML,observation,2021/8/16 6:00,YMML,Melbourne,2021081606,N,50.0,27.0,2700.0,1000000000,,,44.0,50.0,79.0,29.68,6.0,50.0,280.0,W,,13.0,,,,,,Low,50.0,0.0,,,,,BKN,,,,,,,,,
YMML,observation,2021/8/16 7:00,YMML,Melbourne,2021081607,D,50.0,11.0,1101.0,0010000000,,,43.66666666666666,50.0,78.0,29.71,6.0,50.0,300.0,WNW,,14.333333333333336,,,,,,Low,50.0,0.0,,,,,BKN,,,,,,,,,
YMML,observation,2021/8/16 8:00,YMML,Melbourne,2021081608,D,51.0,28.0,2800.0,1000000000,,,43.0,51.0,73.5,29.71,6.0,51.0,270.0,W,,12.5,,,,,,Low,51.0,0.0,,,,,BKN,,,,,,,,,
YMML,observation,2021/8/16 9:00,YMML,Melbourne,2021081609,D,51.2,11.0,1101.0,0010000000,,,45.0,51.2,79.4,29.74,5.0,51.2,260.0,W,,20.0,,,,,,Low,51.2,0.6,,,,,BKN,,,,,,,,,
YMML,observation,2021/8/16 10:00,YMML,Melbourne,2021081610,D,50.5,11.0,1191.0,0010010000,,,46.0,50.5,85.75,29.74,3.5,50.5,260.0,W,,19.0,,,,,,Low,50.5,1.0,,,,,OVC,,,,,,,,,
YMML,observation,2021/8/16 11:00,YMML,Melbourne,2021081611,D,54.66666666666666,28.0,2800.0,1000000000,,,42.333333333333336,54.66666666666666,62.66666666666666,29.74,6.0,54.66666666666666,250.0,WSW,,18.0,,,,,,Low,54.66666666666666,1.0,,,,,BKN,,,,,,,,,
