key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KLGA,observation,2014/2/15 23:51,KLGA,Nyc/La Guardia,2014021523,N,28.0,29.0,2990.0,1000010000,,,15.0,28.0,58.0,29.71,10.0,14.0,310.0,NW,30.0,23.0,37.0,28.0,,,,Low,14.0,0.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/2/16 0:51,KLGA,Nyc/La Guardia,2014021600,N,27.0,33.0,3300.0,0100000000,1.0,Rising,14.0,27.0,58.0,29.73,10.0,14.0,310.0,NW,37.0,20.0,33.0,27.0,,,,Low,14.0,0.0,,,,,FEW,,,,,,,,,
KLGA,observation,2014/2/16 1:51,KLGA,Nyc/La Guardia,2014021601,N,27.0,33.0,3390.0,0100010000,,,13.0,27.0,56.0,29.75,10.0,13.0,300.0,WNW,36.0,22.0,,,,,,Low,13.0,0.0,,,,,FEW,,,,,,,,,
KLGA,observation,2014/2/16 2:51,KLGA,Nyc/La Guardia,2014021602,N,25.0,33.0,3300.0,0100000000,,,11.0,25.0,55.0,29.78,10.0,11.0,310.0,NW,29.0,20.0,,,,,,Low,11.0,0.0,,,,,FEW,,,,,,,,,
KLGA,observation,2014/2/16 3:51,KLGA,Nyc/La Guardia,2014021603,N,25.0,33.0,3300.0,0100000000,1.0,Rising,11.0,25.0,55.0,29.8,10.0,12.0,310.0,NW,26.0,17.0,,,,,,Low,12.0,0.0,,,,,FEW,,,,,,,,,
KLGA,observation,2014/2/16 4:51,KLGA,Nyc/La Guardia,2014021604,N,24.0,33.0,3300.0,0100000000,,,10.0,24.0,55.0,29.84,10.0,10.0,310.0,NW,28.0,20.0,,,,,,Low,10.0,0.0,,,,,FEW,,,,,,,,,
KLGA,observation,2014/2/16 5:51,KLGA,Nyc/La Guardia,2014021605,N,23.0,29.0,2900.0,1000000000,,,8.0,23.0,53.0,29.87,10.0,10.0,290.0,WNW,23.0,15.0,,,,,,Low,10.0,0.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/2/16 6:51,KLGA,Nyc/La Guardia,2014021606,N,22.0,27.0,2700.0,1000000000,1.0,Rising,9.0,22.0,58.0,29.89,10.0,9.0,300.0,WNW,22.0,14.0,27.0,22.0,,,,Low,9.0,0.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/2/16 7:51,KLGA,Nyc/La Guardia,2014021607,D,22.0,28.0,2800.0,1000000000,,,8.0,22.0,55.0,29.91,10.0,8.0,300.0,WNW,,17.0,,,,,,,8.0,-7.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/2/16 8:51,KLGA,Nyc/La Guardia,2014021608,D,24.0,28.0,2800.0,1000000000,,,9.0,24.0,53.0,29.91,10.0,11.0,310.0,NW,,17.0,,,,,,,11.0,-33.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/2/16 9:51,KLGA,Nyc/La Guardia,2014021609,D,24.0,28.0,2800.0,1000000000,1.0,Rising,9.0,24.0,53.0,29.92,10.0,12.0,290.0,WNW,,14.0,,,,,,,12.0,-74.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/2/16 10:51,KLGA,Nyc/La Guardia,2014021610,D,25.0,28.0,2800.0,1000000000,,,8.0,25.0,49.0,29.94,10.0,14.0,290.0,WNW,20.0,12.0,,,,,,,14.0,-112.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/2/16 11:51,KLGA,Nyc/La Guardia,2014021611,D,27.0,28.0,2800.0,1000000000,,,10.0,27.0,49.0,29.93,10.0,15.0,290.0,WNW,20.0,15.0,,,,,,,15.0,-134.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/2/16 12:51,KLGA,Nyc/La Guardia,2014021612,D,28.0,28.0,2800.0,1000000000,2.0,Falling Rapidly,8.0,28.0,43.0,29.92,10.0,17.0,300.0,WNW,21.0,14.0,28.0,22.0,,,,,17.0,-129.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/2/16 13:51,KLGA,Nyc/La Guardia,2014021613,D,29.0,28.0,2800.0,1000000000,,,9.0,29.0,43.0,29.91,10.0,20.0,300.0,WNW,,10.0,,,,,,,20.0,-99.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/2/16 14:51,KLGA,Nyc/La Guardia,2014021614,D,29.0,26.0,2600.0,1000000000,,,9.0,29.0,43.0,29.91,10.0,18.0,310.0,NW,20.0,14.0,,,,,,,18.0,-78.0,,,,,OVC,,,,,,,,,
KLGA,observation,2014/2/16 15:51,KLGA,Nyc/La Guardia,2014021615,D,29.0,26.0,2600.0,1000000000,0.0,Steady,7.0,29.0,40.0,29.91,10.0,19.0,300.0,WNW,22.0,13.0,,,,,,,19.0,-29.0,,,,,OVC,,,,,,,,,
KLGA,observation,2014/2/16 16:51,KLGA,Nyc/La Guardia,2014021616,D,29.0,26.0,2600.0,1000000000,,,8.0,29.0,41.0,29.91,10.0,21.0,280.0,W,,8.0,,,,,,,21.0,-5.0,,,,,OVC,,,,,,,,,
KLGA,observation,2014/2/16 17:51,KLGA,Nyc/La Guardia,2014021617,D,28.0,26.0,2600.0,1000000000,,,7.0,28.0,41.0,29.94,10.0,18.0,290.0,WNW,24.0,12.0,,,,,,Low,18.0,0.0,,,,,OVC,,,,,,,,,
