key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KSJC,observation,2017/1/21 0:53,KSJC,San Jose,2017012100,N,46.0,26,2600,1000000000,1.0,Rising,43.0,46.0,89.0,29.5,10.0,44.0,80.0,E,,5.0,,,,0.0,,Low,44.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/21 1:53,KSJC,San Jose,2017012101,N,46.0,27,2700,1000000000,,,42.0,46.0,86.0,29.53,10.0,43.0,70.0,ENE,,6.0,,,,0.0,,Low,43.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/21 2:53,KSJC,San Jose,2017012102,N,45.0,27,2700,1000000000,,,44.0,45.0,97.0,29.56,10.0,41.0,120.0,ESE,,8.0,,,,0.03,,Low,41.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/21 3:53,KSJC,San Jose,2017012103,N,44.0,29,2900,1000000000,1.0,Rising,43.0,44.0,96.0,29.57,10.0,40.0,100.0,E,,7.0,,,0.74,0.0,,Low,40.0,0.0,,,,,FEW,,,,,,,,,
KSJC,observation,2017/1/21 4:53,KSJC,San Jose,2017012104,N,45.0,27,2700,1000000000,,,42.0,45.0,90.0,29.61,10.0,41.0,120.0,ESE,,8.0,,,,0.0,,Low,41.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/21 5:53,KSJC,San Jose,2017012105,N,46.0,11,1201,0010000000,,,45.0,46.0,96.0,29.64,10.0,42.0,100.0,E,,7.0,,,,0.0,,Low,42.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/21 6:53,KSJC,San Jose,2017012106,D,47.0,28,2800,1000000000,1.0,Rising,45.0,47.0,93.0,29.67,10.0,45.0,70.0,ENE,,5.0,,,,0.0,,Low,45.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/21 7:53,KSJC,San Jose,2017012107,D,45.0,28,2800,1000000000,,,45.0,45.0,100.0,29.72,10.0,43.0,130.0,SE,,5.0,,,,0.0,,Low,43.0,1.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/21 8:53,KSJC,San Jose,2017012108,D,48.0,26,2600,1000000000,,,45.0,48.0,89.0,29.75,10.0,46.0,110.0,ESE,,5.0,,,,0.01,,Low,46.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/21 9:53,KSJC,San Jose,2017012109,D,52.0,28,2800,1000000000,1.0,Rising,46.0,52.0,80.0,29.78,10.0,52.0,120.0,ESE,,9.0,,,,0.0,,Low,52.0,1.0,,,,,BKN,,,,,,,,,
