key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KMDW,observation,2014/9/23 23:51,KMDW,Chicago/Midway,2014092323,N,61.0,29,2900,1000000000,,,53.0,61.0,75.0,29.64,10.0,61.0,120.0,ESE,,5.0,,,,0.0,,Low,61.0,0.0,,,,,SCT,,,,,,,,,
KMDW,observation,2014/9/24 0:51,KMDW,Chicago/Midway,2014092400,N,61.0,33,3300,0100000000,1.0,Rising Rapidly,52.0,61.0,72.0,29.65,10.0,61.0,140.0,SE,,6.0,76.0,50.0,,0.0,,Low,61.0,0.0,,,,,FEW,,,,,,,,,
KMDW,observation,2014/9/24 1:51,KMDW,Chicago/Midway,2014092401,N,60.0,29,2900,1000000000,,,51.0,60.0,72.0,29.65,10.0,60.0,140.0,SE,,5.0,,,,0.0,,Low,60.0,0.0,,,,,FEW,,,,,,,,,
KMDW,observation,2014/9/24 2:51,KMDW,Chicago/Midway,2014092402,N,59.0,33,3300,0100000000,,,50.0,59.0,72.0,29.64,10.0,59.0,150.0,SSE,,6.0,,,,0.0,,Low,59.0,0.0,,,,,CLR,,,,,,,,,
KMDW,observation,2014/9/24 3:51,KMDW,Chicago/Midway,2014092403,N,57.0,33,3300,0100000000,0.0,Steady,50.0,57.0,77.0,29.65,10.0,57.0,160.0,SSE,,3.0,,,,0.0,,Low,57.0,0.0,,,,,FEW,,,,,,,,,
KMDW,observation,2014/9/24 4:51,KMDW,Chicago/Midway,2014092404,N,57.0,33,3300,0100000000,,,50.0,57.0,77.0,29.65,10.0,57.0,120.0,ESE,,3.0,,,,0.0,,Low,57.0,0.0,,,,,FEW,,,,,,,,,
KMDW,observation,2014/9/24 5:51,KMDW,Chicago/Midway,2014092405,N,57.0,29,2900,1000000000,,,50.0,57.0,77.0,29.66,10.0,57.0,120.0,ESE,,5.0,,,,0.0,,Low,57.0,0.0,,,,,SCT,,,,,,,,,
KMDW,observation,2014/9/24 6:51,KMDW,Chicago/Midway,2014092406,D,57.0,30,3000,1000000000,1.0,Rising Rapidly,49.0,57.0,74.0,29.67,10.0,57.0,,CALM,,0.0,,,,0.0,,Low,57.0,1.0,,,,,SCT,,,,,,,,,
KMDW,observation,2014/9/24 7:51,KMDW,Chicago/Midway,2014092407,D,60.0,28,2800,1000000000,,,50.0,60.0,69.0,29.68,10.0,60.0,140.0,SE,,7.0,,,,0.0,,Low,60.0,1.0,,,,,BKN,,,,,,,,,
KMDW,observation,2014/9/24 8:51,KMDW,Chicago/Midway,2014092408,D,63.0,28,2800,1000000000,,,50.0,63.0,63.0,29.69,10.0,63.0,150.0,SSE,,5.0,,,,0.0,,Low,63.0,1.0,,,,,BKN,,,,,,,,,
KMDW,observation,2014/9/24 9:51,KMDW,Chicago/Midway,2014092409,D,66.0,26,2600,1000000000,1.0,Rising,50.0,66.0,56.0,29.7,10.0,66.0,190.0,S,,6.0,,,,0.0,,Low,66.0,2.0,,,,,BKN,,,,,,,,,
KMDW,observation,2014/9/24 10:51,KMDW,Chicago/Midway,2014092410,D,71.0,30,3000,1000000000,,,48.0,71.0,44.0,29.69,10.0,71.0,170.0,S,,9.0,,,,0.0,,Moderate,71.0,3.0,,,,,SCT,,,,,,,,,
KMDW,observation,2014/9/24 11:51,KMDW,Chicago/Midway,2014092411,D,73.0,30,3000,1000000000,,,48.0,73.0,41.0,29.67,10.0,73.0,200.0,SSW,,9.0,,,,0.0,,Moderate,73.0,4.0,,,,,SCT,,,,,,,,,
KMDW,observation,2014/9/24 12:51,KMDW,Chicago/Midway,2014092412,D,74.0,28,2800,1000000000,2.0,Falling Rapidly,47.0,74.0,38.0,29.66,10.0,74.0,,VAR,17.0,5.0,,,,0.0,,Moderate,74.0,4.0,,,,,BKN,,,,,,,,,
KMDW,observation,2014/9/24 13:51,KMDW,Chicago/Midway,2014092413,D,74.0,28,2800,1000000000,,,45.0,74.0,35.0,29.63,10.0,74.0,,VAR,,5.0,,,,0.0,,Moderate,74.0,3.0,,,,,BKN,,,,,,,,,
KMDW,observation,2014/9/24 14:51,KMDW,Chicago/Midway,2014092414,D,76.0,26,2600,1000000000,,,46.0,76.0,35.0,29.61,10.0,76.0,140.0,SE,,10.0,,,,0.0,,Moderate,76.0,3.0,,,,,BKN,,,,,,,,,
