key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KDCA,observation,2014/9/13 23:52,KDCA,Washington/Natl,2014091323,N,64.0,33.0,3300.0,0100000000,,,55.0,64.0,72.0,30.21,10.0,64.0,330.0,NNW,,9.0,,,,0.0,,Low,64.0,0.0,,,,,FEW,,,,,,,,,
KDCA,observation,2014/9/14 0:52,KDCA,Washington/Natl,2014091400,N,63.0,33.0,3300.0,0100000000,,,54.0,63.0,72.0,30.21,10.0,63.0,330.0,NNW,,12.0,73.0,63.0,,0.0,,Low,63.0,0.0,,,,,CLR,,,,,,,,,
KDCA,observation,2014/9/14 1:52,KDCA,Washington/Natl,2014091401,N,62.0,33.0,3300.0,0100000000,1.0,Rising Rapidly,52.0,62.0,70.0,30.22,10.0,62.0,330.0,NNW,,12.0,,,,0.0,,Low,62.0,0.0,,,,,CLR,,,,,,,,,
KDCA,observation,2014/9/14 2:52,KDCA,Washington/Natl,2014091402,N,60.0,33.0,3300.0,0100000000,,,50.0,60.0,69.0,30.22,10.0,60.0,330.0,NNW,,9.0,,,,0.0,,Low,60.0,0.0,,,,,CLR,,,,,,,,,
KDCA,observation,2014/9/14 3:52,KDCA,Washington/Natl,2014091403,N,59.0,33.0,3300.0,0100000000,,,49.0,59.0,69.0,30.23,10.0,59.0,330.0,NNW,,9.0,,,,0.0,,Low,59.0,0.0,,,,,CLR,,,,,,,,,
KDCA,observation,2014/9/14 4:52,KDCA,Washington/Natl,2014091404,N,58.0,33.0,3300.0,0100000000,1.0,Rising Rapidly,49.0,58.0,72.0,30.25,10.0,58.0,330.0,NNW,,8.0,,,,0.0,,Low,58.0,0.0,,,,,CLR,,,,,,,,,
KDCA,observation,2014/9/14 5:52,KDCA,Washington/Natl,2014091405,N,56.0,33.0,3300.0,0100000000,,,48.0,56.0,75.0,30.26,10.0,56.0,340.0,NNW,,6.0,,,,0.0,,Low,56.0,0.0,,,,,FEW,,,,,,,,,
KDCA,observation,2014/9/14 6:52,KDCA,Washington/Natl,2014091406,D,56.0,30.0,3000.0,1000000000,,,47.0,56.0,72.0,30.28,10.0,56.0,330.0,NNW,,6.0,,,,0.0,,Low,56.0,0.0,,,,,SCT,,,,,,,,,
KDCA,observation,2014/9/14 7:52,KDCA,Washington/Natl,2014091407,D,59.0,30.0,3000.0,1000000000,1.0,Rising Rapidly,48.0,59.0,67.0,30.31,10.0,59.0,340.0,NNW,,8.0,,,0.23,0.0,,Low,59.0,1.0,,,,,SCT,,,,,,,,,
KDCA,observation,2014/9/14 8:52,KDCA,Washington/Natl,2014091408,D,62.0,30.0,3000.0,1000000000,,,48.0,62.0,60.0,30.32,10.0,62.0,20.0,NNE,,7.0,,,,0.0,,Low,62.0,1.0,,,,,SCT,,,,,,,,,
KDCA,observation,2014/9/14 9:52,KDCA,Washington/Natl,2014091409,D,64.0,28.0,2800.0,1000000000,,,45.0,64.0,50.0,30.31,10.0,64.0,30.0,NNE,,9.0,,,,0.0,,Low,64.0,2.0,,,,,BKN,,,,,,,,,
KDCA,observation,2014/9/14 10:52,KDCA,Washington/Natl,2014091410,D,67.0,28.0,2800.0,1000000000,2.0,Falling Rapidly,45.0,67.0,45.0,30.31,10.0,67.0,20.0,NNE,,9.0,,,,0.0,,Moderate,67.0,3.0,,,,,BKN,,,,,,,,,
KDCA,observation,2014/9/14 11:52,KDCA,Washington/Natl,2014091411,D,69.0,28.0,2800.0,1000000000,,,46.0,69.0,44.0,30.29,10.0,69.0,30.0,NNE,,7.0,,,,0.0,,Moderate,69.0,4.0,,,,,BKN,,,,,,,,,
KDCA,observation,2014/9/14 12:52,KDCA,Washington/Natl,2014091412,D,70.0,28.0,2800.0,1000000000,,,46.0,70.0,42.0,30.28,10.0,70.0,,VAR,,6.0,,,,0.0,,Moderate,70.0,4.0,,,,,BKN,,,,,,,,,
KDCA,observation,2014/9/14 13:52,KDCA,Washington/Natl,2014091413,D,71.0,28.0,2800.0,1000000000,2.0,Falling Rapidly,45.0,71.0,39.0,30.26,10.0,71.0,50.0,NE,,6.0,,,,0.0,,Moderate,71.0,4.0,,,,,BKN,,,,,,,,,
KDCA,observation,2014/9/14 14:52,KDCA,Washington/Natl,2014091414,D,74.0,28.0,2800.0,1000000000,,,47.0,74.0,38.0,30.24,10.0,74.0,360.0,N,,5.0,,,,0.0,,Moderate,74.0,3.0,,,,,BKN,,,,,,,,,
KDCA,observation,2014/9/14 15:52,KDCA,Washington/Natl,2014091415,D,72.0,28.0,2800.0,1000000000,,,47.0,72.0,41.0,30.22,10.0,72.0,360.0,N,,8.0,,,,0.0,,Low,72.0,2.0,,,,,BKN,,,,,,,,,
