key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
YMML,observation,2020/4/3 0:00,YMML,Melbourne,2020040300,N,57.0,29.0,2900.0,1000000000,,,56.0,57.0,97.0,29.3,6.0,57.0,360.0,N,,8.5,,,,,,Low,57.0,0.0,,,,,SCT,,,,,,,,,
YMML,observation,2020/4/3 1:00,YMML,Melbourne,2020040301,N,57.0,33.0,3300.0,0100000000,,,55.0,57.0,94.0,29.3,6.0,57.0,10.0,N,,9.0,,,,,,Low,57.0,0.0,,,,,FEW,,,,,,,,,
YMML,observation,2020/4/3 2:00,YMML,Melbourne,2020040302,N,56.0,33.0,3300.0,0100000000,,,55.0,56.0,97.0,29.3,6.0,56.0,360.0,N,,9.0,,,,,,Low,56.0,0.0,,,,,CLR,,,,,,,,,
YMML,observation,2020/4/3 3:00,YMML,Melbourne,2020040303,N,55.0,33.0,3300.0,0100000000,,,54.5,55.0,97.0,29.285,6.0,55.0,20.0,NNE,,11.0,,,,,,Low,55.0,0.0,,,,,CLR,,,,,,,,,
YMML,observation,2020/4/3 4:00,YMML,Melbourne,2020040304,N,56.0,33.0,3300.0,0100000000,,,54.0,56.0,91.0,29.27,6.0,56.0,10.0,N,,13.0,,,,,,Low,56.0,0.0,,,,,CLR,,,,,,,,,
YMML,observation,2020/4/3 5:00,YMML,Melbourne,2020040305,N,57.0,33.0,3300.0,0100000000,,,54.0,57.0,88.0,29.24,6.0,57.0,360.0,N,,14.0,,,,,,Low,57.0,0.0,,,,,CLR,,,,,,,,,
YMML,observation,2020/4/3 6:00,YMML,Melbourne,2020040306,N,57.0,33.0,3300.0,0100000000,,,54.0,57.0,88.0,29.24,6.0,57.0,360.0,N,,14.5,,,,,,Low,57.0,0.0,,,,,CLR,,,,,,,,,
YMML,observation,2020/4/3 7:00,YMML,Melbourne,2020040307,N,59.0,33.0,3300.0,0100000000,,,54.0,59.0,82.0,29.24,6.0,59.0,20.0,NNE,,16.0,,,,,,Low,59.0,0.0,,,,,CLR,,,,,,,,,
YMML,observation,2020/4/3 8:00,YMML,Melbourne,2020040308,D,58.0,34.0,3400.0,0100000000,,,54.5,58.0,88.0,29.22,6.0,58.0,20.0,NNE,,18.5,,,,,,Low,58.0,0.0,,,,,CLR,,,,,,,,,
YMML,observation,2020/4/3 9:00,YMML,Melbourne,2020040309,D,60.0,28.0,2800.0,1000000000,,,55.0,60.0,85.0,29.22,6.0,60.0,20.0,NNE,,20.5,,,,,,Low,60.0,0.5,,,,,BKN,,,,,,,,,
YMML,observation,2020/4/3 10:00,YMML,Melbourne,2020040310,D,63.5,28.0,2890.0,1000010000,,,57.0,63.5,79.5,29.22,6.0,63.5,10.0,N,,22.0,,,,,,Low,63.5,1.5,,,,,BKN,,,,,,,,,
YMML,observation,2020/4/3 11:00,YMML,Melbourne,2020040311,D,66.0,30.0,3090.0,1000010000,,,57.0,66.0,73.0,29.22,6.0,66.0,10.0,N,,26.5,,,,,,Low,66.0,2.5,,,,,SCT,,,,,,,,,
YMML,observation,2020/4/3 12:00,YMML,Melbourne,2020040312,D,68.0,34.0,3490.0,0100010000,,,56.0,68.0,66.0,29.19,6.0,68.0,10.0,N,,28.5,,,,,,Moderate,68.0,4.0,,,,,FEW,,,,,,,,,
