key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KLGA,observation,2014/10/3 23:51,KLGA,Nyc/La Guardia,2014100323,N,63.0,26.0,2600.0,1000000000,,,53.0,63.0,70.0,29.84,10.0,63.0,150.0,SSE,,9.0,,,,0.0,,Low,63.0,0.0,,,,,OVC,,,,,,,,,
KLGA,observation,2014/10/4 0:51,KLGA,Nyc/La Guardia,2014100400,N,63.0,26.0,2600.0,1000000000,,,53.0,63.0,70.0,29.8,10.0,63.0,140.0,SE,,8.0,69.0,57.0,,0.0,,Low,63.0,0.0,,,,,OVC,,,,,,,,,
KLGA,observation,2014/10/4 1:51,KLGA,Nyc/La Guardia,2014100401,N,63.0,26.0,2600.0,1000000000,2.0,Falling,54.0,63.0,72.0,29.79,10.0,63.0,150.0,SSE,,6.0,,,,0.0,,Low,63.0,0.0,,,,,OVC,,,,,,,,,
KLGA,observation,2014/10/4 2:51,KLGA,Nyc/La Guardia,2014100402,N,64.0,26.0,2600.0,1000000000,,,55.0,64.0,72.0,29.75,10.0,64.0,130.0,SE,,9.0,,,,0.0,,Low,64.0,0.0,,,,,OVC,,,,,,,,,
KLGA,observation,2014/10/4 3:51,KLGA,Nyc/La Guardia,2014100403,N,63.0,11.0,1201.0,0010000000,,,57.0,63.0,81.0,29.73,10.0,63.0,150.0,SSE,,9.0,,,,0.0,,Low,63.0,0.0,,,,,OVC,,,,,,,,,
KLGA,observation,2014/10/4 4:32,KLGA,Nyc/La Guardia,2014100404,N,63.5,26.0,2600.0,1000000000,,,57.0,63.5,80.0,29.705,10.0,63.5,130.0,SE,,9.5,,,,0.01,,Low,63.5,0.0,,,,,OVC,,,,,,,,,
KLGA,observation,2014/10/4 5:51,KLGA,Nyc/La Guardia,2014100405,N,64.0,11.0,1201.0,0010000000,,,58.0,64.0,80.0,29.68,8.0,64.0,140.0,SE,21.0,15.0,,,,0.0,,Low,64.0,0.0,,,,,OVC,,,,,,,,,
KLGA,observation,2014/10/4 6:51,KLGA,Nyc/La Guardia,2014100406,D,63.0,11.0,1201.0,0010000000,,,60.0,63.0,90.0,29.65,10.0,63.0,130.0,SE,,14.0,,,,0.02,,Low,63.0,0.0,,,,,OVC,,,,,,,,,
KLGA,observation,2014/10/4 7:15,KLGA,Nyc/La Guardia,2014100407,D,63.0,12.0,1200.0,0010000000,,,61.0,63.0,93.75,29.645,2.25,63.0,130.0,SE,,13.25,,,,0.035,,Low,63.0,1.0,,,,,OVC,,,,,,,,,
KLGA,observation,2014/10/4 8:47,KLGA,Nyc/La Guardia,2014100408,D,64.0,11.0,1201.0,0010000000,,,62.5,64.0,93.5,29.61,3.0,64.0,130.0,SE,24.0,17.5,,,,0.02,,Low,64.0,1.0,,,,,OVC,,,,,,,,,
