key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KSJC,observation,2017/1/22 0:53,KSJC,San Jose,2017012200,N,50.0,11,1291,0010010000,2.0,Falling,44.0,50.0,80.0,29.66,8.0,50.0,120.0,ESE,44.0,36.0,,,,0.0,,Low,50.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 1:53,KSJC,San Jose,2017012201,N,50.0,11,1291,0010010000,,,45.0,50.0,83.0,29.63,5.0,50.0,120.0,ESE,41.0,31.0,,,,0.02,,Low,50.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 2:53,KSJC,San Jose,2017012202,N,49.0,11,1291,0010010000,,,45.0,49.0,86.0,29.63,7.0,41.0,110.0,ESE,38.0,28.0,,,,0.01,,Low,41.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 3:53,KSJC,San Jose,2017012203,N,49.0,11,1291,0010010000,2.0,Falling,45.0,49.0,86.0,29.62,4.0,41.0,120.0,ESE,38.0,28.0,,,0.13,0.07,,Low,41.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 4:53,KSJC,San Jose,2017012204,N,50.0,11,1291,0010010000,,,46.0,50.0,86.0,29.62,4.0,50.0,120.0,ESE,35.0,24.0,,,,0.07,,Low,50.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 5:53,KSJC,San Jose,2017012205,N,50.0,12,1290,0010010000,,,46.0,50.0,86.0,29.66,3.0,50.0,110.0,ESE,31.0,22.0,,,,0.1,,Low,50.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 6:53,KSJC,San Jose,2017012206,D,50.0,11,1201,0010000000,1.0,Rising Rapidly,49.0,50.0,96.0,29.68,5.0,50.0,120.0,ESE,,15.0,,,,0.09,,Low,50.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 7:23,KSJC,San Jose,2017012207,D,50.0,11,1201,0010000000,,,49.0,50.0,96.0,29.695,8.0,50.0,120.0,ESE,,12.5,,,,0.01,,Low,50.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 8:53,KSJC,San Jose,2017012208,D,51.0,28,2800,1000000000,,,50.0,51.0,96.0,29.72,10.0,51.0,110.0,ESE,,8.0,,,,0.0,,Low,51.0,1.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/22 9:53,KSJC,San Jose,2017012209,D,52.0,26,2600,1000000000,1.0,Rising,49.0,52.0,89.0,29.74,10.0,52.0,120.0,ESE,,7.0,,,,0.0,,Low,52.0,1.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/22 10:53,KSJC,San Jose,2017012210,D,54.0,30,3000,1000000000,,,49.0,54.0,83.0,29.74,10.0,54.0,120.0,ESE,,13.0,,,,0.0,,Low,54.0,2.0,,,,,SCT,,,,,,,,,
KSJC,observation,2017/1/22 11:53,KSJC,San Jose,2017012211,D,56.0,30,3000,1000000000,,,50.0,56.0,80.0,29.69,10.0,56.0,110.0,ESE,,14.0,,,,0.0,,Low,56.0,2.0,,,,,SCT,,,,,,,,,
KSJC,observation,2017/1/22 12:53,KSJC,San Jose,2017012212,D,54.0,11,1201,0010000000,2.0,Falling Rapidly,47.0,54.0,77.0,29.67,8.0,54.0,130.0,SE,,15.0,,,,0.0,,Low,54.0,2.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 13:53,KSJC,San Jose,2017012213,D,52.0,26,2600,1000000000,,,47.0,52.0,83.0,29.64,9.0,52.0,130.0,SE,,8.0,,,,0.09,,Low,52.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 14:53,KSJC,San Jose,2017012214,D,54.0,21,2100,0000001000,,,48.0,54.0,80.0,29.61,6.0,54.0,140.0,SE,,8.0,,,,0.0,,Low,54.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 15:53,KSJC,San Jose,2017012215,D,51.0,12,1200,0010000000,0.0,Steady,45.0,51.0,80.0,29.62,4.0,51.0,180.0,S,,12.0,,,,0.04,,Low,51.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 16:53,KSJC,San Jose,2017012216,D,50.0,11,1201,0010000000,,,46.0,50.0,86.0,29.65,6.0,50.0,260.0,W,,8.0,,,,0.07,,Low,50.0,1.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 17:53,KSJC,San Jose,2017012217,N,48.0,26,2600,1000000000,,,41.0,48.0,77.0,29.64,7.0,48.0,90.0,E,,3.0,,,,0.03,,Low,48.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/22 18:53,KSJC,San Jose,2017012218,N,48.0,26,2600,1000000000,1.0,Rising,43.0,48.0,83.0,29.64,10.0,45.0,90.0,E,,7.0,,,,0.0,,Low,45.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/22 19:53,KSJC,San Jose,2017012219,N,47.0,26,2600,1000000000,,,43.0,47.0,86.0,29.65,10.0,44.0,130.0,SE,,7.0,,,,0.0,,Low,44.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/22 20:53,KSJC,San Jose,2017012220,N,48.0,11,1201,0010000000,,,43.0,48.0,83.0,29.66,5.0,45.0,160.0,SSE,,6.0,,,,0.02,,Low,45.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 21:53,KSJC,San Jose,2017012221,N,48.0,26,2600,1000000000,0.0,Steady,43.0,48.0,83.0,29.66,10.0,44.0,110.0,ESE,,8.0,,,,0.03,,Low,44.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 22:53,KSJC,San Jose,2017012222,N,47.0,26,2600,1000000000,,,42.0,47.0,83.0,29.66,10.0,43.0,120.0,ESE,,8.0,,,,0.0,,Low,43.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/22 23:53,KSJC,San Jose,2017012223,N,47.0,26,2600,1000000000,,,43.0,47.0,86.0,29.68,10.0,44.0,120.0,ESE,,7.0,57.0,47.0,,0.0,,Low,44.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/23 0:53,KSJC,San Jose,2017012300,N,47.0,26,2600,1000000000,1.0,Rising,42.0,47.0,83.0,29.69,10.0,47.0,,CALM,,0.0,,,,0.0,,Low,47.0,0.0,,,,,OVC,,,,,,,,,
KSJC,observation,2017/1/23 1:53,KSJC,San Jose,2017012301,N,46.0,27,2700,1000000000,,,42.0,46.0,86.0,29.7,10.0,44.0,90.0,E,,5.0,,,,0.01,,Low,44.0,0.0,,,,,BKN,,,,,,,,,
KSJC,observation,2017/1/23 2:53,KSJC,San Jose,2017012302,N,44.0,29,2900,1000000000,,,41.0,44.0,89.0,29.69,10.0,42.0,50.0,NE,,5.0,,,,0.0,,Low,42.0,0.0,,,,,CLR,,,,,,,,,
