key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KMDW,observation,2014/9/28 23:51,KMDW,Chicago/Midway,2014092823,N,63.0,33,3300,0100000000,,,58.0,63.0,84.0,29.39,10.0,63.0,,CALM,,0.0,,,,0.0,,Low,63.0,0.0,,,,,CLR,,,,,,,,,
KMDW,observation,2014/9/29 0:51,KMDW,Chicago/Midway,2014092900,N,62.0,33,3300,0100000000,2.0,Falling Rapidly,57.0,62.0,84.0,29.38,10.0,62.0,,CALM,,0.0,79.0,58.0,,0.0,,Low,62.0,0.0,,,,,CLR,,,,,,,,,
KMDW,observation,2014/9/29 1:51,KMDW,Chicago/Midway,2014092901,N,61.0,33,3300,0100000000,,,57.0,61.0,87.0,29.38,10.0,61.0,,CALM,,0.0,,,,0.0,,Low,61.0,0.0,,,,,CLR,,,,,,,,,
KMDW,observation,2014/9/29 2:51,KMDW,Chicago/Midway,2014092902,N,61.0,33,3300,0100000000,,,57.0,61.0,87.0,29.38,10.0,61.0,,CALM,,0.0,,,,0.0,,Low,61.0,0.0,,,,,CLR,,,,,,,,,
KMDW,observation,2014/9/29 3:51,KMDW,Chicago/Midway,2014092903,N,60.0,33,3300,0100000000,2.0,Falling Rapidly,57.0,60.0,90.0,29.37,10.0,60.0,,CALM,,0.0,,,,0.0,,Low,60.0,0.0,,,,,FEW,,,,,,,,,
KMDW,observation,2014/9/29 4:51,KMDW,Chicago/Midway,2014092904,N,61.0,33,3300,0100000000,,,57.0,61.0,87.0,29.37,10.0,61.0,,CALM,,0.0,,,,0.0,,Low,61.0,0.0,,,,,CLR,,,,,,,,,
KMDW,observation,2014/9/29 5:51,KMDW,Chicago/Midway,2014092905,N,59.0,33,3300,0100000000,,,56.0,59.0,90.0,29.37,10.0,59.0,,CALM,,0.0,,,,0.0,,Low,59.0,0.0,,,,,CLR,,,,,,,,,
KMDW,observation,2014/9/29 6:51,KMDW,Chicago/Midway,2014092906,D,61.0,34,3400,0100000000,2.0,Falling,57.0,61.0,87.0,29.37,9.0,61.0,180.0,S,,3.0,,,,0.0,,Low,61.0,1.0,,,,,FEW,,,,,,,,,
KMDW,observation,2014/9/29 7:51,KMDW,Chicago/Midway,2014092907,D,62.0,34,3400,0100000000,,,57.0,62.0,84.0,29.37,10.0,62.0,,CALM,,0.0,,,,0.0,,Low,62.0,1.0,,,,,FEW,,,,,,,,,
KMDW,observation,2014/9/29 8:51,KMDW,Chicago/Midway,2014092908,D,67.0,34,3400,0100000000,,,59.0,67.0,76.0,29.37,10.0,67.0,220.0,SW,,6.0,,,,0.0,,Low,67.0,2.0,,,,,CLR,,,,,,,,,
KMDW,observation,2014/9/29 9:51,KMDW,Chicago/Midway,2014092909,D,71.0,34,3400,0100000000,0.0,Steady,57.0,71.0,61.0,29.37,10.0,71.0,230.0,SW,,8.0,,,,0.0,,Moderate,71.0,3.0,,,,,CLR,,,,,,,,,
KMDW,observation,2014/9/29 10:51,KMDW,Chicago/Midway,2014092910,D,75.0,34,3400,0100000000,,,58.0,75.0,55.0,29.36,10.0,75.0,240.0,WSW,,5.0,,,,0.0,,Moderate,75.0,4.0,,,,,CLR,,,,,,,,,
KMDW,observation,2014/9/29 11:51,KMDW,Chicago/Midway,2014092911,D,79.0,34,3400,0100000000,,,58.0,80.0,48.0,29.35,10.0,79.0,240.0,WSW,,8.0,,,,0.0,,High,80.0,6.0,,,,,CLR,,,,,,,,,
KMDW,observation,2014/9/29 12:51,KMDW,Chicago/Midway,2014092912,D,81.0,34,3400,0100000000,2.0,Falling Rapidly,59.0,81.0,47.0,29.33,10.0,81.0,270.0,W,,10.0,,,,0.0,,High,81.0,6.0,,,,,CLR,,,,,,,,,
KMDW,observation,2014/9/29 13:51,KMDW,Chicago/Midway,2014092913,D,83.0,34,3400,0100000000,,,59.0,83.0,44.0,29.3,10.0,83.0,290.0,WNW,17.0,13.0,,,,0.0,,Moderate,83.0,4.0,,,,,FEW,,,,,,,,,
KMDW,observation,2014/9/29 14:51,KMDW,Chicago/Midway,2014092914,D,83.0,30,3000,1000000000,,,58.0,83.0,42.0,29.28,10.0,83.0,260.0,W,,10.0,,,,0.0,,Moderate,83.0,3.0,,,,,SCT,,,,,,,,,
KMDW,observation,2014/9/29 15:51,KMDW,Chicago/Midway,2014092915,D,84.0,30,3000,1000000000,2.0,Falling,58.0,84.0,41.0,29.27,10.0,84.0,250.0,WSW,,10.0,,,,0.0,,Low,84.0,2.0,,,,,SCT,,,,,,,,,
KMDW,observation,2014/9/29 16:51,KMDW,Chicago/Midway,2014092916,D,83.0,30,3000,1000000000,,,56.0,83.0,39.0,29.26,10.0,83.0,310.0,NW,,14.0,,,,0.0,,Low,83.0,1.0,,,,,SCT,,,,,,,,,
KMDW,observation,2014/9/29 17:51,KMDW,Chicago/Midway,2014092917,D,81.0,30,3000,1000000000,,,56.0,81.0,42.0,29.26,10.0,81.0,310.0,NW,,8.0,,,,0.0,,Low,81.0,1.0,,,,,SCT,,,,,,,,,
KMDW,observation,2014/9/29 18:51,KMDW,Chicago/Midway,2014092918,N,65.0,27,2700,1000000000,1.0,Rising Rapidly,59.0,65.0,81.0,29.29,9.0,65.0,20.0,NNE,28.0,17.0,,,,0.0,,Low,65.0,0.0,,,,,BKN,,,,,,,,,
KMDW,observation,2014/9/29 19:09,KMDW,Chicago/Midway,2014092919,N,63.0,27,2700,1000000000,,,57.5,63.0,82.0,29.3,7.5,63.0,20.0,NNE,26.5,18.0,,,,0.0,,Low,63.0,0.0,,,,,BKN,,,,,,,,,
KMDW,observation,2014/9/29 20:41,KMDW,Chicago/Midway,2014092920,N,61.0,21,2100,0000001000,,,55.0,61.0,81.0,29.33,6.5,61.0,10.0,N,,19.0,,,,0.0,,Low,61.0,0.0,,,,,OVC,,,,,,,,,
KMDW,observation,2014/9/29 21:51,KMDW,Chicago/Midway,2014092921,N,60.0,26,2600,1000000000,1.0,Rising,54.0,60.0,80.0,29.34,10.0,60.0,30.0,NNE,,17.0,,,,0.0,,Low,60.0,0.0,,,,,OVC,,,,,,,,,
KMDW,observation,2014/9/29 22:51,KMDW,Chicago/Midway,2014092922,N,59.0,26,2600,1000000000,,,53.0,59.0,81.0,29.34,10.0,59.0,10.0,N,24.0,16.0,,,,0.0,,Low,59.0,0.0,,,,,OVC,,,,,,,,,
KMDW,observation,2014/9/29 23:51,KMDW,Chicago/Midway,2014092923,N,58.0,11,1201,0010000000,,,53.0,58.0,84.0,29.33,10.0,58.0,30.0,NNE,,15.0,,,,0.0,,Low,58.0,0.0,,,,,OVC,,,,,,,,,
KMDW,observation,2014/9/30 0:51,KMDW,Chicago/Midway,2014093000,N,57.0,26,2600,1000000000,1.0,Rising Rapidly,52.0,57.0,83.0,29.34,10.0,57.0,20.0,NNE,,17.0,84.0,57.0,,0.0,,Low,57.0,0.0,,,,,OVC,,,,,,,,,
