key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
YMML,observation,2014/10/7 0:00,YMML,Melbourne/Tullam,2014100700,N,61.0,27.0,2700.0,1000000000,,,51.0,61.0,70.0,29.085,6.0,61.0,320.0,NW,,14.5,,,,,,Low,61.0,0.0,,,,,BKN,,,,,,,,,
YMML,observation,2014/10/7 1:00,YMML,Melbourne/Tullam,2014100701,N,59.0,27.0,2790.0,1000010000,,,47.5,59.0,66.25,29.1375,6.0,59.0,270.0,W,,27.5,,,,,,Low,59.0,0.0,,,,,BKN,,,,,,,,,
YMML,observation,2014/10/7 2:00,YMML,Melbourne/Tullam,2014100702,N,55.0,29.0,2990.0,1000010000,,,46.0,55.0,72.0,29.18,6.0,55.0,260.0,W,,25.0,,,,,,Low,55.0,0.0,,,,,SCT,,,,,,,,,
YMML,observation,2014/10/7 3:00,YMML,Melbourne/Tullam,2014100703,N,54.0,27.0,2700.0,1000000000,,,46.0,54.0,77.0,29.21,6.0,54.0,270.0,W,,12.0,,,,,,Low,54.0,0.0,,,,,BKN,,,,,,,,,
YMML,observation,2014/10/7 4:00,YMML,Melbourne/Tullam,2014100704,N,54.0,11.0,1101.0,0010000000,,,49.0,54.0,85.0,29.225,5.5,54.0,250.0,WSW,,17.5,,,,,,Low,54.0,0.0,,,,,BKN,,,,,,,,,
YMML,observation,2014/10/7 5:00,YMML,Melbourne/Tullam,2014100705,N,52.0,29.0,2900.0,1000000000,,,45.0,52.0,76.0,29.255,6.0,52.0,260.0,W,,13.5,,,,,,Low,52.0,0.0,,,,,SCT,,,,,,,,,
YMML,observation,2014/10/7 6:00,YMML,Melbourne/Tullam,2014100706,N,50.0,33.0,3300.0,0100000000,,,44.0,50.0,79.0,29.285,6.0,50.0,260.0,W,,10.5,,,,,,Low,50.0,0.0,,,,,FEW,,,,,,,,,
YMML,observation,2014/10/7 7:00,YMML,Melbourne/Tullam,2014100707,D,52.0,28.0,2800.0,1000000000,,,45.5,52.0,79.0,29.345,6.0,52.0,260.0,W,,12.0,,,,,,Low,52.0,1.0,,,,,BKN,,,,,,,,,
YMML,observation,2014/10/7 8:00,YMML,Melbourne/Tullam,2014100708,D,53.0,28.0,2800.0,1000000000,,,46.0,53.0,79.5,29.375,6.0,53.0,270.0,W,,15.5,,,,,,Low,53.0,1.0,,,,,BKN,,,,,,,,,
YMML,observation,2014/10/7 9:00,YMML,Melbourne/Tullam,2014100709,D,53.5,28.0,2800.0,1000000000,,,45.5,53.5,74.5,29.39,6.0,53.5,260.0,W,,15.5,,,,,,Low,53.5,1.0,,,,,BKN,,,,,,,,,
YMML,observation,2014/10/7 10:00,YMML,Melbourne/Tullam,2014100710,D,52.75,28.0,2800.0,1000000000,,,45.25,52.75,77.25,29.42,5.25,52.75,250.0,WSW,,19.25,,,,,,Low,52.75,2.0,,,,,BKN,,,,,,,,,
YMML,observation,2014/10/7 11:00,YMML,Melbourne/Tullam,2014100711,D,55.0,28.0,2800.0,1000000000,,,40.0,55.0,57.0,29.42,6.0,55.0,240.0,WSW,,17.5,,,,,,Moderate,55.0,3.0,,,,,BKN,,,,,,,,,
YMML,observation,2014/10/7 12:00,YMML,Melbourne/Tullam,2014100712,D,60.0,28.0,2800.0,1000000000,,,38.0,60.0,45.0,29.42,6.0,60.0,270.0,W,,16.5,,,,,,Moderate,60.0,4.0,,,,,BKN,,,,,,,,,
YMML,observation,2014/10/7 13:00,YMML,Melbourne/Tullam,2014100713,D,60.0,30.0,3000.0,1000000000,,,35.0,60.0,39.0,29.42,6.0,60.0,250.0,WSW,,15.5,,,,,,Moderate,60.0,4.5,,,,,SCT,,,,,,,,,
