key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KLGA,observation,2014/6/30 23:51,KLGA,Nyc/La Guardia,2014063023,N,75.0,29.0,2900.0,1000000000,,,66.0,75.0,73.0,29.94,10.0,75.0,200.0,SSW,,13.0,,,,0.0,,Low,75.0,0.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/1 0:51,KLGA,Nyc/La Guardia,2014070100,N,76.0,29.0,2900.0,1000000000,,,62.0,76.0,62.0,29.94,10.0,76.0,200.0,SSW,,10.0,84.0,69.0,,0.0,,Low,76.0,0.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/1 1:51,KLGA,Nyc/La Guardia,2014070101,N,75.0,29.0,2900.0,1000000000,2.0,Falling Rapidly,62.0,75.0,64.0,29.93,10.0,75.0,220.0,SW,,7.0,,,,0.0,,Low,75.0,0.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/1 2:51,KLGA,Nyc/La Guardia,2014070102,N,75.0,29.0,2900.0,1000000000,,,63.0,75.0,66.0,29.92,10.0,75.0,210.0,SSW,,9.0,,,,0.0,,Low,75.0,0.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/1 3:51,KLGA,Nyc/La Guardia,2014070103,N,74.0,33.0,3300.0,0100000000,,,66.0,74.0,76.0,29.9,10.0,74.0,190.0,S,,7.0,,,,0.0,,Low,74.0,0.0,,,,,FEW,,,,,,,,,
KLGA,observation,2014/7/1 4:51,KLGA,Nyc/La Guardia,2014070104,N,73.0,33.0,3300.0,0100000000,0.0,Steady,66.0,73.0,79.0,29.91,10.0,73.0,200.0,SSW,,8.0,,,,0.0,,Low,73.0,0.0,,,,,CLR,,,,,,,,,
KLGA,observation,2014/7/1 5:51,KLGA,Nyc/La Guardia,2014070105,D,73.0,28.0,2800.0,1000000000,,,67.0,73.0,81.0,29.9,10.0,73.0,190.0,S,,8.0,,,,0.0,,Low,73.0,1.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/7/1 6:51,KLGA,Nyc/La Guardia,2014070106,D,74.0,28.0,2800.0,1000000000,,,67.0,74.0,79.0,29.92,10.0,74.0,220.0,SW,,7.0,,,,0.0,,Low,74.0,1.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/7/1 7:51,KLGA,Nyc/La Guardia,2014070107,D,76.0,28.0,2800.0,1000000000,1.0,Rising Rapidly,66.0,76.0,71.0,29.93,10.0,76.0,220.0,SW,,9.0,,,,0.0,,Low,76.0,1.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/7/1 8:51,KLGA,Nyc/La Guardia,2014070108,D,77.0,30.0,3000.0,1000000000,,,67.0,79.0,71.0,29.91,10.0,77.0,200.0,SSW,,8.0,,,,0.0,,Low,79.0,2.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/1 9:51,KLGA,Nyc/La Guardia,2014070109,D,80.0,30.0,3000.0,1000000000,,,67.0,82.0,64.0,29.89,10.0,80.0,210.0,SSW,,10.0,,,,0.0,,Moderate,82.0,4.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/1 10:51,KLGA,Nyc/La Guardia,2014070110,D,83.0,34.0,3400.0,0100000000,2.0,Falling,68.0,86.0,60.0,29.88,10.0,83.0,180.0,S,,12.0,,,,0.0,,High,86.0,7.0,,,,,FEW,,,,,,,,,
KLGA,observation,2014/7/1 11:51,KLGA,Nyc/La Guardia,2014070111,D,86.0,34.0,3400.0,0100000000,,,69.0,90.0,57.0,29.86,10.0,86.0,190.0,S,,10.0,,,,0.0,,Very High,90.0,8.0,,,,,FEW,,,,,,,,,
KLGA,observation,2014/7/1 12:51,KLGA,Nyc/La Guardia,2014070112,D,86.0,34.0,3400.0,0100000000,,,69.0,90.0,57.0,29.84,10.0,86.0,170.0,S,22.0,16.0,,,,0.0,,Very High,90.0,9.0,,,,,FEW,,,,,,,,,
KLGA,observation,2014/7/1 13:51,KLGA,Nyc/La Guardia,2014070113,D,87.0,30.0,3000.0,1000000000,2.0,Falling,70.0,92.0,57.0,29.83,10.0,87.0,160.0,SSE,,18.0,,,,0.0,,High,92.0,7.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/1 14:51,KLGA,Nyc/La Guardia,2014070114,D,87.0,28.0,2800.0,1000000000,,,69.0,91.0,55.0,29.83,10.0,87.0,170.0,S,,15.0,,,,0.0,,Moderate,91.0,5.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/7/1 15:51,KLGA,Nyc/La Guardia,2014070115,D,85.0,28.0,2800.0,1000000000,,,69.0,89.0,59.0,29.82,10.0,85.0,170.0,S,25.0,18.0,,,,0.0,,Moderate,89.0,3.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/7/1 16:51,KLGA,Nyc/La Guardia,2014070116,D,85.0,11.0,1201.0,0010000000,2.0,Falling Rapidly,68.0,88.0,57.0,29.8,10.0,85.0,180.0,S,24.0,16.0,,,,0.0,,Low,88.0,2.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/7/1 17:51,KLGA,Nyc/La Guardia,2014070117,D,85.0,30.0,3000.0,1000000000,,,68.0,88.0,57.0,29.8,10.0,85.0,180.0,S,26.0,20.0,,,,0.0,,Low,88.0,2.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/1 18:51,KLGA,Nyc/La Guardia,2014070118,D,84.0,28.0,2800.0,1000000000,,,69.0,88.0,61.0,29.81,10.0,84.0,190.0,S,22.0,16.0,,,,0.0,,Low,88.0,1.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/7/1 19:51,KLGA,Nyc/La Guardia,2014070119,D,82.0,28.0,2800.0,1000000000,2.0,Falling,68.0,85.0,62.0,29.8,10.0,82.0,170.0,S,,12.0,,,,0.0,,Low,85.0,1.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/7/1 20:51,KLGA,Nyc/La Guardia,2014070120,N,81.0,27.0,2700.0,1000000000,,,67.0,83.0,62.0,29.82,10.0,81.0,180.0,S,,12.0,,,,0.0,,Low,83.0,0.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/7/1 21:51,KLGA,Nyc/La Guardia,2014070121,N,83.0,29.0,2900.0,1000000000,,,66.0,85.0,56.0,29.84,10.0,83.0,200.0,SSW,20.0,15.0,,,,0.0,,Low,85.0,0.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/1 22:51,KLGA,Nyc/La Guardia,2014070122,N,79.0,27.0,2700.0,1000000000,0.0,Steady,65.0,81.0,62.0,29.83,10.0,79.0,190.0,S,,12.0,,,,0.0,,Low,81.0,0.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/7/1 23:51,KLGA,Nyc/La Guardia,2014070123,N,78.0,29.0,2900.0,1000000000,,,65.0,80.0,64.0,29.83,10.0,78.0,190.0,S,,13.0,,,,0.0,,Low,80.0,0.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/2 0:51,KLGA,Nyc/La Guardia,2014070200,N,78.0,29.0,2900.0,1000000000,,,65.0,80.0,64.0,29.83,10.0,78.0,200.0,SSW,,10.0,88.0,73.0,,0.0,,Low,80.0,0.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/2 1:51,KLGA,Nyc/La Guardia,2014070201,N,78.0,29.0,2900.0,1000000000,1.0,Rising Rapidly,66.0,80.0,66.0,29.84,10.0,78.0,210.0,SSW,22.0,12.0,,,,0.0,,Low,80.0,0.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/2 2:51,KLGA,Nyc/La Guardia,2014070202,N,78.0,29.0,2900.0,1000000000,,,66.0,80.0,66.0,29.84,10.0,78.0,210.0,SSW,,10.0,,,,0.0,,Low,80.0,0.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/2 3:51,KLGA,Nyc/La Guardia,2014070203,N,78.0,29.0,2900.0,1000000000,,,67.0,80.0,68.0,29.84,10.0,78.0,220.0,SW,,7.0,,,,0.0,,Low,80.0,0.0,,,,,SCT,,,,,,,,,
KLGA,observation,2014/7/2 4:51,KLGA,Nyc/La Guardia,2014070204,N,77.0,27.0,2700.0,1000000000,0.0,Steady,67.0,79.0,71.0,29.84,10.0,77.0,220.0,SW,,8.0,,,,0.0,,Low,79.0,0.0,,,,,BKN,,,,,,,,,
KLGA,observation,2014/7/2 5:51,KLGA,Nyc/La Guardia,2014070205,D,77.0,28.0,2800.0,1000000000,,,68.0,79.0,74.0,29.86,10.0,77.0,190.0,S,,7.0,,,,0.0,,Low,79.0,1.0,,,,,BKN,,,,,,,,,
