,dewPt
50.0,0.0672303567745927
51.0,0.05939368942049907
52.0,0.0577438647143741
46.0,0.054856671478655396
49.0,0.05093833780160858
44.0,0.049700969272014846
45.0,0.04681377603629614
48.0,0.04537017941843679
53.0,0.04516395133017117
47.0,0.04495772324190555
54.0,0.04145184574138998
42.0,0.040214477211796246
43.0,0.040008249123530626
55.0,0.036708599711280675
41.0,0.03608991544648381
56.0,0.03010930088678078
40.0,0.028665704268921427
57.0,0.028665704268921427
39.0,0.024953598680140236
37.0,0.022891317797484018
38.0,0.021447721179624665
36.0,0.021447721179624665
58.0,0.01711693132604661
59.0,0.01629201897298412
35.0,0.015260878531656011
34.0,0.009898948236749845
60.0,0.009898948236749845
33.0,0.008249123530624871
61.0,0.006805526912765519
62.0,0.004537017941843679
32.0,0.0041245617653124355
30.0,0.0032996494122499486
63.0,0.0030934213239843266
31.0,0.002680965147453083
29.0,0.0014435966178593523
28.0,0.0010311404413281089
64.0,0.0006186842647968653
24.0,0.00020622808826562179
27.0,0.00020622808826562179
