,rh
83.0,0.06145597030315529
80.0,0.058775005155702206
77.0,0.045782635594968035
86.0,0.0445452670653743
74.0,0.032790266034233864
72.0,0.03134666941637451
89.0,0.029490616621983913
75.0,0.02907816044545267
90.0,0.02887193235718705
78.0,0.02784079191585894
87.0,0.02784079191585894
93.0,0.02680965147453083
69.0,0.02639719529799959
81.0,0.025159826768405856
67.0,0.021447721179624665
71.0,0.01959166838523407
64.0,0.019179212208702827
57.0,0.018354299855640337
62.0,0.01752938750257785
65.0,0.015467106619921633
66.0,0.015467106619921633
68.0,0.015467106619921633
84.0,0.015260878531656011
63.0,0.014642194266859147
60.0,0.014229738090327902
70.0,0.01402351000206228
50.0,0.013611053825531037
59.0,0.013404825737265416
52.0,0.013404825737265416
55.0,0.012992369560734173
58.0,0.011755001031140442
61.0,0.011548772942874819
53.0,0.011342544854609197
82.0,0.010930088678077954
54.0,0.010723860589812333
44.0,0.010105176325015466
49.0,0.009898948236749845
45.0,0.009692720148484223
47.0,0.009486492060218602
48.0,0.00928026397195298
76.0,0.008661579707156114
79.0,0.008455351618890493
43.0,0.008455351618890493
56.0,0.008249123530624871
51.0,0.00804289544235925
38.0,0.007424211177562384
46.0,0.007424211177562384
42.0,0.00701175500103114
40.0,0.006599298824499897
73.0,0.006186842647968653
37.0,0.005568158383171788
36.0,0.005361930294906166
39.0,0.004743246030109301
41.0,0.004537017941843679
85.0,0.00350587750051557
35.0,0.00350587750051557
97.0,0.00350587750051557
32.0,0.0030934213239843266
33.0,0.0028871932357187047
27.0,0.0028871932357187047
96.0,0.0028871932357187047
100.0,0.002680965147453083
30.0,0.002474737059187461
92.0,0.002474737059187461
34.0,0.0022685089709218397
31.0,0.0022685089709218397
22.0,0.0020622808826562177
26.0,0.0020622808826562177
28.0,0.0016498247061249743
24.0,0.0014435966178593523
29.0,0.0014435966178593523
25.0,0.0012373685295937306
23.0,0.0010311404413281089
88.0,0.0010311404413281089
94.0,0.0008249123530624871
21.0,0.0006186842647968653
