,wspd
0.0,0.16931326046607548
3.0,0.10765106207465457
5.0,0.09610228913177975
6.0,0.08537842854196742
7.0,0.08352237574757682
8.0,0.0738296555990926
9.0,0.06413693545060838
10.0,0.05980614559703031
12.0,0.0558878119199835
13.0,0.04516395133017117
14.0,0.04186430191792122
15.0,0.03196535368117138
16.0,0.024541142503608993
17.0,0.01959166838523407
18.0,0.013404825737265416
20.0,0.00928026397195298
21.0,0.005155702206640545
22.0,0.003918333677046814
23.0,0.0022685089709218397
24.0,0.001856052794390596
25.0,0.0008249123530624871
29.0,0.0008249123530624871
31.0,0.0008249123530624871
28.0,0.0006186842647968653
32.0,0.0006186842647968653
26.0,0.0006186842647968653
30.0,0.00020622808826562179
36.0,0.00020622808826562179
33.0,0.00020622808826562179
