,wx_phrase
Fair,0.3171787997525263
Mostly Cloudy,0.21055887811919982
Cloudy,0.20849659723654362
Partly Cloudy,0.13198597648999794
Light Rain,0.08063518251185811
Rain,0.01629201897298412
Light Rain / Windy,0.011548772942874819
Fog,0.006393070736234275
Haze,0.004537017941843679
Heavy Rain,0.0041245617653124355
Fair / Windy,0.0032996494122499486
Partly Cloudy / Windy,0.0010311404413281089
Cloudy / Windy,0.0010311404413281089
Rain / Windy,0.0010311404413281089
T-Storm,0.0006186842647968653
Thunder in the Vicinity,0.00041245617653124357
Light Rain with Thunder,0.00041245617653124357
Thunder,0.00020622808826562179
Mostly Cloudy / Windy,0.00020622808826562179
