valid_time_gmt,precip_hrly
2017-01-03 23:12:00,0.05
2017-01-03 23:16:00,0.05
2017-01-03 23:33:00,0.06
2017-01-03 23:37:00,0.06
2017-01-03 23:43:00,0.07
2017-01-03 23:53:00,0.08
2017-01-04 21:53:00,0.05
2017-01-04 22:53:00,0.05
2017-01-04 23:53:00,0.08
2017-01-07 20:53:00,0.07
2017-01-07 21:53:00,0.07
2017-01-07 22:53:00,0.05
2017-01-08 00:53:00,0.09
2017-01-08 01:53:00,0.05
2017-01-08 07:53:00,0.06
2017-01-08 08:11:00,0.05
2017-01-08 08:16:00,0.05
2017-01-08 08:53:00,0.06
2017-01-08 09:53:00,0.06
2017-01-08 11:53:00,0.18
2017-01-08 12:53:00,0.15
2017-01-08 13:53:00,0.09
2017-01-08 14:15:00,0.05
2017-01-08 14:32:00,0.05
2017-01-08 14:41:00,0.07
2017-01-08 14:53:00,0.08
2017-01-08 21:53:00,0.07
2017-01-09 01:29:00,0.08
2017-01-09 01:39:00,0.1
2017-01-09 01:53:00,0.11
2017-01-10 13:53:00,0.05
2017-01-10 19:53:00,0.17
2017-01-10 20:27:00,0.08
2017-01-10 20:29:00,0.08
2017-01-10 20:53:00,0.08
2017-01-12 02:53:00,0.05
2017-01-12 03:53:00,0.07
2017-01-12 06:53:00,0.09
2017-01-18 19:53:00,0.06
2017-01-18 20:29:00,0.13
2017-01-18 20:53:00,0.15
2017-01-19 09:43:00,0.12
2017-01-19 09:53:00,0.25
2017-01-19 14:53:00,0.07
2017-01-20 02:53:00,0.06
2017-01-20 03:53:00,0.11
2017-01-20 04:53:00,0.08
2017-01-20 05:18:00,0.1
2017-01-20 05:24:00,0.15
2017-01-20 05:29:00,0.15
2017-01-20 05:53:00,0.17
2017-01-20 07:37:00,0.07
2017-01-20 07:53:00,0.14
2017-01-20 08:46:00,0.07
2017-01-20 08:53:00,0.07
2017-01-20 10:53:00,0.05
2017-01-20 14:53:00,0.09
2017-01-22 03:53:00,0.07
2017-01-22 04:53:00,0.07
2017-01-22 05:53:00,0.1
2017-01-22 06:53:00,0.09
2017-01-22 13:53:00,0.09
2017-01-22 16:53:00,0.07
2017-01-23 18:53:00,0.06
2017-02-02 18:38:00,0.07
2017-02-02 18:53:00,0.13
2017-02-03 05:53:00,0.05
2017-02-05 18:53:00,0.05
2017-02-05 23:53:00,0.08
2017-02-06 00:53:00,0.05
2017-02-07 06:53:00,0.06
2017-02-07 07:01:00,0.06
2017-02-07 07:12:00,0.09
2017-02-07 07:42:00,0.1
2017-02-07 07:50:00,0.11
2017-02-07 07:53:00,0.11
2017-02-09 15:53:00,0.07
2017-02-09 16:53:00,0.1
2017-02-09 17:36:00,0.08
2017-02-09 17:40:00,0.09
2017-02-09 17:53:00,0.11
2017-02-09 18:53:00,0.08
2017-02-17 12:53:00,0.05
2017-02-17 15:37:00,0.05
2017-02-17 15:53:00,0.1
2017-02-17 16:53:00,0.17
2017-02-17 17:53:00,0.08
2017-02-17 18:53:00,0.05
2017-02-17 19:53:00,0.09
2017-02-17 20:53:00,0.12
2017-02-17 21:53:00,0.11
2017-02-18 04:19:00,0.05
2017-02-18 04:26:00,0.06
2017-02-18 04:34:00,0.06
2017-02-18 04:53:00,0.07
2017-02-20 00:53:00,0.08
2017-02-20 03:53:00,0.06
2017-02-20 04:44:00,0.05
2017-02-20 04:51:00,0.05
2017-02-20 04:53:00,0.05
2017-02-20 05:53:00,0.06
2017-02-20 06:43:00,0.09
2017-02-20 06:53:00,0.09
2017-02-20 07:53:00,0.05
2017-02-20 09:53:00,0.15
2017-02-20 10:53:00,0.11
2017-02-20 11:53:00,0.15
2017-02-20 12:53:00,0.06
2017-02-20 13:33:00,0.14
2017-02-20 13:49:00,0.18
2017-02-20 13:53:00,0.19
2017-02-20 14:31:00,0.11
2017-02-20 14:41:00,0.19
2017-02-20 14:53:00,0.26
2017-02-20 15:18:00,0.08
2017-02-20 15:23:00,0.11
2017-02-20 15:34:00,0.15
2017-02-20 15:46:00,0.19
2017-02-20 15:53:00,0.2
2017-02-20 16:35:00,0.1
2017-02-20 16:45:00,0.13
2017-02-20 16:53:00,0.15
2017-02-20 17:53:00,0.05
2017-02-21 08:53:00,0.07
2017-02-21 11:53:00,0.12
2017-02-21 19:53:00,0.06
2017-03-04 22:53:00,0.13
2017-03-20 15:53:00,0.05
2017-03-20 21:53:00,0.1
2017-03-21 05:23:00,0.05
2017-03-21 05:53:00,0.05
2017-03-22 03:53:00,0.12
2017-03-22 06:53:00,0.12
2017-03-22 07:53:00,0.05
2017-03-24 12:53:00,0.06
2017-03-24 18:31:00,0.05
2017-03-24 18:53:00,0.05
2017-03-25 05:04:00,0.08
2017-03-25 05:12:00,0.08
2017-03-25 05:28:00,0.08
2017-03-25 05:53:00,0.08
2017-03-26 22:44:00,0.06
2017-03-26 22:53:00,0.06
2017-04-06 18:53:00,0.06
2017-04-07 00:48:00,0.07
2017-04-07 00:53:00,0.07
2017-04-07 01:53:00,0.09
2017-04-07 02:53:00,0.05
2017-04-08 00:10:00,0.06
2017-04-08 00:13:00,0.12
2017-04-08 00:23:00,0.23
2017-04-08 00:32:00,0.27
2017-04-08 00:40:00,0.29
2017-04-08 00:53:00,0.32
2017-04-08 10:53:00,0.05
2017-04-08 12:53:00,0.05
2017-04-13 01:53:00,0.09
2017-04-13 02:16:00,0.11
2017-04-13 02:26:00,0.13
2017-04-13 02:36:00,0.15
2017-04-13 02:53:00,0.17
2017-04-16 12:53:00,0.05
2017-04-16 13:53:00,0.16
2017-04-18 01:50:00,0.05
2017-04-18 01:53:00,0.05
2017-04-20 03:18:00,0.05
2017-04-20 03:53:00,0.09
