valid_time_gmt,temp
2017-01-05 23:53:00,38
2017-01-06 00:53:00,37
2017-01-06 01:53:00,35
2017-01-06 02:53:00,32
2017-01-06 03:53:00,34
2017-01-06 04:53:00,33
2017-01-06 05:53:00,33
2017-01-06 06:53:00,32
2017-01-06 07:53:00,34
2017-01-06 08:53:00,36
2017-01-14 04:53:00,39
2017-01-14 05:53:00,39
2017-01-14 06:53:00,38
2017-01-14 07:53:00,39
2017-01-16 01:53:00,39
2017-01-16 02:53:00,39
2017-01-16 04:53:00,37
2017-01-16 05:53:00,37
2017-01-16 06:40:00,36
2017-01-16 06:53:00,37
2017-01-17 02:53:00,39
2017-01-17 04:53:00,36
2017-01-17 05:53:00,38
2017-01-17 06:53:00,37
2017-01-17 07:53:00,39
2017-01-24 05:53:00,39
2017-01-24 06:53:00,39
2017-01-25 01:53:00,38
2017-01-25 02:53:00,39
2017-01-25 03:53:00,37
2017-01-25 04:53:00,38
2017-01-25 05:53:00,36
2017-01-25 06:53:00,37
2017-01-25 07:53:00,38
2017-01-27 01:53:00,39
2017-01-27 03:53:00,38
2017-01-27 04:53:00,38
2017-01-27 05:53:00,38
2017-01-27 06:53:00,38
2017-01-27 07:53:00,39
2017-01-28 00:53:00,39
2017-01-28 02:53:00,39
2017-01-28 03:53:00,37
2017-01-28 04:53:00,38
2017-01-28 05:53:00,37
2017-01-28 06:53:00,36
2017-01-28 07:53:00,37
2017-01-29 04:53:00,39
2017-01-29 05:53:00,38
2017-01-29 06:53:00,38
2017-01-29 07:53:00,38
2017-01-30 03:53:00,38
2017-01-30 06:53:00,39
2017-02-23 23:53:00,39
2017-02-24 00:53:00,38
2017-02-24 01:53:00,38
2017-02-24 02:53:00,39
2017-02-24 03:53:00,38
2017-02-24 04:53:00,36
2017-02-24 05:53:00,35
2017-02-24 06:53:00,38
2017-02-25 00:53:00,39
2017-02-25 01:53:00,37
2017-02-25 02:53:00,38
2017-02-25 03:53:00,38
2017-02-25 04:53:00,37
2017-02-26 06:53:00,39
2017-03-01 05:53:00,38
2017-03-01 06:53:00,39
2017-03-13 14:53:00,78
2017-03-14 13:53:00,78
2017-03-14 14:53:00,79
2017-03-14 15:53:00,81
2017-04-01 15:53:00,78
2017-04-01 16:53:00,78
2017-04-29 14:53:00,78
2017-04-29 15:53:00,78
2017-04-30 13:53:00,78
2017-04-30 15:53:00,78
2017-05-01 11:53:00,80
2017-05-01 12:53:00,81
2017-05-01 13:53:00,85
2017-05-01 14:53:00,87
2017-05-01 15:53:00,86
2017-05-01 16:53:00,84
2017-05-01 17:53:00,82
2017-05-01 18:53:00,80
2017-05-02 10:53:00,79
2017-05-02 11:53:00,83
2017-05-02 12:53:00,85
2017-05-02 13:53:00,87
2017-05-02 14:53:00,88
2017-05-02 15:53:00,88
2017-05-02 16:53:00,87
2017-05-02 17:53:00,85
2017-05-02 18:53:00,81
2017-05-03 10:53:00,82
2017-05-03 11:53:00,85
2017-05-03 12:53:00,87
2017-05-03 13:53:00,89
2017-05-03 14:53:00,90
2017-05-03 15:53:00,90
2017-05-03 16:53:00,89
2017-05-03 17:53:00,86
2017-05-03 18:53:00,83
2017-05-03 19:53:00,78
2017-05-04 11:53:00,78
2017-05-04 12:53:00,78
2017-05-09 12:53:00,78
2017-05-09 13:53:00,81
2017-05-09 14:53:00,83
2017-05-09 15:53:00,82
2017-05-09 16:53:00,80
2017-05-18 13:53:00,79
2017-05-18 14:53:00,80
2017-05-18 15:53:00,79
2017-05-18 16:53:00,78
2017-05-19 11:53:00,80
2017-05-19 12:53:00,81
2017-05-19 13:53:00,85
2017-05-19 14:53:00,86
2017-05-19 15:53:00,87
2017-05-19 16:53:00,86
2017-05-19 17:53:00,81
2017-05-19 18:53:00,80
2017-05-20 11:53:00,80
2017-05-20 12:53:00,83
2017-05-20 13:53:00,85
2017-05-20 14:53:00,87
2017-05-20 15:53:00,88
2017-05-20 16:53:00,88
2017-05-20 17:53:00,84
2017-05-20 18:53:00,82
2017-05-20 19:53:00,79
2017-05-21 11:53:00,81
2017-05-21 12:53:00,85
2017-05-21 13:53:00,86
2017-05-21 14:53:00,88
2017-05-21 15:53:00,88
2017-05-21 16:53:00,85
2017-05-21 17:53:00,83
2017-05-21 18:53:00,78
2017-05-22 12:53:00,80
2017-05-22 13:53:00,83
2017-05-22 14:53:00,82
2017-05-22 15:53:00,81
2017-05-22 16:53:00,81
2017-05-22 17:53:00,79
2017-05-23 14:53:00,78
2017-06-02 13:53:00,78
2017-06-02 14:53:00,80
2017-06-02 15:53:00,79
2017-06-05 12:53:00,79
2017-06-05 13:53:00,80
2017-06-05 14:53:00,79
2017-06-05 15:53:00,78
2017-06-05 16:53:00,78
2017-06-14 12:53:00,79
2017-06-14 13:53:00,80
2017-06-14 14:53:00,83
2017-06-14 15:53:00,80
2017-06-14 16:53:00,78
2017-06-15 13:53:00,80
2017-06-15 14:53:00,79
2017-06-15 15:53:00,79
2017-06-15 16:53:00,78
2017-06-15 17:53:00,78
2017-06-16 10:53:00,78
2017-06-16 11:53:00,82
2017-06-16 12:53:00,83
2017-06-16 13:53:00,86
2017-06-16 14:53:00,87
2017-06-16 15:53:00,85
2017-06-16 16:53:00,83
2017-06-16 17:53:00,80
2017-06-16 18:53:00,78
2017-06-17 10:53:00,78
2017-06-17 11:53:00,80
2017-06-17 12:53:00,84
2017-06-17 13:53:00,86
2017-06-17 14:53:00,87
2017-06-17 15:53:00,88
2017-06-17 16:53:00,88
2017-06-17 17:53:00,87
2017-06-17 18:53:00,86
2017-06-17 19:53:00,81
2017-06-18 08:53:00,81
2017-06-18 09:53:00,85
2017-06-18 10:53:00,91
