valid_time_gmt,uv_index
2017-03-12 12:53:00,6
2017-03-12 13:53:00,6
2017-03-13 12:53:00,6
2017-03-13 13:53:00,6
2017-03-23 13:53:00,6
2017-03-27 12:53:00,6
2017-03-28 12:53:00,6
2017-03-30 12:53:00,6
2017-03-30 13:53:00,6
2017-03-31 11:53:00,6
2017-03-31 12:53:00,6
2017-03-31 13:53:00,6
2017-04-02 11:53:00,6
2017-04-02 12:53:00,6
2017-04-02 13:53:00,6
2017-04-03 11:53:00,6
2017-04-03 12:53:00,6
2017-04-03 13:53:00,6
2017-04-09 11:53:00,6
2017-04-09 13:53:00,6
2017-04-12 12:53:00,6
2017-04-20 12:53:00,7
2017-04-20 13:53:00,7
2017-04-20 14:53:00,6
2017-04-21 11:53:00,7
2017-04-21 12:53:00,7
2017-04-21 13:53:00,7
2017-04-21 14:53:00,6
2017-04-27 11:53:00,6
2017-04-27 12:53:00,6
2017-04-27 13:53:00,6
2017-04-28 12:53:00,6
2017-04-29 10:53:00,6
2017-04-29 11:53:00,8
2017-04-29 12:53:00,9
2017-04-29 13:53:00,9
2017-04-29 14:53:00,7
2017-04-30 10:53:00,6
2017-04-30 11:53:00,8
2017-04-30 12:53:00,9
2017-04-30 13:53:00,9
2017-04-30 14:53:00,7
2017-05-01 11:53:00,8
2017-05-01 12:53:00,9
2017-05-01 13:53:00,9
2017-05-01 14:53:00,7
2017-05-02 10:53:00,6
2017-05-03 10:53:00,6
2017-05-03 11:53:00,7
2017-05-03 12:53:00,8
2017-05-03 13:53:00,7
2017-05-03 14:53:00,6
2017-05-04 10:53:00,6
2017-05-04 11:53:00,7
2017-05-04 12:53:00,7
2017-05-04 13:53:00,6
2017-05-05 11:53:00,7
2017-05-05 12:53:00,7
2017-05-05 13:53:00,6
2017-05-07 11:53:00,7
2017-05-07 12:53:00,8
2017-05-07 13:53:00,8
2017-05-08 11:53:00,6
2017-05-08 12:53:00,7
2017-05-09 11:53:00,7
2017-05-09 12:53:00,8
2017-05-09 13:53:00,8
2017-05-11 13:53:00,6
2017-05-11 14:53:00,6
