valid_time_gmt,wdir
2017-01-06 09:53:00,10.0
2017-01-06 23:53:00,50.0
2017-01-10 21:20:00,10.0
2017-01-20 19:37:00,10.0
2017-01-23 02:53:00,50.0
2017-02-07 11:53:00,20.0
2017-02-13 09:53:00,50.0
2017-02-15 08:53:00,30.0
2017-02-20 13:49:00,50.0
2017-02-20 15:07:00,30.0
2017-02-25 11:53:00,40.0
2017-02-27 00:08:00,30.0
2017-02-27 00:18:00,20.0
2017-02-27 00:30:00,20.0
2017-03-01 20:53:00,10.0
2017-03-09 22:53:00,10.0
2017-03-12 22:53:00,20.0
2017-03-15 08:53:00,10.0
2017-03-16 00:53:00,30.0
2017-03-25 02:53:00,30.0
2017-03-25 03:12:00,10.0
2017-03-30 01:38:00,30.0
2017-03-30 01:53:00,20.0
2017-04-08 02:01:00,30.0
2017-04-11 02:53:00,20.0
2017-04-18 01:50:00,10.0
2017-04-18 01:53:00,10.0
2017-04-18 02:05:00,10.0
2017-04-18 02:14:00,10.0
2017-04-20 02:53:00,30.0
2017-04-20 03:05:00,50.0
2017-04-28 23:53:00,40.0
2017-04-29 00:53:00,50.0
2017-04-30 09:53:00,50.0
2017-05-14 22:53:00,10.0
2017-05-27 10:53:00,20.0
2017-06-01 02:48:00,40.0
2017-06-03 06:53:00,30.0
2017-06-18 06:53:00,30.0
2017-06-28 06:53:00,50.0
2017-06-28 07:53:00,20.0
2017-06-29 09:53:00,50.0
2017-06-30 06:53:00,10.0
2017-07-01 06:53:00,40.0
