valid_time_gmt,dewPt
2017-01-01 16:53:00,33.0
2017-01-05 10:53:00,33.0
2017-01-05 11:53:00,30.0
2017-01-05 12:53:00,31.0
2017-01-05 13:53:00,32.0
2017-01-05 14:53:00,32.0
2017-01-05 15:53:00,32.0
2017-01-05 16:53:00,33.0
2017-01-05 17:53:00,33.0
2017-01-05 18:53:00,33.0
2017-01-05 19:53:00,32.0
2017-01-05 21:53:00,33.0
2017-01-05 22:53:00,30.0
2017-01-05 23:53:00,32.0
2017-01-06 00:53:00,31.0
2017-01-06 01:53:00,31.0
2017-01-06 02:53:00,29.0
2017-01-06 03:53:00,29.0
2017-01-06 04:53:00,29.0
2017-01-06 05:53:00,28.0
2017-01-06 06:53:00,28.0
2017-01-06 07:53:00,29.0
2017-01-06 08:53:00,30.0
2017-01-06 09:53:00,29.0
2017-01-06 10:53:00,29.0
2017-01-06 11:53:00,30.0
2017-01-06 12:53:00,30.0
2017-01-06 13:53:00,30.0
2017-01-06 14:53:00,32.0
2017-01-06 15:53:00,33.0
2017-01-06 16:53:00,33.0
2017-01-06 19:53:00,33.0
2017-01-17 04:53:00,33.0
2017-01-25 05:53:00,33.0
2017-01-27 13:53:00,33.0
2017-01-27 23:53:00,33.0
2017-01-28 00:53:00,32.0
2017-01-28 01:53:00,33.0
2017-01-28 02:53:00,33.0
2017-01-28 03:53:00,32.0
2017-01-28 04:53:00,33.0
2017-01-28 05:53:00,32.0
2017-01-28 06:53:00,32.0
2017-01-28 07:53:00,33.0
2017-02-23 03:53:00,33.0
2017-02-23 04:53:00,32.0
2017-02-23 05:53:00,33.0
2017-02-23 06:53:00,33.0
2017-02-23 09:53:00,33.0
2017-02-23 10:53:00,32.0
2017-02-23 11:53:00,31.0
2017-02-23 12:53:00,31.0
2017-02-23 13:53:00,33.0
2017-02-23 14:53:00,31.0
2017-02-23 15:53:00,31.0
2017-02-23 16:53:00,33.0
2017-02-23 17:53:00,33.0
2017-02-23 23:53:00,33.0
2017-02-24 00:53:00,32.0
2017-02-24 01:53:00,33.0
2017-02-24 03:53:00,33.0
2017-02-24 04:53:00,32.0
2017-02-24 05:53:00,31.0
2017-02-24 06:53:00,33.0
2017-02-24 13:53:00,33.0
2017-02-24 14:53:00,33.0
2017-02-24 15:53:00,30.0
2017-02-24 16:53:00,30.0
2017-02-25 00:53:00,33.0
2017-02-25 01:53:00,33.0
2017-02-25 03:53:00,33.0
2017-02-25 04:53:00,33.0
2017-02-26 12:53:00,33.0
2017-03-31 04:53:00,33.0
2017-03-31 05:53:00,30.0
2017-03-31 06:53:00,31.0
2017-03-31 07:53:00,30.0
2017-03-31 08:53:00,30.0
2017-03-31 09:53:00,30.0
2017-03-31 10:53:00,29.0
2017-03-31 11:53:00,30.0
2017-03-31 12:53:00,28.0
2017-03-31 13:53:00,30.0
2017-03-31 14:53:00,30.0
2017-03-31 15:53:00,31.0
2017-03-31 16:53:00,31.0
2017-04-04 14:53:00,32.0
2017-04-04 16:53:00,32.0
2017-04-05 17:53:00,31.0
2017-04-05 18:53:00,28.0
2017-04-05 19:53:00,28.0
2017-04-05 20:53:00,32.0
2017-04-05 21:53:00,33.0
2017-04-05 22:53:00,32.0
2017-04-06 02:53:00,31.0
2017-04-06 03:53:00,30.0
2017-04-06 08:53:00,33.0
2017-04-06 10:53:00,24.0
2017-04-06 11:53:00,33.0
2017-04-06 13:53:00,27.0
2017-04-06 14:53:00,32.0
2017-04-14 15:53:00,33.0
2017-04-29 08:53:00,32.0
2017-05-04 11:53:00,62.0
2017-05-04 12:53:00,62.0
2017-06-16 13:53:00,62.0
2017-06-18 06:53:00,62.0
2017-06-18 07:53:00,63.0
2017-06-18 08:53:00,62.0
2017-06-18 09:53:00,63.0
2017-06-18 16:53:00,62.0
2017-06-19 11:53:00,63.0
2017-06-19 12:53:00,64.0
2017-06-19 13:53:00,63.0
2017-06-19 14:53:00,62.0
2017-06-19 15:53:00,63.0
2017-06-19 16:53:00,62.0
2017-06-19 17:53:00,62.0
2017-06-19 18:53:00,62.0
2017-06-19 22:53:00,62.0
2017-06-19 23:53:00,62.0
2017-06-20 00:53:00,62.0
2017-06-20 11:53:00,62.0
2017-06-20 12:53:00,63.0
2017-06-20 13:53:00,63.0
2017-06-20 15:53:00,62.0
2017-06-21 14:53:00,63.0
2017-06-21 15:53:00,63.0
2017-06-21 21:53:00,62.0
2017-06-21 22:53:00,63.0
2017-06-21 23:53:00,63.0
2017-06-22 00:53:00,63.0
2017-06-22 02:53:00,64.0
2017-06-22 03:53:00,63.0
2017-06-22 04:53:00,63.0
2017-06-22 05:53:00,62.0
2017-06-22 06:53:00,64.0
2017-06-22 11:53:00,63.0
2017-06-23 12:53:00,62.0
2017-06-23 13:53:00,62.0
2017-06-23 14:53:00,62.0
2017-06-23 15:53:00,62.0
2017-06-23 16:53:00,62.0
