valid_time_gmt,gust
2017-01-07 07:53:00,39.0
2017-01-18 15:53:00,40.0
2017-01-18 16:53:00,41.0
2017-01-18 17:53:00,44.0
2017-01-18 18:53:00,43.0
2017-01-20 03:53:00,38.0
2017-01-21 22:53:00,44.0
2017-01-21 23:53:00,44.0
2017-01-22 00:53:00,44.0
2017-01-22 01:53:00,41.0
2017-01-22 02:53:00,38.0
2017-01-22 03:53:00,38.0
2017-02-17 08:53:00,41.0
2017-02-17 10:53:00,39.0
2017-02-17 11:53:00,43.0
2017-02-17 12:01:00,39.0
2017-04-06 21:53:00,54.0
2017-04-06 22:53:00,41.0
2017-04-06 23:53:00,38.0
