valid_time_gmt,pressure
2017-01-19 23:53:00,29.61
2017-01-20 00:53:00,29.56
2017-01-20 01:53:00,29.5
2017-01-20 02:53:00,29.43
2017-01-20 03:53:00,29.32
2017-01-20 04:53:00,29.3
2017-01-20 05:18:00,29.34
2017-01-20 05:24:00,29.33
2017-01-20 05:29:00,29.32
2017-01-20 05:53:00,29.29
2017-01-20 06:53:00,29.28
2017-01-20 07:19:00,29.3
2017-01-20 07:37:00,29.31
2017-01-20 07:53:00,29.31
2017-01-20 08:07:00,29.32
2017-01-20 08:46:00,29.33
2017-01-20 08:53:00,29.32
2017-01-20 09:53:00,29.32
2017-01-20 10:53:00,29.34
2017-01-20 11:53:00,29.31
2017-01-20 12:53:00,29.29
2017-01-20 13:53:00,29.3
2017-01-20 13:57:00,29.31
2017-01-20 14:53:00,29.3
2017-01-20 15:53:00,29.31
2017-01-20 15:58:00,29.31
2017-01-20 16:53:00,29.32
2017-01-20 17:53:00,29.35
2017-01-20 18:53:00,29.38
2017-01-20 19:22:00,29.39
2017-01-20 19:37:00,29.4
2017-01-20 19:53:00,29.41
2017-01-20 20:53:00,29.43
2017-01-20 21:53:00,29.45
2017-01-20 22:53:00,29.47
2017-01-20 23:53:00,29.49
2017-01-21 00:53:00,29.5
2017-01-21 01:53:00,29.53
2017-01-21 02:53:00,29.56
2017-01-21 03:53:00,29.57
2017-01-21 04:53:00,29.61
2017-01-22 03:53:00,29.62
2017-01-22 04:53:00,29.62
2017-01-22 14:53:00,29.61
2017-01-22 15:53:00,29.62
2017-01-25 19:53:00,30.3
2017-01-25 20:53:00,30.31
2017-01-25 21:53:00,30.33
2017-01-25 22:53:00,30.34
2017-01-25 23:53:00,30.35
2017-01-26 00:53:00,30.33
2017-01-26 01:53:00,30.33
2017-01-26 02:53:00,30.34
2017-01-26 03:53:00,30.35
2017-01-26 04:53:00,30.36
2017-01-26 05:53:00,30.36
2017-01-26 06:53:00,30.37
2017-01-26 07:53:00,30.36
2017-01-26 08:53:00,30.37
2017-01-26 09:53:00,30.4
2017-01-26 10:53:00,30.41
2017-01-26 11:53:00,30.38
2017-01-26 12:53:00,30.36
2017-01-26 13:53:00,30.35
2017-01-26 14:53:00,30.35
2017-01-26 15:53:00,30.35
2017-01-26 16:53:00,30.35
2017-01-26 17:53:00,30.35
2017-01-26 18:53:00,30.37
2017-01-26 19:53:00,30.37
2017-01-26 20:53:00,30.38
2017-01-26 21:53:00,30.4
2017-01-26 22:53:00,30.42
2017-01-26 23:53:00,30.42
2017-01-27 00:53:00,30.41
2017-01-27 01:53:00,30.42
2017-01-27 02:53:00,30.42
2017-01-27 03:53:00,30.44
2017-01-27 04:53:00,30.46
2017-01-27 05:53:00,30.47
2017-01-27 06:53:00,30.48
2017-01-27 07:53:00,30.49
2017-01-27 08:53:00,30.51
2017-01-27 09:53:00,30.53
2017-01-27 10:53:00,30.52
2017-01-27 11:53:00,30.49
2017-01-27 12:53:00,30.47
2017-01-27 13:53:00,30.47
2017-01-27 14:53:00,30.46
2017-01-27 15:53:00,30.47
2017-01-27 16:53:00,30.48
2017-01-27 17:53:00,30.49
2017-01-27 18:53:00,30.5
2017-01-27 19:53:00,30.51
2017-01-27 20:53:00,30.52
2017-01-27 21:53:00,30.52
2017-01-27 22:53:00,30.52
2017-01-27 23:53:00,30.51
2017-01-28 00:53:00,30.49
2017-01-28 01:53:00,30.49
2017-01-28 02:53:00,30.51
2017-01-28 03:53:00,30.5
2017-01-28 04:53:00,30.5
2017-01-28 05:53:00,30.52
2017-01-28 06:53:00,30.52
2017-01-28 07:53:00,30.52
2017-01-28 08:53:00,30.52
2017-01-28 09:53:00,30.53
2017-01-28 10:53:00,30.51
2017-01-28 11:53:00,30.48
2017-01-28 12:53:00,30.44
2017-01-28 13:53:00,30.41
2017-01-28 14:53:00,30.4
2017-01-28 15:53:00,30.4
2017-01-28 16:53:00,30.41
2017-01-28 17:53:00,30.41
2017-01-28 18:53:00,30.41
2017-01-28 19:53:00,30.42
2017-01-28 20:53:00,30.43
2017-01-28 21:53:00,30.43
2017-01-28 22:53:00,30.42
2017-01-28 23:53:00,30.42
2017-01-29 00:53:00,30.4
2017-01-29 01:53:00,30.41
2017-01-29 02:53:00,30.41
2017-01-29 03:53:00,30.39
2017-01-29 04:53:00,30.38
2017-01-29 05:53:00,30.38
2017-01-29 06:53:00,30.39
2017-01-29 07:53:00,30.39
2017-01-29 08:53:00,30.41
2017-01-29 09:53:00,30.42
2017-01-29 10:53:00,30.4
2017-01-29 11:53:00,30.38
2017-01-29 12:53:00,30.34
