valid_time_gmt,rh
2017-01-28 13:53:00,36.0
2017-01-28 14:53:00,34.0
2017-02-12 12:53:00,37.0
2017-02-12 13:53:00,37.0
2017-02-12 14:53:00,37.0
2017-02-14 14:53:00,36.0
2017-03-12 16:53:00,34.0
2017-03-13 14:53:00,33.0
2017-03-17 12:53:00,36.0
2017-03-17 13:53:00,33.0
2017-03-17 15:53:00,36.0
2017-03-17 16:53:00,36.0
2017-03-17 17:53:00,34.0
2017-03-18 14:53:00,33.0
2017-03-18 15:53:00,31.0
2017-03-28 14:53:00,35.0
2017-03-28 15:53:00,37.0
2017-03-31 08:53:00,36.0
2017-03-31 09:53:00,32.0
2017-03-31 10:53:00,28.0
2017-03-31 11:53:00,26.0
2017-03-31 12:53:00,22.0
2017-03-31 13:53:00,23.0
2017-03-31 14:53:00,22.0
2017-03-31 15:53:00,22.0
2017-03-31 16:53:00,21.0
2017-03-31 17:53:00,26.0
2017-03-31 18:53:00,36.0
2017-04-01 09:53:00,34.0
2017-04-01 10:53:00,28.0
2017-04-01 11:53:00,27.0
2017-04-01 12:53:00,26.0
2017-04-01 13:53:00,24.0
2017-04-01 14:53:00,24.0
2017-04-01 15:53:00,22.0
2017-04-01 16:53:00,22.0
2017-04-01 17:53:00,26.0
2017-04-01 18:53:00,33.0
2017-04-03 11:53:00,34.0
2017-04-03 12:53:00,31.0
2017-04-03 13:53:00,29.0
2017-04-03 14:53:00,30.0
2017-04-03 15:53:00,27.0
2017-04-03 16:53:00,27.0
2017-04-03 17:53:00,31.0
2017-04-04 11:53:00,32.0
2017-04-04 12:53:00,27.0
2017-04-04 13:53:00,27.0
2017-04-04 14:53:00,22.0
2017-04-04 15:53:00,24.0
2017-04-04 16:53:00,21.0
2017-04-05 10:53:00,36.0
2017-04-05 11:53:00,35.0
2017-04-05 12:53:00,35.0
2017-04-05 13:53:00,37.0
2017-04-05 14:53:00,30.0
2017-04-05 15:53:00,29.0
2017-04-05 16:53:00,27.0
2017-04-05 17:53:00,24.0
2017-04-05 18:53:00,22.0
2017-04-05 19:53:00,26.0
2017-04-05 20:53:00,32.0
2017-04-05 21:53:00,33.0
2017-04-05 22:53:00,32.0
2017-04-06 02:53:00,36.0
2017-04-06 03:53:00,35.0
2017-04-06 08:53:00,35.0
2017-04-06 10:53:00,22.0
2017-04-06 11:53:00,31.0
2017-04-06 13:53:00,25.0
2017-04-06 14:53:00,29.0
2017-04-06 15:53:00,32.0
2017-04-06 16:53:00,34.0
2017-04-06 17:53:00,34.0
2017-04-09 15:53:00,35.0
2017-04-14 14:53:00,37.0
2017-04-14 15:53:00,33.0
2017-04-14 16:53:00,34.0
2017-04-15 13:53:00,35.0
2017-04-15 14:53:00,35.0
2017-04-15 15:53:00,35.0
