valid_time_gmt,wspd
2017-01-07 06:53:00,28.0
2017-01-07 07:53:00,29.0
2017-01-08 03:53:00,25.0
2017-01-18 14:53:00,25.0
2017-01-18 15:53:00,30.0
2017-01-18 16:53:00,32.0
2017-01-18 17:53:00,31.0
2017-01-18 18:53:00,33.0
2017-01-20 03:53:00,31.0
2017-01-20 04:53:00,29.0
2017-01-20 13:53:00,25.0
2017-01-20 13:57:00,26.0
2017-01-21 22:53:00,29.0
2017-01-21 23:53:00,32.0
2017-01-22 00:53:00,36.0
2017-01-22 01:53:00,31.0
2017-01-22 02:53:00,28.0
2017-01-22 03:53:00,28.0
2017-02-17 08:53:00,31.0
2017-02-17 11:53:00,32.0
2017-02-17 12:01:00,26.0
2017-02-19 22:53:00,25.0
2017-04-06 21:53:00,26.0
2017-04-06 22:53:00,29.0
