,gust
23.0,0.02021310650752275
24.0,0.019344217313760462
25.0,0.017812228472126948
22.0,0.017377783875245804
26.0,0.015708602003018247
21.0,0.013010472401335346
28.0,0.01209585219737504
29.0,0.010083687748662367
20.0,0.009283395070197101
30.0,0.008345909361137788
31.0,0.0071111720857913755
18.0,0.005830703800246947
32.0,0.005213335162573741
17.0,0.004275849453514428
33.0,0.004024328897425344
35.0,0.00338409475465313
36.0,0.0028581881373759546
37.0,0.002652398591484886
38.0,0.0017149128824255728
16.0,0.0013719303059404582
39.0,0.0012347372753464124
43.0,0.0008917546988612979
40.0,0.0008231581835642749
41.0,0.0008002926784652673
44.0,0.0005716376274751909
46.0,0.0004344445968811451
45.0,0.0002972515662870993
47.0,0.0002972515662870993
48.0,0.00022865505099007636
52.0,0.00013719303059404582
51.0,0.00011432752549503818
56.0,9.146202039603055e-05
49.0,9.146202039603055e-05
54.0,6.859651529702291e-05
53.0,6.859651529702291e-05
58.0,4.573101019801528e-05
59.0,2.286550509900764e-05
55.0,2.286550509900764e-05
