,min_temp
68.0,0.0013033337906434353
70.0,0.0012804682855444276
71.0,0.0011432752549503818
66.0,0.0011432752549503818
63.0,0.0010975442447523666
64.0,0.0010746787396533589
62.0,0.001006082224356336
31.0,0.001006082224356336
67.0,0.001006082224356336
69.0,0.001006082224356336
58.0,0.0009832167192573285
65.0,0.0009832167192573285
44.0,0.0009603512141583208
61.0,0.0008688891937622903
43.0,0.0008688891937622903
33.0,0.0008231581835642749
72.0,0.0008231581835642749
42.0,0.0008231581835642749
36.0,0.0008002926784652673
39.0,0.0008002926784652673
60.0,0.0008002926784652673
37.0,0.0007774271733662596
46.0,0.0007774271733662596
57.0,0.0007774271733662596
35.0,0.000754561668267252
29.0,0.000754561668267252
47.0,0.000754561668267252
53.0,0.000754561668267252
59.0,0.0007316961631682444
34.0,0.0007316961631682444
50.0,0.0007316961631682444
41.0,0.0007316961631682444
73.0,0.0007316961631682444
38.0,0.0007088306580692367
45.0,0.0007088306580692367
25.0,0.0006859651529702291
24.0,0.0006630996478712215
74.0,0.0006630996478712215
21.0,0.0006402341427722138
54.0,0.0006402341427722138
28.0,0.0006173686376732062
22.0,0.0006173686376732062
48.0,0.0006173686376732062
16.0,0.0005945031325741986
27.0,0.0005945031325741986
40.0,0.0005945031325741986
51.0,0.0005716376274751909
55.0,0.0005716376274751909
13.0,0.0005716376274751909
20.0,0.0005716376274751909
75.0,0.0005716376274751909
17.0,0.0005487721223761833
56.0,0.0005487721223761833
30.0,0.0005487721223761833
26.0,0.0005259066172771757
49.0,0.0005259066172771757
23.0,0.0005259066172771757
52.0,0.0004801756070791604
19.0,0.0004573101019801527
14.0,0.0003887135866831298
18.0,0.0003887135866831298
32.0,0.0003658480815841222
2.0,0.00034298257648511456
1.0,0.0003201170713861069
11.0,0.0003201170713861069
76.0,0.0003201170713861069
77.0,0.0002972515662870993
15.0,0.0002972515662870993
9.0,0.0002972515662870993
79.0,0.00027438606118809165
5.0,0.000251520556089084
-2.0,0.00022865505099007636
4.0,0.00022865505099007636
7.0,0.00022865505099007636
12.0,0.00022865505099007636
6.0,0.00022865505099007636
0.0,0.00020578954589106874
78.0,0.0001829240407920611
10.0,0.0001829240407920611
-1.0,0.0001829240407920611
80.0,0.00016005853569305345
8.0,0.00016005853569305345
3.0,0.00013719303059404582
81.0,0.00013719303059404582
84.0,0.00011432752549503818
-3.0,0.00011432752549503818
82.0,0.00011432752549503818
85.0,9.146202039603055e-05
-11.0,9.146202039603055e-05
-4.0,6.859651529702291e-05
91.0,6.859651529702291e-05
-5.0,4.573101019801528e-05
87.0,4.573101019801528e-05
-6.0,4.573101019801528e-05
-7.0,4.573101019801528e-05
83.0,4.573101019801528e-05
93.0,2.286550509900764e-05
89.0,2.286550509900764e-05
-14.0,2.286550509900764e-05
88.0,2.286550509900764e-05
-15.0,2.286550509900764e-05
-12.0,2.286550509900764e-05
-10.0,2.286550509900764e-05
