,precip_total
0.01,0.0011890062651483972
0.02,0.0005945031325741986
0.03,0.0005716376274751909
0.05,0.00041157909178213747
0.06,0.00034298257648511456
0.04,0.00034298257648511456
0.1,0.00027438606118809165
0.08,0.000251520556089084
0.07,0.00020578954589106874
0.24,0.00020578954589106874
0.22,0.0001829240407920611
0.15,0.0001829240407920611
0.09,0.00016005853569305345
0.48,0.00016005853569305345
0.17,0.00016005853569305345
0.11,0.00013719303059404582
0.12,0.00013719303059404582
0.21,0.00013719303059404582
0.3,0.00013719303059404582
0.18,0.00011432752549503818
0.2,0.00011432752549503818
0.7,0.00011432752549503818
0.23,0.00011432752549503818
0.37,0.00011432752549503818
0.25,0.00011432752549503818
0.13,0.00011432752549503818
0.65,9.146202039603055e-05
0.26,9.146202039603055e-05
0.43,9.146202039603055e-05
0.29,6.859651529702291e-05
0.66,6.859651529702291e-05
0.34,6.859651529702291e-05
0.78,6.859651529702291e-05
0.16,6.859651529702291e-05
0.33,6.859651529702291e-05
0.84,6.859651529702291e-05
0.4,6.859651529702291e-05
0.27,4.573101019801528e-05
0.59,4.573101019801528e-05
0.38,4.573101019801528e-05
1.33,4.573101019801528e-05
1.2,4.573101019801528e-05
0.35,4.573101019801528e-05
0.36,4.573101019801528e-05
0.52,4.573101019801528e-05
0.45,4.573101019801528e-05
0.5,4.573101019801528e-05
0.28,4.573101019801528e-05
0.82,4.573101019801528e-05
0.74,4.573101019801528e-05
0.39,4.573101019801528e-05
0.42,4.573101019801528e-05
0.54,4.573101019801528e-05
0.14,4.573101019801528e-05
1.02,4.573101019801528e-05
1.1,2.286550509900764e-05
0.72,2.286550509900764e-05
0.88,2.286550509900764e-05
0.19,2.286550509900764e-05
1.04,2.286550509900764e-05
0.47,2.286550509900764e-05
0.86,2.286550509900764e-05
0.76,2.286550509900764e-05
1.05,2.286550509900764e-05
0.57,2.286550509900764e-05
0.51,2.286550509900764e-05
0.0,2.286550509900764e-05
1.0,2.286550509900764e-05
0.44,2.286550509900764e-05
1.16,2.286550509900764e-05
2.25,2.286550509900764e-05
1.18,2.286550509900764e-05
0.96,2.286550509900764e-05
0.31,2.286550509900764e-05
0.58,2.286550509900764e-05
0.71,2.286550509900764e-05
1.87,2.286550509900764e-05
1.89,2.286550509900764e-05
0.95,2.286550509900764e-05
1.01,2.286550509900764e-05
0.73,2.286550509900764e-05
1.75,2.286550509900764e-05
0.64,2.286550509900764e-05
1.11,2.286550509900764e-05
0.69,2.286550509900764e-05
1.88,2.286550509900764e-05
1.7,2.286550509900764e-05
0.79,2.286550509900764e-05
0.77,2.286550509900764e-05
0.63,2.286550509900764e-05
1.5,2.286550509900764e-05
4.22,2.286550509900764e-05
0.41,2.286550509900764e-05
1.09,2.286550509900764e-05
1.06,2.286550509900764e-05
1.29,2.286550509900764e-05
0.32,2.286550509900764e-05
1.44,2.286550509900764e-05
1.35,2.286550509900764e-05
