,rh
93.0,0.03235468971509581
73.0,0.025014862578314354
76.0,0.02478620752732428
79.0,0.02476334202222527
78.0,0.023368546211185805
71.0,0.022774043078611608
68.0,0.022408194997027484
90.0,0.022019481410344356
81.0,0.021836557369552295
89.0,0.021722229844057254
86.0,0.021607902318562217
75.0,0.021402112772671147
87.0,0.021310650752275118
66.0,0.02121918873187909
69.0,0.02108199570128504
74.0,0.02080760964009695
84.0,0.020739013124799928
61.0,0.02069328211460191
65.0,0.020533223578908858
64.0,0.020350299538116796
67.0,0.019915854941235652
59.0,0.019618603374948553
70.0,0.019504275849453516
72.0,0.01877257968628527
63.0,0.018658252160790232
82.0,0.018658252160790232
60.0,0.018543924635295195
62.0,0.017880824987423972
58.0,0.017446380390542828
56.0,0.016486029176384507
85.0,0.016074450084602367
57.0,0.015982988064206338
54.0,0.015434215941830155
80.0,0.015205560890840079
83.0,0.014862578314354963
53.0,0.014679654273562904
55.0,0.014633923263364887
52.0,0.013970823615493667
51.0,0.013239127452325422
50.0,0.013216261947226414
77.0,0.012850413865642292
48.0,0.01248456578405817
46.0,0.01113550098321672
47.0,0.010701056386335573
49.0,0.010220880779256415
44.0,0.010015091233365345
45.0,0.010015091233365345
96.0,0.0098778982027713
42.0,0.009855032697672291
43.0,0.009466319110989161
88.0,0.007820002743860612
40.0,0.007522751177573513
41.0,0.007339827136781452
38.0,0.007271230621484428
100.0,0.0071111720857913755
92.0,0.006951113550098322
39.0,0.006836786024603284
37.0,0.006288013902227101
97.0,0.006219417386930077
36.0,0.0051218731421777105
35.0,0.005076142131979695
34.0,0.00455023551470252
32.0,0.003338363744455115
33.0,0.0033154982393561075
94.0,0.0029953811679700004
91.0,0.0028581881373759546
31.0,0.002835322632276947
30.0,0.002812457127177939
29.0,0.0023780125302967944
27.0,0.0019207024283166415
28.0,0.0018749714181186263
25.0,0.0016691818722275576
26.0,0.0015548543467325193
24.0,0.001006082224356336
22.0,0.0007316961631682444
23.0,0.0005945031325741986
21.0,0.0005259066172771757
19.0,0.00034298257648511456
17.0,0.000251520556089084
18.0,0.00016005853569305345
15.0,0.00016005853569305345
20.0,0.00016005853569305345
16.0,0.00011432752549503818
14.0,2.286550509900764e-05
