,wc
73.0,0.023848721818264966
72.0,0.02227100196643344
71.0,0.021859422874651303
70.0,0.02101339918598802
74.0,0.020670416609502903
69.0,0.0197557964055426
75.0,0.019207024283166414
76.0,0.01868111766588924
67.0,0.018566790140394203
68.0,0.017743631956829927
66.0,0.017080532308958705
77.0,0.01664608771207756
50.0,0.016600356701879544
64.0,0.015822929528513285
63.0,0.015411350436731147
62.0,0.01529702291123611
65.0,0.014771116293958934
78.0,0.014633923263364887
61.0,0.014542461242968856
60.0,0.014199478666483743
30.0,0.014176613161384735
79.0,0.014085151140988704
59.0,0.013124799926830385
80.0,0.013101934421731376
57.0,0.013079068916632368
51.0,0.012804682855444277
58.0,0.01278181735034527
54.0,0.01278181735034527
41.0,0.012758951845246261
52.0,0.012758951845246261
40.0,0.012758951845246261
33.0,0.012530296794256185
42.0,0.012507431289157177
56.0,0.012461700278959162
53.0,0.01239310376366214
39.0,0.01200439017697901
81.0,0.011867197146384964
55.0,0.01161567659029588
31.0,0.011501349064800841
29.0,0.01140988704440481
28.0,0.011295559518909773
36.0,0.011272694013810765
38.0,0.011066904467919697
32.0,0.01102117345772168
23.0,0.010952576942424658
25.0,0.010906845932226643
27.0,0.010815383911830612
43.0,0.010769652901632598
82.0,0.01074678739653359
22.0,0.010723921891434582
26.0,0.01063245987103855
37.0,0.010129418758860384
24.0,0.009923629212969314
44.0,0.009900763707870307
83.0,0.009443453605890155
35.0,0.00919193304980107
19.0,0.008963277998810994
34.0,0.008963277998810994
45.0,0.008688891937622902
21.0,0.008414505876434811
17.0,0.008162985320345727
16.0,0.00793433026935565
20.0,0.007911464764256642
84.0,0.007751406228563589
85.0,0.007385558146979467
18.0,0.007339827136781452
9.0,0.006562399963415192
11.0,0.006082224356336032
12.0,0.005945031325741985
14.0,0.005830703800246947
13.0,0.0056477797594548865
86.0,0.005624914254355878
15.0,0.005579183244157864
7.0,0.00541912470846481
4.0,0.005053276626880688
10.0,0.004893218091187634
8.0,0.004664563040197558
5.0,0.004138656422920382
87.0,0.004070059907623359
88.0,0.0039785978872273284
6.0,0.003841404856633283
3.0,0.0034526912699501533
89.0,0.0032011707138610694
46.0,0.003086843188366031
2.0,0.0029953811679700004
47.0,0.0027438606118809165
1.0,0.0026066675812868706
0.0,0.0026066675812868706
-3.0,0.002583802076187863
-8.0,0.002217953994603741
-2.0,0.0021493574793067178
-5.0,0.0021036264691087028
90.0,0.0020350299538116796
-1.0,0.002012164448712672
91.0,0.0018063749028216034
-7.0,0.0018063749028216034
-6.0,0.0017377783875245805
-12.0,0.0016463163671285499
-9.0,0.0016005853569305347
-4.0,0.0014405268212374811
-10.0,0.0013490648008414505
-14.0,0.0012804682855444276
48.0,0.0012347372753464124
92.0,0.0012118717702474047
-13.0,0.0011890062651483972
-11.0,0.0011432752549503818
49.0,0.0011204097498513743
-15.0,0.0010518132345543514
-17.0,0.0009603512141583208
93.0,0.0008688891937622903
-16.0,0.0006859651529702291
-18.0,0.0006630996478712215
94.0,0.0005259066172771757
-19.0,0.0004344445968811451
-21.0,0.0003887135866831298
-20.0,0.0003887135866831298
-22.0,0.0003201170713861069
95.0,0.0002972515662870993
-24.0,0.00027438606118809165
-23.0,0.00013719303059404582
-27.0,0.00013719303059404582
96.0,9.146202039603055e-05
-31.0,9.146202039603055e-05
-25.0,9.146202039603055e-05
-28.0,9.146202039603055e-05
-37.0,9.146202039603055e-05
-35.0,6.859651529702291e-05
-32.0,6.859651529702291e-05
-30.0,6.859651529702291e-05
-39.0,6.859651529702291e-05
-26.0,4.573101019801528e-05
-34.0,4.573101019801528e-05
-36.0,4.573101019801528e-05
-38.0,4.573101019801528e-05
-40.0,4.573101019801528e-05
-29.0,2.286550509900764e-05
-41.0,2.286550509900764e-05
