,wspd
7.0,0.09470892212008963
8.0,0.09390862944162437
9.0,0.0901129555951891
10.0,0.0886266977637536
6.0,0.08041798143320986
12.0,0.0787487995609823
13.0,0.06665294736360726
5.0,0.0652581515525678
14.0,0.05471715370192527
15.0,0.04721726802945077
3.0,0.04616545479489642
0.0,0.038985686193808024
16.0,0.036447615127818175
17.0,0.02865047788905657
18.0,0.022362463986829468
20.0,0.01751497690583985
21.0,0.012141583207573055
22.0,0.008391640371335803
23.0,0.006127955366534047
24.0,0.004001463392326337
25.0,0.0028810536424749623
26.0,0.0018063749028216034
28.0,0.0015548543467325193
29.0,0.0010975442447523666
30.0,0.0005945031325741986
31.0,0.0004801756070791604
32.0,0.0003658480815841222
35.0,0.00022865505099007636
33.0,0.0001829240407920611
37.0,0.00011432752549503818
36.0,9.146202039603055e-05
39.0,6.859651529702291e-05
38.0,4.573101019801528e-05
43.0,2.286550509900764e-05
40.0,2.286550509900764e-05
