valid_time_gmt,feels_like
2013-07-18 14:51:00,101.0
2013-08-30 13:51:00,102.0
2013-08-30 16:51:00,101.0
2013-09-09 15:51:00,101.0
2013-09-09 16:51:00,101.0
2013-11-27 05:51:00,-2.0
2013-12-07 00:51:00,-1.0
2013-12-07 04:51:00,-1.0
2013-12-07 05:51:00,-2.0
2013-12-07 06:51:00,-2.0
2013-12-07 08:51:00,-1.0
2013-12-09 15:51:00,-1.0
2013-12-09 16:51:00,-2.0
2013-12-09 17:51:00,-3.0
2013-12-09 18:51:00,-7.0
2013-12-09 19:51:00,-8.0
2013-12-09 20:51:00,-8.0
2013-12-09 21:51:00,-11.0
2013-12-09 22:51:00,-9.0
2013-12-09 23:51:00,-12.0
2013-12-10 00:51:00,-9.0
2013-12-10 01:51:00,-9.0
2013-12-10 02:51:00,-10.0
2013-12-10 03:51:00,-13.0
2013-12-10 04:51:00,-12.0
2013-12-10 05:51:00,-13.0
2013-12-10 06:51:00,-10.0
2013-12-10 07:51:00,-8.0
2013-12-10 08:51:00,-3.0
2013-12-11 16:51:00,-5.0
2013-12-11 17:51:00,-3.0
2013-12-11 18:51:00,-5.0
2013-12-11 19:51:00,-8.0
2013-12-11 20:51:00,-11.0
2013-12-11 21:51:00,-11.0
2013-12-11 22:51:00,-14.0
2013-12-11 23:51:00,-13.0
2013-12-12 00:51:00,-12.0
2013-12-12 01:51:00,-10.0
2013-12-12 02:51:00,-15.0
2013-12-12 03:51:00,-17.0
2013-12-12 04:51:00,-18.0
2013-12-12 05:51:00,-15.0
2013-12-12 06:51:00,-14.0
2013-12-12 07:51:00,-13.0
2013-12-12 08:51:00,-12.0
2013-12-12 09:51:00,-10.0
2013-12-12 10:51:00,-2.0
2013-12-12 11:51:00,-1.0
2013-12-15 11:51:00,-1.0
2013-12-15 18:51:00,-1.0
2013-12-23 13:51:00,-1.0
2013-12-23 14:51:00,-2.0
2013-12-23 15:51:00,-6.0
2013-12-23 16:51:00,-10.0
2013-12-23 17:51:00,-8.0
2013-12-23 18:51:00,-15.0
2013-12-23 19:51:00,-17.0
2013-12-23 20:51:00,-18.0
2013-12-23 21:51:00,-18.0
2013-12-23 22:51:00,-17.0
2013-12-23 23:51:00,-18.0
2013-12-24 00:51:00,-17.0
2013-12-24 01:51:00,-17.0
2013-12-24 02:51:00,-17.0
2013-12-24 03:25:00,-16.0
2013-12-24 03:51:00,-16.0
2013-12-24 04:51:00,-17.0
2013-12-24 05:51:00,-18.0
2013-12-24 06:51:00,-14.0
2013-12-24 07:43:00,-12.0
2013-12-24 07:51:00,-12.0
2013-12-24 08:14:00,-12.0
2013-12-24 08:51:00,-10.0
2013-12-24 09:51:00,-4.0
2013-12-24 10:51:00,-7.0
2013-12-24 11:51:00,-1.0
2013-12-29 23:51:00,-1.0
2013-12-30 00:51:00,-3.0
2013-12-30 01:51:00,-5.0
2013-12-30 02:51:00,-5.0
2013-12-30 03:51:00,-8.0
2013-12-30 04:51:00,-10.0
2013-12-30 05:51:00,-7.0
2013-12-30 06:51:00,-6.0
2013-12-30 08:51:00,-6.0
2013-12-30 09:51:00,-3.0
2013-12-30 22:51:00,-1.0
2013-12-30 23:38:00,-2.0
2013-12-30 23:51:00,-3.0
2013-12-31 00:51:00,-3.0
2013-12-31 01:51:00,-3.0
2013-12-31 02:51:00,-3.0
2013-12-31 03:51:00,-5.0
2013-12-31 04:51:00,-4.0
2013-12-31 05:51:00,-7.0
2013-12-31 06:51:00,-12.0
2013-12-31 07:51:00,-9.0
2013-12-31 08:51:00,-9.0
2013-12-31 09:51:00,-4.0
2013-12-31 10:51:00,-5.0
2013-12-31 11:51:00,-3.0
2013-12-31 14:07:00,-2.0
2014-01-02 17:51:00,-1.0
2014-01-02 18:51:00,-6.0
2014-01-02 19:51:00,-8.0
2014-01-02 20:51:00,-9.0
2014-01-02 21:51:00,-8.0
2014-01-02 22:51:00,-9.0
2014-01-02 23:51:00,-10.0
2014-01-03 00:51:00,-8.0
2014-01-03 01:51:00,-8.0
2014-01-03 03:51:00,-12.0
2014-01-03 04:51:00,-9.0
2014-01-03 05:51:00,-1.0
2014-01-03 06:51:00,-1.0
2014-01-03 07:51:00,-14.0
2014-01-03 08:51:00,-12.0
2014-01-03 09:51:00,-8.0
2014-01-03 10:51:00,-5.0
2014-01-03 11:51:00,-1.0
2014-01-05 13:51:00,-3.0
2014-01-05 14:34:00,-2.0
2014-01-05 14:51:00,-3.0
2014-01-05 15:25:00,-3.0
2014-01-05 15:45:00,-5.0
2014-01-05 15:51:00,-4.0
2014-01-05 16:51:00,-8.0
2014-01-05 17:51:00,-6.0
2014-01-05 18:51:00,-15.0
2014-01-05 19:51:00,-17.0
2014-01-05 20:25:00,-17.0
2014-01-05 20:42:00,-18.0
2014-01-05 20:51:00,-16.0
2014-01-05 20:55:00,-17.0
2014-01-05 21:05:00,-19.0
2014-01-05 21:51:00,-20.0
2014-01-05 22:51:00,-19.0
2014-01-05 23:51:00,-19.0
2014-01-06 00:51:00,-27.0
2014-01-06 01:51:00,-27.0
2014-01-06 02:51:00,-28.0
2014-01-06 03:04:00,-31.0
2014-01-06 03:51:00,-32.0
2014-01-06 04:51:00,-34.0
2014-01-06 05:51:00,-37.0
2014-01-06 06:51:00,-38.0
2014-01-06 07:51:00,-37.0
2014-01-06 08:51:00,-38.0
2014-01-06 09:51:00,-41.0
2014-01-06 10:51:00,-40.0
2014-01-06 11:42:00,-39.0
2014-01-06 11:51:00,-40.0
2014-01-06 12:51:00,-39.0
2014-01-06 13:51:00,-36.0
2014-01-06 14:51:00,-39.0
2014-01-06 15:51:00,-37.0
2014-01-06 16:51:00,-37.0
2014-01-06 17:25:00,-36.0
2014-01-06 17:51:00,-34.0
2014-01-06 18:51:00,-35.0
2014-01-06 19:51:00,-35.0
2014-01-06 20:51:00,-35.0
2014-01-06 21:51:00,-32.0
2014-01-06 22:51:00,-31.0
2014-01-06 23:51:00,-32.0
2014-01-07 00:51:00,-31.0
2014-01-07 01:51:00,-31.0
2014-01-07 02:51:00,-29.0
2014-01-07 03:51:00,-27.0
2014-01-07 04:51:00,-30.0
2014-01-07 05:51:00,-27.0
