valid_time_gmt,gust
2013-07-23 00:21:00,38.0
2013-08-12 14:51:00,38.0
2013-08-12 14:55:00,38.0
2013-08-30 18:06:00,54.0
2013-08-30 18:15:00,54.0
2013-08-30 18:37:00,46.0
2013-11-17 11:51:00,38.0
2013-11-17 12:35:00,43.0
2013-11-17 12:42:00,43.0
2013-11-17 12:51:00,41.0
2013-11-17 13:02:00,45.0
2013-11-17 13:33:00,39.0
2013-11-17 13:51:00,47.0
2013-11-17 13:56:00,47.0
2013-11-17 15:18:00,41.0
2013-11-17 15:51:00,59.0
2013-11-17 16:51:00,51.0
2013-11-17 17:51:00,40.0
2013-11-17 18:51:00,47.0
2013-11-17 19:51:00,41.0
2013-11-17 20:51:00,44.0
2014-01-14 15:51:00,39.0
2014-01-14 17:51:00,41.0
2014-01-24 13:51:00,39.0
2014-01-24 14:51:00,38.0
2014-01-24 16:51:00,40.0
2014-01-26 12:14:00,40.0
2014-01-26 20:01:00,39.0
2014-01-30 14:32:00,44.0
2014-02-20 19:51:00,44.0
2014-02-20 20:51:00,43.0
2014-02-20 21:51:00,44.0
2014-02-20 22:51:00,38.0
2014-02-20 23:51:00,40.0
2014-02-21 01:51:00,44.0
2014-02-21 02:51:00,43.0
2014-02-21 04:51:00,40.0
2014-02-21 05:51:00,40.0
2014-02-21 06:04:00,41.0
2014-02-21 06:51:00,46.0
2014-02-21 07:19:00,43.0
2014-02-21 07:29:00,41.0
2014-02-21 09:51:00,45.0
2014-02-21 10:41:00,47.0
2014-02-21 10:51:00,44.0
2014-02-21 11:51:00,46.0
2014-02-21 12:51:00,47.0
2014-02-21 13:51:00,43.0
2014-02-21 15:51:00,38.0
2014-03-12 05:14:00,39.0
2014-03-27 19:51:00,38.0
2014-03-27 20:14:00,43.0
2014-03-28 00:51:00,38.0
2014-03-31 15:51:00,38.0
2014-03-31 16:51:00,43.0
2014-04-01 06:51:00,38.0
2014-04-01 07:51:00,41.0
2014-04-04 12:51:00,38.0
2014-04-04 16:51:00,39.0
2014-04-12 15:51:00,41.0
2014-04-12 16:51:00,44.0
2014-04-12 17:51:00,38.0
2014-04-13 23:51:00,44.0
2014-05-11 19:08:00,41.0
2014-06-02 11:59:00,53.0
2014-06-02 12:08:00,38.0
2014-06-18 11:39:00,38.0
2014-06-28 18:51:00,39.0
2014-06-30 19:21:00,44.0
2014-06-30 22:21:00,58.0
2014-06-30 22:28:00,58.0
2014-06-30 22:35:00,40.0
2014-07-12 23:51:00,38.0
2014-08-19 12:44:00,40.0
2014-08-25 13:03:00,43.0
2014-08-25 13:11:00,43.0
2014-08-25 13:18:00,38.0
2014-08-26 11:11:00,41.0
2014-09-05 16:56:00,38.0
2014-09-05 17:02:00,38.0
2014-10-03 15:53:00,39.0
2014-10-31 09:53:00,46.0
2014-10-31 10:53:00,48.0
2014-10-31 11:53:00,48.0
2014-10-31 12:53:00,48.0
2014-10-31 13:53:00,46.0
2014-10-31 14:40:00,49.0
2014-10-31 14:53:00,38.0
2014-10-31 15:53:00,44.0
2014-10-31 16:37:00,43.0
2014-10-31 16:40:00,43.0
2014-10-31 17:53:00,39.0
2014-11-06 10:53:00,38.0
2014-11-06 14:29:00,38.0
2014-11-06 15:53:00,39.0
2014-11-24 12:30:00,41.0
2014-11-24 12:42:00,41.0
2014-11-24 12:53:00,43.0
2014-11-24 13:23:00,40.0
2014-11-24 14:53:00,41.0
2014-11-24 15:53:00,41.0
2014-11-24 16:53:00,39.0
2014-11-24 17:53:00,39.0
2014-11-24 18:15:00,40.0
2014-11-24 19:53:00,39.0
2015-01-09 00:53:00,40.0
2015-02-01 20:13:00,38.0
2015-02-01 21:53:00,38.0
2015-02-14 07:53:00,45.0
2015-02-14 08:06:00,47.0
2015-02-14 08:53:00,40.0
2015-02-14 09:53:00,46.0
2015-02-14 10:53:00,39.0
2015-02-14 11:22:00,41.0
2015-02-14 11:53:00,39.0
2015-03-17 06:09:00,39.0
2015-03-17 07:53:00,38.0
2015-04-09 22:53:00,39.0
2015-04-09 23:15:00,46.0
2015-04-09 23:32:00,43.0
2015-04-09 23:53:00,48.0
2015-04-10 00:53:00,46.0
2015-04-10 01:35:00,43.0
2015-04-10 01:53:00,38.0
2015-04-10 02:53:00,46.0
2015-04-10 15:53:00,41.0
2015-04-10 16:53:00,43.0
2015-04-21 09:53:00,38.0
2015-04-21 11:53:00,43.0
2015-04-21 12:53:00,41.0
2015-04-21 14:53:00,38.0
2015-04-21 15:53:00,44.0
2015-05-26 13:12:00,45.0
2015-07-13 06:57:00,38.0
2015-07-13 07:00:00,38.0
2015-08-02 23:09:00,39.0
2015-08-02 23:16:00,38.0
2015-08-14 21:41:00,43.0
2015-08-18 20:32:00,38.0
2015-10-01 10:53:00,38.0
2015-10-12 18:53:00,41.0
2015-11-11 19:39:00,43.0
2015-11-11 19:47:00,41.0
2015-11-11 19:53:00,43.0
2015-11-11 20:26:00,38.0
2015-11-11 20:30:00,40.0
2015-11-11 20:53:00,41.0
2015-11-11 21:36:00,39.0
2015-11-11 21:38:00,39.0
2015-11-11 21:42:00,39.0
2015-11-12 01:53:00,41.0
2015-11-12 02:53:00,43.0
2015-11-12 03:05:00,44.0
2015-11-12 03:53:00,43.0
2015-11-12 05:53:00,38.0
2015-11-12 05:55:00,38.0
2015-11-12 06:18:00,43.0
2015-11-12 06:38:00,40.0
2015-11-12 06:53:00,46.0
2015-11-12 07:53:00,44.0
2015-11-12 08:53:00,39.0
2015-11-12 10:53:00,38.0
2015-11-12 12:53:00,39.0
2015-11-12 14:53:00,43.0
2015-11-12 18:53:00,38.0
2015-11-17 20:53:00,40.0
2015-11-18 05:53:00,39.0
2015-11-18 08:27:00,41.0
2015-11-18 13:53:00,40.0
2015-11-19 13:53:00,41.0
2015-11-19 14:53:00,39.0
2015-12-10 16:53:00,44.0
2015-12-14 08:28:00,56.0
2015-12-14 08:36:00,56.0
2015-12-23 12:14:00,39.0
2015-12-23 21:53:00,40.0
2015-12-23 22:30:00,51.0
2015-12-23 22:53:00,38.0
2015-12-24 01:53:00,41.0
2015-12-24 02:43:00,39.0
2015-12-28 07:53:00,38.0
2015-12-28 08:32:00,41.0
2015-12-28 08:53:00,40.0
2015-12-28 10:15:00,39.0
2015-12-28 13:35:00,39.0
2015-12-28 14:53:00,39.0
2015-12-28 17:05:00,39.0
2016-01-11 23:38:00,38.0
2016-02-12 19:53:00,38.0
2016-02-19 00:53:00,38.0
2016-02-19 08:53:00,49.0
2016-02-19 10:53:00,39.0
2016-02-19 11:53:00,52.0
2016-02-19 12:53:00,48.0
2016-02-19 13:53:00,55.0
2016-02-19 14:53:00,52.0
2016-02-19 15:53:00,52.0
2016-02-19 16:53:00,54.0
2016-02-19 17:53:00,44.0
2016-02-19 18:53:00,39.0
2016-02-24 05:53:00,40.0
2016-02-24 06:53:00,41.0
2016-02-24 07:53:00,43.0
2016-02-24 08:53:00,44.0
2016-02-24 09:42:00,43.0
2016-02-24 10:05:00,38.0
2016-02-24 10:17:00,41.0
2016-02-24 14:53:00,43.0
2016-02-24 15:00:00,43.0
2016-02-24 15:10:00,45.0
2016-02-24 15:31:00,41.0
2016-02-24 15:46:00,46.0
2016-02-24 15:53:00,43.0
2016-02-24 16:28:00,46.0
2016-02-24 16:53:00,49.0
2016-02-24 17:16:00,47.0
2016-02-24 17:53:00,39.0
2016-02-24 18:27:00,39.0
2016-02-28 12:53:00,38.0
2016-03-16 07:53:00,39.0
2016-03-16 08:53:00,41.0
2016-03-16 09:53:00,38.0
2016-03-16 10:53:00,39.0
2016-03-16 11:53:00,41.0
2016-03-16 12:53:00,52.0
2016-03-16 13:53:00,47.0
2016-03-16 14:53:00,46.0
2016-03-16 15:53:00,48.0
2016-03-16 17:53:00,40.0
2016-03-31 14:22:00,48.0
2016-04-02 11:43:00,56.0
2016-04-02 11:53:00,47.0
2016-04-02 12:53:00,48.0
2016-04-02 13:06:00,45.0
2016-04-02 13:17:00,40.0
2016-04-02 13:26:00,46.0
2016-04-02 13:53:00,39.0
2016-04-02 14:06:00,39.0
2016-04-02 14:14:00,40.0
2016-04-02 15:33:00,48.0
2016-04-02 16:25:00,46.0
2016-04-02 17:30:00,39.0
2016-04-03 13:53:00,38.0
2016-04-03 14:53:00,43.0
2016-04-09 00:53:00,38.0
2016-05-07 11:53:00,40.0
2016-05-25 17:29:00,45.0
2016-05-25 17:33:00,45.0
2016-05-25 17:38:00,45.0
2016-05-27 20:33:00,39.0
2016-05-27 20:45:00,39.0
2016-05-31 15:03:00,38.0
2016-05-31 15:16:00,51.0
2016-05-31 15:21:00,47.0
2016-06-22 20:54:00,40.0
2016-07-06 03:17:00,38.0
2016-07-21 21:14:00,47.0
2016-07-23 22:24:00,40.0
2016-10-17 19:53:00,38.0
2016-10-17 22:53:00,44.0
2016-11-11 10:53:00,38.0
2016-12-26 22:53:00,38.0
2017-01-10 08:53:00,38.0
2017-01-10 10:53:00,44.0
2017-01-10 11:53:00,46.0
2017-01-10 12:38:00,43.0
2017-01-10 12:53:00,40.0
2017-01-10 13:53:00,43.0
2017-01-10 14:04:00,43.0
2017-01-10 14:22:00,38.0
2017-01-10 14:29:00,43.0
2017-01-10 14:49:00,48.0
2017-01-10 14:53:00,44.0
2017-01-10 15:18:00,40.0
2017-01-10 15:42:00,43.0
2017-01-10 15:53:00,52.0
2017-01-10 16:20:00,44.0
2017-01-10 16:53:00,53.0
2017-01-10 17:53:00,51.0
2017-01-10 18:53:00,46.0
2017-01-10 19:53:00,40.0
2017-01-10 21:20:00,39.0
2017-02-12 11:53:00,38.0
2017-02-12 12:53:00,44.0
2017-02-12 13:53:00,41.0
2017-02-12 14:53:00,44.0
2017-02-12 15:53:00,52.0
2017-03-06 20:53:00,39.0
2017-03-06 21:53:00,43.0
2017-03-06 23:53:00,38.0
2017-03-07 00:53:00,44.0
2017-03-07 01:28:00,40.0
2017-03-07 01:34:00,47.0
2017-03-08 07:53:00,43.0
2017-03-08 08:53:00,40.0
2017-03-08 09:53:00,40.0
2017-03-08 10:53:00,53.0
2017-03-08 11:53:00,56.0
2017-03-08 12:53:00,51.0
2017-03-08 13:53:00,46.0
2017-03-08 14:53:00,49.0
2017-03-08 15:53:00,40.0
2017-03-08 16:53:00,40.0
2017-03-15 17:53:00,38.0
2017-03-24 13:53:00,39.0
2017-03-30 05:37:00,41.0
2017-04-05 16:53:00,38.0
2017-04-05 17:13:00,45.0
2017-04-05 17:53:00,41.0
2017-04-05 18:53:00,46.0
2017-04-05 19:31:00,40.0
2017-04-05 19:53:00,47.0
2017-04-05 20:53:00,39.0
2017-04-05 21:53:00,38.0
2017-04-05 22:53:00,40.0
2017-04-05 23:53:00,38.0
2017-04-06 02:53:00,38.0
2017-04-06 06:53:00,39.0
2017-04-10 13:26:00,38.0
2017-04-15 14:53:00,38.0
2017-04-15 15:53:00,38.0
2017-04-29 19:53:00,39.0
2017-04-29 20:01:00,43.0
2017-04-29 20:25:00,39.0
2017-04-29 20:53:00,45.0
2017-04-29 20:55:00,45.0
2017-04-29 21:23:00,45.0
2017-04-29 21:40:00,41.0
2017-04-29 21:53:00,38.0
2017-05-05 15:53:00,39.0
2017-05-17 15:53:00,38.0
2017-05-17 16:53:00,40.0
2017-05-17 17:53:00,38.0
2017-05-17 18:53:00,43.0
2017-05-17 19:53:00,38.0
2017-05-17 22:53:00,39.0
2017-05-17 23:53:00,39.0
2017-05-18 00:40:00,44.0
2017-05-18 00:53:00,39.0
2017-05-29 12:53:00,38.0
2017-06-10 15:53:00,39.0
2017-06-14 12:53:00,41.0
2017-07-16 03:53:00,38.0
2017-07-19 22:11:00,44.0
2017-07-21 20:36:00,38.0
2017-07-21 20:38:00,38.0
2017-07-21 20:43:00,38.0
2017-08-03 21:04:00,38.0
