valid_time_gmt,pressure
2013-10-31 09:51:00,28.89
2013-10-31 10:51:00,28.86
2013-10-31 11:14:00,28.85
2013-10-31 11:51:00,28.82
2013-10-31 12:31:00,28.8
2013-10-31 12:51:00,28.77
2013-10-31 13:38:00,28.73
2013-10-31 13:51:00,28.7
2013-10-31 14:28:00,28.68
2013-10-31 14:51:00,28.65
2013-10-31 15:04:00,28.65
2013-10-31 15:12:00,28.65
2013-10-31 15:51:00,28.6
2013-10-31 16:04:00,28.6
2013-10-31 16:11:00,28.59
2013-10-31 16:51:00,28.55
2013-10-31 17:07:00,28.56
2013-10-31 17:21:00,28.57
2013-10-31 17:35:00,28.57
2013-10-31 17:51:00,28.58
2013-10-31 18:44:00,28.61
2013-10-31 18:51:00,28.61
2013-10-31 19:43:00,28.64
2013-10-31 19:51:00,28.64
2013-10-31 20:51:00,28.65
2013-10-31 21:51:00,28.68
2013-10-31 22:51:00,28.7
2013-10-31 23:34:00,28.73
2013-10-31 23:51:00,28.73
2013-11-01 00:42:00,28.76
2013-11-01 00:51:00,28.75
2013-11-01 01:51:00,28.76
2013-11-01 02:51:00,28.79
2013-11-01 03:38:00,28.8
2013-11-01 03:51:00,28.81
2013-11-01 04:51:00,28.83
2013-11-01 05:51:00,28.85
2013-11-01 06:51:00,28.88
2013-11-01 07:51:00,28.9
2013-11-11 21:51:00,29.79
2013-11-11 22:51:00,29.82
2013-11-11 23:51:00,29.84
2013-11-12 00:51:00,29.86
2013-11-12 01:51:00,29.87
2013-11-12 02:51:00,29.89
2013-11-12 03:51:00,29.91
2013-11-12 04:51:00,29.94
2013-11-12 05:51:00,29.97
2013-11-12 06:51:00,29.99
2013-11-12 07:51:00,30.02
2013-11-12 08:51:00,30.04
2013-11-12 09:51:00,30.05
2013-11-12 10:51:00,30.05
2013-11-12 11:51:00,30.03
2013-11-12 12:51:00,30.02
2013-11-12 13:51:00,30.01
2013-11-12 14:51:00,30.01
2013-11-12 15:51:00,29.99
2013-11-12 16:51:00,29.99
2013-11-12 17:51:00,29.99
2013-11-12 18:51:00,29.99
2013-11-12 19:51:00,29.99
2013-11-12 20:51:00,29.97
2013-11-12 21:51:00,29.98
