valid_time_gmt,uv_index
2013-07-01 08:51:00,-87
2013-07-01 09:51:00,-227
2013-07-01 10:51:00,-214
2013-07-01 11:51:00,-404
2013-07-01 12:51:00,-436
2013-07-01 13:51:00,-551
2013-07-01 14:51:00,-452
2013-07-01 15:51:00,-321
2013-07-01 16:51:00,-143
2013-07-02 09:51:00,-226
2013-07-02 10:51:00,-325
2013-07-02 11:51:00,-541
2013-07-02 12:51:00,-584
2013-07-02 13:30:00,-571
2013-07-02 13:51:00,-550
2013-07-02 14:51:00,-452
2013-07-02 15:51:00,-321
2013-07-02 16:51:00,-192
2013-07-02 17:10:00,-156
2013-07-02 17:27:00,-126
2013-07-03 08:51:00,-176
2013-07-03 09:51:00,-303
2013-07-03 10:51:00,-435
2013-07-03 11:51:00,-540
2013-07-03 12:51:00,-584
2013-07-03 13:51:00,-550
2013-07-03 14:51:00,-451
2013-07-03 15:36:00,-354
2013-07-03 15:51:00,-321
2013-07-03 16:00:00,-300
2013-07-03 16:51:00,-192
2013-07-04 08:51:00,-86
2013-07-04 09:51:00,-148
2013-07-04 10:51:00,-213
2013-07-04 11:51:00,-402
2013-07-04 12:51:00,-434
2013-07-04 13:51:00,-409
2013-07-04 14:51:00,-451
2013-07-04 15:51:00,-239
2013-07-04 16:51:00,-143
2013-07-05 10:51:00,-212
2013-07-05 11:51:00,-264
2013-07-05 12:51:00,-138
2013-07-05 13:51:00,-269
2013-07-05 14:51:00,-221
2013-07-05 15:51:00,-157
2013-07-05 16:51:00,-143
2013-07-06 09:51:00,-223
2013-07-06 10:51:00,-322
2013-07-06 11:51:00,-537
2013-07-06 12:51:00,-581
2013-07-06 13:51:00,-548
2013-07-06 14:51:00,-450
2013-07-06 15:51:00,-320
2013-07-06 16:51:00,-191
2013-07-06 17:51:00,-89
2013-07-07 08:51:00,-129
2013-07-07 09:51:00,-222
2013-07-07 10:51:00,-321
2013-07-07 11:51:00,-399
2013-07-07 12:51:00,-432
2013-07-07 13:51:00,-408
2013-07-07 14:51:00,-335
2013-07-07 15:51:00,-238
2013-07-07 16:51:00,-142
2013-07-08 08:51:00,-172
2013-07-08 09:46:00,-213
2013-07-08 09:49:00,-293
2013-07-08 09:51:00,-297
2013-07-08 09:59:00,-315
2013-07-08 10:40:00,-406
2013-07-08 10:51:00,-429
2013-07-08 11:03:00,-453
2013-07-08 11:42:00,-522
2013-07-08 11:51:00,-534
2013-07-08 12:22:00,-567
2013-07-08 12:48:00,-578
