valid_time_gmt,vis
2013-07-08 09:46:00,1.0
2013-07-08 09:49:00,1.0
2013-07-08 09:51:00,1.0
2013-07-08 10:40:00,1.0
2013-07-08 10:51:00,3.0
2013-07-31 03:31:00,2.0
2013-07-31 03:51:00,2.0
2013-07-31 04:18:00,2.0
2013-07-31 05:00:00,1.0
2013-07-31 05:51:00,1.0
2013-07-31 05:58:00,2.0
2013-07-31 06:27:00,1.0
2013-07-31 06:51:00,1.0
2013-07-31 07:16:00,1.0
2013-07-31 07:39:00,2.0
2013-07-31 07:51:00,2.0
2013-07-31 08:34:00,2.0
2013-07-31 08:51:00,2.0
2013-07-31 09:51:00,3.0
2013-08-02 08:04:00,1.0
2013-08-12 14:51:00,0.75
2013-08-12 14:55:00,3.0
2013-08-12 15:02:00,1.0
2013-08-29 06:01:00,3.0
2013-08-29 06:40:00,2.0
2013-08-29 06:44:00,1.0
2013-08-29 06:51:00,0.5
2013-08-29 07:36:00,0.75
2013-08-29 07:44:00,1.0
2013-08-29 07:51:00,1.0
2013-08-29 08:06:00,2.0
2013-08-29 08:43:00,3.0
2013-08-30 18:06:00,3.0
2013-08-30 18:15:00,1.0
2013-08-31 09:57:00,2.0
2013-08-31 09:59:00,1.0
2013-08-31 10:08:00,0.5
2013-08-31 10:18:00,3.0
2013-08-31 11:51:00,1.0
2013-08-31 11:56:00,1.0
2013-09-15 17:51:00,3.0
2013-09-18 18:56:00,2.0
2013-09-18 19:03:00,2.0
2013-09-18 19:15:00,2.0
2013-09-29 01:24:00,2.0
2013-09-29 01:51:00,3.0
2013-10-02 02:51:00,3.0
2013-10-03 04:06:00,3.0
2013-10-03 04:39:00,0.5
2013-10-03 04:51:00,0.25
2013-10-03 05:14:00,0.5
2013-10-03 05:32:00,0.75
2013-10-03 05:41:00,1.0
2013-10-03 05:51:00,1.0
2013-10-03 06:12:00,3.0
2013-10-03 06:34:00,3.0
2013-10-03 06:44:00,2.0
2013-10-03 06:51:00,1.0
2013-10-03 07:51:00,1.0
2013-10-03 08:51:00,1.0
2013-10-03 09:21:00,2.0
2013-10-03 09:34:00,3.0
2013-10-03 11:22:00,3.0
2013-10-03 17:19:00,2.0
2013-10-03 21:18:00,1.0
2013-10-04 23:51:00,3.0
2013-10-05 00:51:00,3.0
2013-10-05 01:51:00,3.0
2013-10-05 16:14:00,2.0
2013-10-05 16:22:00,1.0
2013-10-05 16:38:00,3.0
2013-10-05 18:20:00,1.0
2013-10-05 18:28:00,2.0
2013-10-15 13:30:00,2.0
2013-10-15 13:45:00,2.0
2013-10-15 13:51:00,2.0
2013-10-15 14:04:00,1.0
2013-10-15 14:26:00,1.0
2013-10-15 14:38:00,2.0
2013-10-15 14:51:00,2.0
2013-10-17 08:51:00,3.0
2013-10-30 04:44:00,3.0
2013-10-30 04:51:00,3.0
2013-10-30 07:02:00,1.0
2013-10-30 07:05:00,1.0
2013-10-30 07:51:00,1.0
2013-10-30 08:17:00,2.0
2013-10-30 08:51:00,2.0
2013-10-30 09:09:00,3.0
2013-10-30 09:51:00,3.0
2013-10-30 15:39:00,3.0
2013-10-30 15:51:00,2.0
2013-10-30 15:57:00,1.0
2013-10-30 16:05:00,3.0
2013-10-30 16:51:00,3.0
2013-10-30 17:12:00,2.0
2013-10-30 17:20:00,1.0
2013-10-30 17:51:00,1.0
2013-10-30 18:51:00,1.0
2013-10-30 19:20:00,2.0
2013-10-30 19:37:00,2.0
2013-10-30 19:51:00,2.0
2013-10-30 20:51:00,2.0
2013-10-30 21:51:00,2.0
2013-10-30 22:25:00,3.0
2013-10-30 23:51:00,3.0
2013-10-31 00:14:00,1.0
2013-10-31 00:38:00,3.0
2013-10-31 00:51:00,3.0
2013-10-31 02:47:00,2.0
2013-10-31 02:51:00,2.0
2013-10-31 03:23:00,3.0
2013-10-31 03:51:00,1.0
2013-10-31 04:12:00,3.0
2013-10-31 04:51:00,1.0
2013-10-31 05:28:00,2.0
2013-10-31 05:41:00,2.0
2013-10-31 05:51:00,2.0
2013-10-31 05:55:00,3.0
2013-10-31 06:38:00,2.0
2013-10-31 06:51:00,2.0
2013-10-31 07:11:00,3.0
2013-10-31 13:38:00,2.0
2013-10-31 13:51:00,3.0
2013-10-31 14:28:00,2.0
2013-10-31 14:51:00,2.0
2013-10-31 15:04:00,3.0
2013-10-31 15:12:00,2.0
2013-10-31 15:51:00,1.0
2013-10-31 16:04:00,2.0
2013-10-31 17:07:00,2.0
2013-10-31 17:21:00,3.0
2013-11-05 12:15:00,2.0
2013-11-05 12:24:00,2.0
