valid_time_gmt,wspd
2013-07-01 12:51:00,21.0
2013-07-01 14:51:00,22.0
2013-07-01 15:51:00,21.0
2013-07-19 16:51:00,23.0
2013-07-19 21:59:00,21.0
2013-07-23 00:21:00,21.0
2013-07-23 18:51:00,23.0
2013-08-22 11:06:00,22.0
2013-08-27 17:51:00,21.0
2013-08-30 18:06:00,35.0
2013-08-30 18:15:00,39.0
2013-09-10 15:51:00,21.0
2013-09-10 16:51:00,21.0
2013-09-12 15:51:00,23.0
2013-09-12 16:01:00,24.0
2013-09-18 18:51:00,21.0
2013-09-19 17:51:00,21.0
2013-10-01 13:51:00,21.0
2013-10-01 14:51:00,21.0
2013-10-20 18:51:00,21.0
2013-10-26 03:51:00,21.0
2013-10-26 06:51:00,21.0
2013-10-31 23:51:00,21.0
2013-11-01 00:42:00,24.0
2013-11-01 01:51:00,28.0
2013-11-01 02:51:00,22.0
2013-11-01 03:51:00,21.0
2013-11-04 10:51:00,22.0
2013-11-06 11:51:00,22.0
2013-11-09 11:51:00,22.0
2013-11-09 13:51:00,22.0
2013-11-09 15:51:00,21.0
2013-11-09 16:51:00,24.0
2013-11-09 22:51:00,25.0
2013-11-13 19:51:00,21.0
2013-11-16 16:51:00,22.0
2013-11-16 18:27:00,24.0
2013-11-16 19:51:00,22.0
2013-11-16 20:11:00,21.0
2013-11-17 06:51:00,21.0
2013-11-17 07:51:00,21.0
2013-11-17 09:51:00,23.0
2013-11-17 10:51:00,21.0
2013-11-17 11:51:00,28.0
2013-11-17 12:35:00,22.0
2013-11-17 12:42:00,30.0
2013-11-17 12:51:00,26.0
2013-11-17 13:02:00,35.0
2013-11-17 13:33:00,26.0
2013-11-17 13:51:00,26.0
2013-11-17 15:18:00,32.0
2013-11-17 15:51:00,37.0
2013-11-17 16:51:00,25.0
2013-11-17 17:51:00,28.0
2013-11-17 18:51:00,32.0
2013-11-17 19:51:00,28.0
2013-11-17 20:51:00,26.0
2013-11-17 21:51:00,21.0
2013-11-18 08:51:00,23.0
2013-11-18 09:51:00,24.0
2013-11-18 10:04:00,21.0
2013-11-18 11:51:00,24.0
2013-11-18 12:51:00,21.0
2013-11-18 14:51:00,22.0
2013-11-23 10:51:00,22.0
2013-11-23 12:51:00,25.0
2013-11-26 18:46:00,22.0
2013-11-26 18:51:00,21.0
2013-11-26 20:51:00,22.0
2013-12-05 00:28:00,22.0
2013-12-05 01:43:00,21.0
2013-12-09 15:51:00,21.0
2013-12-09 16:51:00,21.0
2013-12-10 11:51:00,22.0
2013-12-10 13:51:00,21.0
2013-12-10 15:51:00,21.0
2013-12-21 21:51:00,21.0
2013-12-29 09:40:00,23.0
2013-12-29 09:51:00,23.0
2013-12-29 10:51:00,21.0
2014-01-02 11:43:00,22.0
2014-01-02 11:51:00,21.0
2014-01-03 22:51:00,22.0
2014-01-03 23:51:00,24.0
2014-01-04 02:51:00,22.0
2014-01-04 09:51:00,21.0
2014-01-05 09:51:00,21.0
2014-01-05 10:51:00,22.0
2014-01-05 11:09:00,22.0
2014-01-05 11:51:00,22.0
2014-01-05 12:51:00,22.0
2014-01-05 13:51:00,25.0
2014-01-05 14:34:00,21.0
2014-01-05 14:51:00,23.0
2014-01-05 15:45:00,24.0
2014-01-05 15:51:00,21.0
2014-01-05 16:51:00,25.0
2014-01-05 18:51:00,26.0
2014-01-05 19:51:00,23.0
2014-01-05 20:25:00,24.0
2014-01-05 20:42:00,26.0
2014-01-05 21:05:00,22.0
2014-01-05 21:51:00,21.0
2014-01-06 00:51:00,22.0
2014-01-06 09:51:00,21.0
2014-01-06 12:51:00,21.0
2014-01-06 14:51:00,22.0
2014-01-06 19:51:00,21.0
2014-01-14 13:08:00,22.0
2014-01-14 13:51:00,25.0
2014-01-14 14:51:00,21.0
2014-01-14 15:51:00,26.0
2014-01-14 16:51:00,28.0
2014-01-14 17:24:00,21.0
2014-01-14 17:51:00,29.0
2014-01-14 18:51:00,24.0
2014-01-14 19:07:00,21.0
2014-01-14 19:51:00,21.0
2014-01-14 20:51:00,21.0
2014-01-14 21:16:00,21.0
2014-01-16 07:32:00,21.0
2014-01-16 17:32:00,21.0
2014-01-19 08:51:00,23.0
2014-01-19 09:51:00,22.0
2014-01-19 10:51:00,22.0
2014-01-20 22:26:00,21.0
2014-01-21 00:51:00,21.0
2014-01-21 01:06:00,22.0
2014-01-21 01:22:00,22.0
2014-01-21 01:44:00,24.0
2014-01-21 02:07:00,22.0
2014-01-21 02:51:00,23.0
2014-01-21 03:51:00,21.0
2014-01-21 06:51:00,21.0
2014-01-24 10:51:00,24.0
2014-01-24 11:51:00,22.0
2014-01-24 12:51:00,23.0
2014-01-24 13:51:00,24.0
2014-01-24 14:51:00,28.0
2014-01-24 15:51:00,26.0
2014-01-24 17:51:00,23.0
2014-01-24 18:12:00,22.0
2014-01-24 18:51:00,22.0
2014-01-24 19:01:00,21.0
2014-01-24 19:14:00,21.0
2014-01-24 21:30:00,23.0
2014-01-24 22:06:00,22.0
2014-01-24 22:12:00,22.0
2014-01-24 22:21:00,23.0
2014-01-24 22:51:00,21.0
2014-01-25 00:36:00,23.0
2014-01-25 00:51:00,23.0
2014-01-25 08:51:00,23.0
2014-01-25 09:51:00,25.0
2014-01-25 10:51:00,25.0
2014-01-25 11:51:00,23.0
2014-01-25 12:51:00,21.0
2014-01-25 13:51:00,21.0
2014-01-26 12:14:00,21.0
2014-01-26 13:51:00,23.0
2014-01-26 19:29:00,24.0
2014-01-26 19:51:00,23.0
2014-01-26 20:01:00,24.0
2014-01-26 20:09:00,23.0
2014-01-26 20:19:00,25.0
2014-01-26 20:43:00,24.0
2014-01-26 20:51:00,28.0
2014-01-26 22:51:00,24.0
2014-01-26 23:51:00,22.0
2014-01-27 01:51:00,22.0
2014-01-30 09:51:00,21.0
2014-01-30 10:51:00,22.0
2014-01-30 13:51:00,22.0
2014-01-30 14:27:00,30.0
2014-01-30 14:32:00,28.0
2014-02-05 03:51:00,21.0
2014-02-05 04:51:00,22.0
2014-02-05 07:51:00,22.0
2014-02-05 10:35:00,22.0
2014-02-05 11:18:00,22.0
2014-02-13 20:14:00,23.0
2014-02-13 21:51:00,22.0
2014-02-13 22:40:00,21.0
2014-02-18 15:51:00,21.0
2014-02-20 19:16:00,22.0
2014-02-20 19:51:00,30.0
2014-02-20 20:51:00,30.0
2014-02-20 21:51:00,32.0
2014-02-20 22:51:00,25.0
2014-02-20 23:51:00,24.0
2014-02-21 00:51:00,23.0
2014-02-21 01:51:00,30.0
2014-02-21 02:51:00,23.0
2014-02-21 03:51:00,26.0
2014-02-21 04:51:00,29.0
2014-02-21 05:51:00,30.0
2014-02-21 06:04:00,25.0
2014-02-21 06:51:00,28.0
2014-02-21 07:19:00,26.0
2014-02-21 07:29:00,21.0
2014-02-21 07:33:00,24.0
2014-02-21 07:51:00,23.0
2014-02-21 08:13:00,28.0
2014-02-21 08:51:00,24.0
2014-02-21 09:51:00,31.0
2014-02-21 10:41:00,28.0
2014-02-21 10:51:00,33.0
2014-02-21 11:51:00,32.0
2014-02-21 12:51:00,36.0
2014-02-21 13:51:00,21.0
2014-02-21 14:51:00,23.0
2014-02-21 15:51:00,21.0
2014-02-21 16:51:00,21.0
2014-02-26 14:51:00,21.0
2014-02-26 16:51:00,21.0
2014-02-26 18:51:00,22.0
2014-02-27 01:51:00,23.0
2014-02-27 03:02:00,24.0
2014-02-27 03:09:00,22.0
2014-02-27 03:51:00,28.0
2014-02-27 04:51:00,23.0
2014-02-27 05:51:00,21.0
2014-02-27 06:51:00,23.0
2014-02-27 07:51:00,22.0
2014-03-11 17:51:00,22.0
2014-03-11 19:51:00,21.0
2014-03-11 22:51:00,23.0
2014-03-11 23:00:00,22.0
2014-03-12 03:05:00,22.0
2014-03-12 03:51:00,21.0
2014-03-12 04:12:00,23.0
2014-03-12 04:51:00,21.0
2014-03-12 05:14:00,28.0
2014-03-12 06:51:00,21.0
2014-03-12 07:02:00,22.0
2014-03-12 08:20:00,22.0
2014-03-12 08:51:00,22.0
2014-03-12 09:51:00,24.0
2014-03-12 10:37:00,23.0
2014-03-12 11:20:00,23.0
2014-03-12 11:51:00,22.0
2014-03-12 12:51:00,24.0
2014-03-12 13:03:00,23.0
2014-03-14 10:51:00,22.0
2014-03-14 11:51:00,21.0
2014-03-14 15:51:00,23.0
2014-03-14 16:51:00,28.0
2014-03-14 17:51:00,22.0
2014-03-14 18:51:00,22.0
2014-03-16 00:51:00,21.0
2014-03-16 01:16:00,21.0
2014-03-16 02:25:00,22.0
2014-03-16 02:51:00,23.0
2014-03-16 03:51:00,25.0
2014-03-16 04:51:00,24.0
2014-03-16 05:51:00,22.0
2014-03-16 06:51:00,22.0
2014-03-16 07:51:00,22.0
2014-03-16 08:51:00,23.0
2014-03-16 09:51:00,26.0
2014-03-16 10:51:00,25.0
2014-03-16 11:51:00,23.0
2014-03-16 12:51:00,22.0
2014-03-16 14:51:00,21.0
2014-03-16 16:51:00,21.0
2014-03-21 23:51:00,23.0
2014-03-25 11:51:00,22.0
2014-03-27 13:51:00,21.0
2014-03-27 19:46:00,25.0
2014-03-27 19:51:00,25.0
2014-03-27 20:31:00,21.0
2014-03-27 20:51:00,23.0
2014-03-27 22:51:00,23.0
2014-03-27 23:33:00,24.0
2014-03-27 23:51:00,23.0
2014-03-28 00:51:00,25.0
2014-03-28 01:51:00,23.0
2014-03-28 06:23:00,22.0
2014-03-28 09:51:00,22.0
2014-03-31 12:51:00,22.0
