valid_time_gmt,feels_like
2014-01-06 00:51:00,-27.0
2014-01-06 01:51:00,-27.0
2014-01-06 02:51:00,-28.0
2014-01-06 03:04:00,-31.0
2014-01-06 03:51:00,-32.0
2014-01-06 04:51:00,-34.0
2014-01-06 05:51:00,-37.0
2014-01-06 06:51:00,-38.0
2014-01-06 07:51:00,-37.0
2014-01-06 08:51:00,-38.0
2014-01-06 09:51:00,-41.0
2014-01-06 10:51:00,-40.0
2014-01-06 11:42:00,-39.0
2014-01-06 11:51:00,-40.0
2014-01-06 12:51:00,-39.0
2014-01-06 13:51:00,-36.0
2014-01-06 14:51:00,-39.0
2014-01-06 15:51:00,-37.0
2014-01-06 16:51:00,-37.0
2014-01-06 17:25:00,-36.0
2014-01-06 17:51:00,-34.0
2014-01-06 18:51:00,-35.0
2014-01-06 19:51:00,-35.0
2014-01-06 20:51:00,-35.0
2014-01-06 21:51:00,-32.0
2014-01-06 22:51:00,-31.0
2014-01-06 23:51:00,-32.0
2014-01-07 00:51:00,-31.0
2014-01-07 01:51:00,-31.0
2014-01-07 02:51:00,-29.0
2014-01-07 03:51:00,-27.0
2014-01-07 04:51:00,-30.0
2014-01-07 05:51:00,-27.0
2014-01-07 06:51:00,-30.0
2014-01-07 07:51:00,-28.0
2014-01-07 08:51:00,-30.0
2014-01-07 09:51:00,-28.0
2014-01-27 18:51:00,-27.0
2014-01-28 06:51:00,-28.0
2015-01-08 03:53:00,-27.0
