valid_time_gmt,gust
2013-08-30 18:06:00,54.0
2013-08-30 18:15:00,54.0
2013-08-30 18:37:00,46.0
2013-11-17 12:35:00,43.0
2013-11-17 12:42:00,43.0
2013-11-17 13:02:00,45.0
2013-11-17 13:51:00,47.0
2013-11-17 13:56:00,47.0
2013-11-17 15:51:00,59.0
2013-11-17 16:51:00,51.0
2013-11-17 18:51:00,47.0
2013-11-17 20:51:00,44.0
2014-01-30 14:32:00,44.0
2014-02-20 19:51:00,44.0
2014-02-20 20:51:00,43.0
2014-02-20 21:51:00,44.0
2014-02-21 01:51:00,44.0
2014-02-21 02:51:00,43.0
2014-02-21 06:51:00,46.0
2014-02-21 07:19:00,43.0
2014-02-21 09:51:00,45.0
2014-02-21 10:41:00,47.0
2014-02-21 10:51:00,44.0
2014-02-21 11:51:00,46.0
2014-02-21 12:51:00,47.0
2014-02-21 13:51:00,43.0
2014-03-27 20:14:00,43.0
2014-03-31 16:51:00,43.0
2014-04-12 16:51:00,44.0
2014-04-13 23:51:00,44.0
2014-06-02 11:59:00,53.0
2014-06-30 19:21:00,44.0
2014-06-30 22:21:00,58.0
2014-06-30 22:28:00,58.0
2014-08-25 13:03:00,43.0
2014-08-25 13:11:00,43.0
2014-10-31 09:53:00,46.0
2014-10-31 10:53:00,48.0
2014-10-31 11:53:00,48.0
2014-10-31 12:53:00,48.0
2014-10-31 13:53:00,46.0
2014-10-31 14:40:00,49.0
2014-10-31 15:53:00,44.0
2014-10-31 16:37:00,43.0
2014-10-31 16:40:00,43.0
2014-11-24 12:53:00,43.0
2015-02-14 07:53:00,45.0
2015-02-14 08:06:00,47.0
2015-02-14 09:53:00,46.0
2015-04-09 23:15:00,46.0
2015-04-09 23:32:00,43.0
2015-04-09 23:53:00,48.0
2015-04-10 00:53:00,46.0
2015-04-10 01:35:00,43.0
2015-04-10 02:53:00,46.0
2015-04-10 16:53:00,43.0
2015-04-21 11:53:00,43.0
2015-04-21 15:53:00,44.0
2015-05-26 13:12:00,45.0
2015-08-14 21:41:00,43.0
2015-11-11 19:39:00,43.0
2015-11-11 19:53:00,43.0
2015-11-12 02:53:00,43.0
2015-11-12 03:05:00,44.0
2015-11-12 03:53:00,43.0
2015-11-12 06:18:00,43.0
2015-11-12 06:53:00,46.0
2015-11-12 07:53:00,44.0
2015-11-12 14:53:00,43.0
2015-12-10 16:53:00,44.0
2015-12-14 08:28:00,56.0
2015-12-14 08:36:00,56.0
2015-12-23 22:30:00,51.0
2016-02-19 08:53:00,49.0
2016-02-19 11:53:00,52.0
2016-02-19 12:53:00,48.0
2016-02-19 13:53:00,55.0
2016-02-19 14:53:00,52.0
2016-02-19 15:53:00,52.0
2016-02-19 16:53:00,54.0
2016-02-19 17:53:00,44.0
2016-02-24 07:53:00,43.0
2016-02-24 08:53:00,44.0
2016-02-24 09:42:00,43.0
2016-02-24 14:53:00,43.0
2016-02-24 15:00:00,43.0
2016-02-24 15:10:00,45.0
2016-02-24 15:46:00,46.0
2016-02-24 15:53:00,43.0
2016-02-24 16:28:00,46.0
2016-02-24 16:53:00,49.0
2016-02-24 17:16:00,47.0
2016-03-16 12:53:00,52.0
2016-03-16 13:53:00,47.0
2016-03-16 14:53:00,46.0
2016-03-16 15:53:00,48.0
2016-03-31 14:22:00,48.0
2016-04-02 11:43:00,56.0
2016-04-02 11:53:00,47.0
2016-04-02 12:53:00,48.0
2016-04-02 13:06:00,45.0
2016-04-02 13:26:00,46.0
2016-04-02 15:33:00,48.0
2016-04-02 16:25:00,46.0
2016-04-03 14:53:00,43.0
2016-05-25 17:29:00,45.0
2016-05-25 17:33:00,45.0
2016-05-25 17:38:00,45.0
2016-05-31 15:16:00,51.0
2016-05-31 15:21:00,47.0
2016-07-21 21:14:00,47.0
2016-10-17 22:53:00,44.0
2017-01-10 10:53:00,44.0
2017-01-10 11:53:00,46.0
2017-01-10 12:38:00,43.0
2017-01-10 13:53:00,43.0
2017-01-10 14:04:00,43.0
2017-01-10 14:29:00,43.0
2017-01-10 14:49:00,48.0
2017-01-10 14:53:00,44.0
2017-01-10 15:42:00,43.0
2017-01-10 15:53:00,52.0
2017-01-10 16:20:00,44.0
2017-01-10 16:53:00,53.0
2017-01-10 17:53:00,51.0
2017-01-10 18:53:00,46.0
2017-02-12 12:53:00,44.0
2017-02-12 14:53:00,44.0
2017-02-12 15:53:00,52.0
2017-03-06 21:53:00,43.0
2017-03-07 00:53:00,44.0
2017-03-07 01:34:00,47.0
2017-03-08 07:53:00,43.0
2017-03-08 10:53:00,53.0
2017-03-08 11:53:00,56.0
2017-03-08 12:53:00,51.0
2017-03-08 13:53:00,46.0
2017-03-08 14:53:00,49.0
2017-04-05 17:13:00,45.0
2017-04-05 18:53:00,46.0
2017-04-05 19:53:00,47.0
2017-04-29 20:01:00,43.0
2017-04-29 20:53:00,45.0
2017-04-29 20:55:00,45.0
2017-04-29 21:23:00,45.0
2017-05-17 18:53:00,43.0
2017-05-18 00:40:00,44.0
2017-07-19 22:11:00,44.0
