valid_time_gmt,precip_hrly
2013-07-08 10:40:00,0.33
2013-07-08 10:51:00,0.41
2013-07-08 11:42:00,0.2
2013-07-08 11:51:00,0.2
2013-08-02 08:09:00,0.17
2013-08-02 08:51:00,0.17
2013-08-02 17:51:00,0.18
2013-08-12 14:51:00,0.3
2013-08-12 15:02:00,0.33
2013-08-12 15:06:00,0.35
2013-08-12 15:51:00,0.35
2013-08-30 18:37:00,0.47
2013-08-31 10:08:00,0.39
2013-08-31 10:18:00,0.52
2013-08-31 10:40:00,0.62
2013-08-31 10:51:00,0.64
2013-09-18 19:15:00,0.21
2013-09-18 19:37:00,0.38
2013-09-18 19:51:00,0.38
2013-09-29 01:51:00,0.21
2013-10-03 17:30:00,0.19
2013-10-03 17:51:00,0.19
2013-10-03 21:18:00,0.29
2013-10-03 21:38:00,0.43
2013-10-03 21:51:00,0.45
2013-10-05 16:22:00,0.18
2013-10-05 16:38:00,0.24
2013-10-05 16:51:00,0.27
2013-10-05 18:20:00,0.25
2013-10-05 18:28:00,0.37
2013-10-05 18:38:00,0.38
2013-10-05 18:48:00,0.38
2013-10-05 18:51:00,0.38
2013-10-30 18:51:00,0.22
2013-10-30 20:51:00,0.17
2013-10-31 00:38:00,0.35
2013-10-31 00:51:00,0.39
2013-10-31 02:51:00,0.18
2013-10-31 03:23:00,0.24
2013-10-31 03:51:00,0.49
2013-10-31 04:51:00,0.42
2013-10-31 05:28:00,0.18
2013-10-31 05:41:00,0.23
2013-10-31 05:51:00,0.26
2013-10-31 06:51:00,0.18
2013-11-06 05:51:00,0.18
2013-11-17 06:24:00,0.19
2013-11-17 06:29:00,0.19
2013-11-17 06:51:00,0.19
2013-11-17 12:51:00,0.4
2014-01-10 18:51:00,0.18
2014-02-20 05:51:00,0.2
2014-04-03 06:51:00,0.22
2014-04-03 08:47:00,0.25
2014-04-03 08:51:00,0.27
2014-04-03 09:51:00,0.22
2014-04-13 18:51:00,0.19
2014-04-21 19:22:00,0.36
2014-04-21 19:51:00,0.37
2014-04-28 07:40:00,0.25
2014-04-28 07:51:00,0.28
2014-05-09 05:34:00,0.25
2014-05-09 05:39:00,0.3
2014-05-09 05:51:00,0.36
2014-05-09 06:14:00,0.21
2014-05-09 06:51:00,0.23
2014-05-09 08:15:00,0.32
2014-05-09 08:17:00,0.36
2014-05-09 08:22:00,0.51
2014-05-09 08:28:00,0.51
2014-05-09 08:34:00,0.52
2014-05-09 08:51:00,0.52
2014-05-11 18:10:00,0.19
2014-05-11 18:19:00,0.25
2014-05-11 18:51:00,0.3
2014-05-20 20:51:00,0.29
2014-05-20 21:17:00,0.23
2014-05-20 21:28:00,0.34
2014-05-20 21:51:00,0.34
2014-05-27 20:38:00,0.26
2014-05-27 20:51:00,0.37
2014-05-28 01:49:00,0.19
2014-05-28 01:51:00,0.27
2014-05-28 02:17:00,0.34
2014-05-28 02:36:00,0.38
2014-05-28 02:51:00,0.4
2014-06-18 19:31:00,0.2
2014-06-18 19:51:00,0.21
2014-06-18 20:31:00,0.18
2014-06-18 20:51:00,0.18
2014-06-19 21:39:00,0.19
2014-06-19 21:51:00,0.22
2014-06-21 18:13:00,0.17
2014-06-21 18:17:00,0.37
2014-06-21 18:30:00,0.67
2014-06-21 18:37:00,0.7
2014-06-21 18:51:00,0.72
2014-06-24 18:37:00,0.17
2014-06-24 18:51:00,0.69
2014-06-24 19:01:00,0.28
2014-06-24 19:16:00,0.4
2014-06-24 19:37:00,0.4
2014-06-24 19:51:00,0.4
2014-06-30 19:26:00,0.37
2014-06-30 19:35:00,0.64
2014-06-30 19:45:00,0.75
2014-06-30 19:51:00,0.76
2014-06-30 22:21:00,0.24
2014-06-30 22:28:00,0.69
2014-06-30 22:35:00,0.82
2014-06-30 22:40:00,0.84
2014-06-30 22:51:00,0.85
2014-07-07 01:55:00,0.23
2014-07-07 02:03:00,0.34
2014-07-07 02:51:00,0.36
2014-07-08 06:26:00,0.19
2014-07-08 06:35:00,0.4
2014-07-08 06:42:00,0.45
2014-07-08 06:51:00,0.46
2014-07-12 06:48:00,0.17
2014-07-12 06:51:00,0.18
2014-07-12 08:34:00,0.17
