valid_time_gmt,pressure
2013-10-31 14:28:00,28.68
2013-10-31 14:51:00,28.65
2013-10-31 15:04:00,28.65
2013-10-31 15:12:00,28.65
2013-10-31 15:51:00,28.6
2013-10-31 16:04:00,28.6
2013-10-31 16:11:00,28.59
2013-10-31 16:51:00,28.55
2013-10-31 17:07:00,28.56
2013-10-31 17:21:00,28.57
2013-10-31 17:35:00,28.57
2013-10-31 17:51:00,28.58
2013-10-31 18:44:00,28.61
2013-10-31 18:51:00,28.61
2013-10-31 19:43:00,28.64
2013-10-31 19:51:00,28.64
2013-10-31 20:51:00,28.65
2013-10-31 21:51:00,28.68
2013-11-12 07:51:00,30.02
2013-11-12 08:51:00,30.04
2013-11-12 09:51:00,30.05
2013-11-12 10:51:00,30.05
2013-11-12 11:51:00,30.03
2013-11-12 12:51:00,30.02
2013-11-12 13:51:00,30.01
2013-11-12 14:51:00,30.01
2013-11-17 10:51:00,28.64
2013-11-17 11:51:00,28.58
2013-11-17 12:35:00,28.63
2013-11-17 12:42:00,28.64
2013-11-17 12:51:00,28.61
2013-11-17 13:02:00,28.58
2013-11-17 13:33:00,28.56
2013-11-17 13:51:00,28.6
2013-11-17 13:56:00,28.59
2013-11-17 14:51:00,28.55
2013-11-17 15:18:00,28.6
2013-11-17 15:51:00,28.67
2013-11-23 17:51:00,30.02
2013-11-23 18:51:00,30.04
2013-11-23 19:51:00,30.04
2013-11-23 20:51:00,30.05
2013-11-23 21:51:00,30.05
2013-11-23 22:51:00,30.04
2013-11-23 23:51:00,30.05
2013-11-24 00:51:00,30.05
2013-11-24 01:51:00,30.06
2013-11-24 02:51:00,30.05
2013-11-24 03:51:00,30.04
2013-11-24 04:51:00,30.03
2013-11-24 05:51:00,30.04
2013-11-24 06:51:00,30.06
2013-11-24 07:51:00,30.08
2013-11-24 08:51:00,30.09
2013-11-24 09:51:00,30.08
2013-11-24 10:51:00,30.06
2013-11-24 11:51:00,30.02
2013-12-07 06:51:00,30.01
2013-12-07 07:51:00,30.03
2013-12-07 08:51:00,30.05
2013-12-07 09:51:00,30.06
2013-12-07 10:51:00,30.06
2013-12-07 11:51:00,30.03
2013-12-07 12:51:00,30.02
2013-12-07 13:51:00,30.01
2014-02-20 16:27:00,28.65
2014-02-20 16:51:00,28.65
2014-02-20 17:32:00,28.59
2014-02-20 17:51:00,28.6
2014-02-20 18:13:00,28.58
2014-02-20 18:39:00,28.59
2014-02-20 18:51:00,28.61
2014-02-20 19:16:00,28.62
2014-02-20 19:51:00,28.67
2014-11-23 18:53:00,28.66
2014-11-23 19:53:00,28.61
2014-11-23 20:53:00,28.56
2014-11-23 21:53:00,28.51
2014-11-23 22:53:00,28.46
2014-11-23 23:53:00,28.44
2014-11-24 00:53:00,28.43
2014-11-24 01:53:00,28.43
2014-11-24 02:53:00,28.44
2014-11-24 03:53:00,28.44
2014-11-24 04:53:00,28.43
2014-11-24 05:53:00,28.43
2014-11-24 06:04:00,28.43
2014-11-24 06:53:00,28.43
2014-11-24 07:39:00,28.45
2014-11-24 07:53:00,28.46
2014-11-24 08:34:00,28.5
2014-11-24 08:53:00,28.5
2014-11-24 09:18:00,28.53
2014-11-24 09:53:00,28.57
2014-11-24 10:18:00,28.6
2014-11-24 10:29:00,28.62
2014-11-24 10:46:00,28.63
2014-11-24 10:53:00,28.64
2014-11-24 11:51:00,28.68
2015-01-07 11:53:00,30.01
2015-01-07 12:53:00,30.01
2015-01-07 13:53:00,30.04
2015-01-07 14:53:00,30.05
2015-01-07 15:53:00,30.08
2015-01-07 16:53:00,30.09
2015-01-07 17:53:00,30.07
2015-01-07 18:53:00,30.07
2015-01-07 19:53:00,30.06
2015-01-07 20:53:00,30.05
2015-01-07 21:53:00,30.01
2015-01-13 03:53:00,30.01
2015-01-13 04:53:00,30.02
2015-01-13 05:53:00,30.03
2015-01-13 06:53:00,30.04
2015-01-13 07:53:00,30.04
2015-01-13 08:53:00,30.04
2015-01-13 09:53:00,30.04
2015-01-13 10:53:00,30.01
2015-02-23 01:53:00,30.01
2015-02-23 02:53:00,30.02
2015-02-23 03:53:00,30.01
2015-02-23 04:53:00,30.02
2015-02-23 05:53:00,30.02
2015-02-23 06:53:00,30.02
2015-02-23 07:53:00,30.04
