valid_time_gmt,rh
2014-04-11 10:51:00,17.0
2014-04-11 11:51:00,16.0
2014-04-11 12:51:00,15.0
2014-04-11 13:51:00,17.0
2014-04-11 14:51:00,16.0
2014-04-11 15:51:00,17.0
2015-04-05 13:53:00,17.0
2015-04-05 14:53:00,17.0
2015-04-05 15:53:00,16.0
2015-04-05 16:53:00,15.0
2015-04-05 17:53:00,15.0
2015-04-05 18:53:00,17.0
2015-04-14 13:53:00,17.0
2015-04-14 15:53:00,17.0
2015-04-14 16:53:00,15.0
2015-04-14 17:53:00,14.0
2015-04-14 18:53:00,15.0
2015-04-14 19:53:00,16.0
2015-04-14 20:53:00,17.0
2015-04-24 10:53:00,17.0
2015-10-15 17:53:00,16.0
2016-05-23 15:53:00,17.0
2016-05-23 16:53:00,15.0
2016-05-23 17:53:00,15.0
