valid_time_gmt,vis
2014-02-17 15:13:00,0.12
2014-02-20 15:51:00,0.12
2014-02-20 16:27:00,0.12
2014-02-20 16:51:00,0.06
2014-02-20 17:32:00,0.12
2015-03-11 01:53:00,0.06
2015-05-06 05:53:00,0.12
2015-05-06 06:31:00,0.12
2015-05-06 06:53:00,0.12
2015-05-06 07:53:00,0.12
2015-11-04 00:53:00,0.12
2015-11-21 14:16:00,0.12
2016-02-02 23:17:00,0.12
2016-02-02 23:24:00,0.12
2016-02-02 23:53:00,0.12
2016-02-03 00:53:00,0.12
2016-02-03 01:53:00,0.12
2016-02-03 02:42:00,0.12
2016-02-03 02:53:00,0.12
2016-02-03 03:22:00,0.12
2016-02-03 03:34:00,0.12
2016-05-11 02:53:00,0.12
2016-05-11 03:53:00,0.12
2016-05-11 06:05:00,0.12
2016-05-11 06:21:00,0.12
2016-05-11 06:53:00,0.12
2016-05-11 07:53:00,0.12
2016-05-25 20:53:00,73.0
2016-07-08 05:43:00,0.12
2016-11-15 08:53:00,0.12
2016-11-15 09:09:00,0.12
2016-11-15 09:51:00,0.12
2016-11-15 09:53:00,0.12
2017-01-11 16:53:00,0.12
2017-03-14 08:07:00,0.12
2017-03-14 08:14:00,0.12
2017-09-14 05:53:00,0.12
2017-09-14 06:09:00,0.12
2017-09-14 06:53:00,0.12
2017-09-14 08:16:00,0.12
