valid_time_gmt,wspd
2013-08-30 18:06:00,35.0
2013-08-30 18:15:00,39.0
2013-11-01 01:51:00,28.0
2013-11-17 11:51:00,28.0
2013-11-17 12:42:00,30.0
2013-11-17 12:51:00,26.0
2013-11-17 13:02:00,35.0
2013-11-17 13:33:00,26.0
2013-11-17 13:51:00,26.0
2013-11-17 15:18:00,32.0
2013-11-17 15:51:00,37.0
2013-11-17 17:51:00,28.0
2013-11-17 18:51:00,32.0
2013-11-17 19:51:00,28.0
2013-11-17 20:51:00,26.0
2014-01-05 18:51:00,26.0
2014-01-05 20:42:00,26.0
2014-01-14 15:51:00,26.0
2014-01-14 16:51:00,28.0
2014-01-14 17:51:00,29.0
2014-01-24 14:51:00,28.0
2014-01-24 15:51:00,26.0
2014-01-26 20:51:00,28.0
2014-01-30 14:27:00,30.0
2014-01-30 14:32:00,28.0
2014-02-20 19:51:00,30.0
2014-02-20 20:51:00,30.0
2014-02-20 21:51:00,32.0
2014-02-21 01:51:00,30.0
2014-02-21 03:51:00,26.0
2014-02-21 04:51:00,29.0
2014-02-21 05:51:00,30.0
2014-02-21 06:51:00,28.0
2014-02-21 07:19:00,26.0
2014-02-21 08:13:00,28.0
2014-02-21 09:51:00,31.0
2014-02-21 10:41:00,28.0
2014-02-21 10:51:00,33.0
2014-02-21 11:51:00,32.0
2014-02-21 12:51:00,36.0
2014-02-27 03:51:00,28.0
2014-03-12 05:14:00,28.0
2014-03-14 16:51:00,28.0
2014-03-16 09:51:00,26.0
2014-03-31 15:51:00,29.0
2014-04-01 04:51:00,26.0
2014-04-04 09:24:00,26.0
2014-04-04 10:34:00,26.0
2014-04-04 14:51:00,26.0
2014-04-04 16:26:00,28.0
2014-04-04 16:51:00,28.0
2014-04-12 14:51:00,26.0
2014-04-12 15:51:00,29.0
2014-04-14 02:51:00,28.0
2014-04-14 05:41:00,30.0
2014-04-28 09:30:00,29.0
2014-06-02 11:59:00,33.0
2014-06-21 17:59:00,28.0
2014-06-24 18:37:00,29.0
2014-06-28 18:51:00,28.0
2014-06-30 22:21:00,43.0
2014-06-30 22:28:00,29.0
2014-07-01 01:45:00,29.0
2014-07-27 14:51:00,28.0
2014-08-25 13:03:00,26.0
2014-08-25 13:11:00,32.0
2014-09-05 16:56:00,28.0
2014-10-31 09:53:00,29.0
2014-10-31 11:53:00,30.0
2014-10-31 12:53:00,37.0
2014-10-31 13:53:00,37.0
2014-10-31 14:40:00,35.0
2014-10-31 15:53:00,32.0
2014-10-31 17:53:00,26.0
2014-10-31 18:06:00,26.0
2014-10-31 18:21:00,28.0
2014-11-06 14:29:00,26.0
2014-11-24 10:29:00,29.0
2014-11-24 12:12:00,28.0
2014-11-24 12:42:00,31.0
2014-11-24 12:53:00,29.0
2014-11-24 13:23:00,26.0
2014-11-24 16:53:00,29.0
2014-11-24 18:53:00,28.0
2014-11-24 19:53:00,26.0
2015-02-01 19:53:00,29.0
2015-02-01 20:13:00,26.0
2015-02-14 07:53:00,32.0
2015-02-14 08:06:00,29.0
2015-02-14 08:53:00,31.0
2015-02-14 09:53:00,31.0
2015-02-14 11:22:00,28.0
2015-02-14 11:25:00,28.0
2015-02-14 11:53:00,31.0
2015-02-14 12:20:00,28.0
2015-02-14 12:37:00,28.0
2015-02-14 12:53:00,26.0
2015-02-14 13:53:00,28.0
2015-03-17 00:53:00,28.0
2015-03-17 06:09:00,28.0
2015-04-09 22:53:00,26.0
2015-04-09 23:15:00,30.0
2015-04-09 23:32:00,35.0
2015-04-09 23:53:00,35.0
2015-04-10 00:53:00,29.0
2015-04-10 01:35:00,30.0
2015-04-10 01:53:00,26.0
2015-04-10 02:53:00,28.0
2015-04-10 03:53:00,26.0
2015-04-10 15:53:00,30.0
2015-04-10 16:53:00,29.0
2015-04-21 11:53:00,31.0
2015-04-21 12:53:00,29.0
2015-04-21 13:53:00,26.0
2015-04-21 14:53:00,28.0
2015-04-21 15:53:00,28.0
2015-07-13 06:57:00,30.0
2015-07-13 07:00:00,26.0
2015-08-02 23:09:00,31.0
2015-08-02 23:16:00,26.0
2015-08-14 21:41:00,28.0
2015-10-01 09:53:00,29.0
2015-10-01 10:53:00,26.0
2015-10-02 10:53:00,26.0
2015-10-02 11:53:00,28.0
2015-10-02 12:53:00,26.0
2015-10-24 10:53:00,29.0
2015-11-11 19:47:00,28.0
2015-11-11 19:53:00,30.0
2015-11-11 20:26:00,29.0
2015-11-11 20:30:00,29.0
2015-11-11 20:53:00,30.0
2015-11-11 21:36:00,28.0
2015-11-12 03:53:00,28.0
2015-11-12 05:53:00,28.0
2015-11-12 05:55:00,26.0
2015-11-12 06:38:00,29.0
2015-11-12 06:53:00,35.0
2015-11-12 07:53:00,28.0
2015-11-12 08:53:00,28.0
2015-11-12 09:53:00,31.0
2015-11-12 10:53:00,28.0
2015-11-12 14:53:00,28.0
2015-11-13 12:53:00,28.0
2015-11-19 12:53:00,28.0
2015-11-19 13:53:00,30.0
2015-12-10 16:53:00,29.0
2015-12-14 08:28:00,39.0
2015-12-14 08:36:00,26.0
2015-12-23 22:30:00,40.0
2015-12-23 22:53:00,30.0
2015-12-24 01:53:00,29.0
2015-12-28 06:53:00,26.0
2015-12-28 07:30:00,26.0
2015-12-28 07:41:00,28.0
2015-12-28 08:32:00,28.0
2015-12-28 08:53:00,31.0
2015-12-28 09:53:00,26.0
2015-12-28 13:53:00,26.0
2015-12-28 15:53:00,26.0
2015-12-28 17:05:00,28.0
2016-02-19 08:53:00,26.0
2016-02-19 11:53:00,38.0
2016-02-19 12:53:00,26.0
2016-02-19 13:53:00,32.0
2016-02-19 14:53:00,37.0
2016-02-19 15:53:00,32.0
2016-02-19 16:53:00,35.0
2016-02-19 17:53:00,26.0
2016-02-24 06:53:00,28.0
2016-02-24 07:53:00,32.0
2016-02-24 08:53:00,35.0
