,dewPt
66.0,0.029935821651748015
68.0,0.0273391319033947
70.0,0.026684681641614593
72.0,0.02630467826380679
64.0,0.025776895794629287
57.0,0.02349687552778247
61.0,0.023349096436412767
63.0,0.022715757473399763
55.0,0.021533524742442155
69.0,0.02077351798682655
67.0,0.02075240668805945
65.0,0.020541293700388447
71.0,0.01946461746326634
48.0,0.01938017226819794
54.0,0.019211281878061138
58.0,0.01919017057929404
50.0,0.018957946292855937
73.0,0.018556831616281032
59.0,0.01815571693970613
52.0,0.01771237966559703
62.0,0.017100152001351124
30.0,0.016973484208748522
56.0,0.01661459212970782
51.0,0.01648792433710522
60.0,0.01640347914203682
34.0,0.015854585374092213
46.0,0.015706806282722512
45.0,0.015580138490119912
53.0,0.01520013511231211
43.0,0.01509457861847661
37.0,0.015073467319709509
36.0,0.014904576929572708
49.0,0.014756797838203006
27.0,0.014102347576422902
41.0,0.013637899003546698
39.0,0.013616787704779598
31.0,0.012920114845465293
47.0,0.012814558351629791
28.0,0.01247677757135619
29.0,0.012033440297247087
74.0,0.012012328998479987
44.0,0.011484546529302482
42.0,0.011400101334234082
35.0,0.01129454484039858
33.0,0.01112565445026178
32.0,0.01104120925519338
40.0,0.010851207566289479
38.0,0.010661205877385577
23.0,0.010555649383550076
25.0,0.010344536395879074
21.0,0.00977453132916737
26.0,0.00975342003040027
24.0,0.009415639250126668
22.0,0.008761188988346564
75.0,0.00833896301300456
19.0,0.007811180543827056
18.0,0.007325620672183753
20.0,0.0069667285931430505
16.0,0.006354500928897146
17.0,0.006312278331362945
15.0,0.005277824691775038
13.0,0.004707819625063334
10.0,0.004538929234926533
12.0,0.00413781455835163
14.0,0.004116703259584529
76.0,0.004032258064516129
7.0,0.003905590271913528
11.0,0.003757811180543827
6.0,0.003504475595338625
9.0,0.003462252997804425
8.0,0.002934470528626921
5.0,0.002491133254517818
3.0,0.0021955750717784156
77.0,0.0018789055902719135
4.0,0.0018577942915048134
1.0,0.0017100152001351123
2.0,0.0014566796149299104
-3.0,0.0014355683161628103
-2.0,0.00139334571862861
0.0,0.0013511231210944098
-1.0,0.0011822327309576085
-4.0,0.0010766762371221077
-6.0,0.0009288971457524067
-5.0,0.0009288971457524067
-8.0,0.000823340651916906
78.0,0.0006122276642459044
-7.0,0.0005911163654788043
-9.0,0.0005911163654788043
-11.0,0.00035889207904070256
-10.0,0.00029555818273940213
79.0,0.00025333558520520183
-14.0,0.00016889039013680122
80.0,0.00012666779260260091
-13.0,0.00010555649383550076
-12.0,8.444519506840061e-05
-15.0,2.1111298767100152e-05
