,gust
24.0,0.01118898834656308
22.0,0.010534538084782975
23.0,0.010428981590947475
25.0,0.010133423408208072
21.0,0.009035635872318865
26.0,0.008761188988346564
28.0,0.00831785171423746
20.0,0.007346731970950853
29.0,0.006460057422732647
18.0,0.005193379496706637
30.0,0.004876710015200135
31.0,0.004454484039858132
17.0,0.0038422563756122276
32.0,0.0035466981928728254
33.0,0.003061138321229522
35.0,0.00278669143725722
16.0,0.002111129876710015
36.0,0.0018366829927377133
37.0,0.0017522377976693126
38.0,0.0013089005235602095
40.0,0.0009288971457524067
39.0,0.0008022293531498057
41.0,0.000696672859314305
43.0,0.0005066711704104037
44.0,0.00040111467657490287
45.0,0.00025333558520520183
47.0,0.00021111298767100152
46.0,0.00019000168890390137
49.0,0.00019000168890390137
48.0,0.00016889039013680122
54.0,0.00012666779260260091
52.0,0.00012666779260260091
55.0,4.2222597534200305e-05
51.0,2.1111298767100152e-05
66.0,2.1111298767100152e-05
59.0,2.1111298767100152e-05
53.0,2.1111298767100152e-05
