,min_temp
72.0,0.0014355683161628103
75.0,0.0014144570173957101
74.0,0.0013722344198615099
73.0,0.0013511231210944098
71.0,0.0012877892247931094
69.0,0.001266677926026009
34.0,0.0012033440297247087
70.0,0.0012033440297247087
37.0,0.0011822327309576085
65.0,0.0011822327309576085
35.0,0.0011188988346563082
63.0,0.0011188988346563082
30.0,0.0010555649383550076
44.0,0.0010555649383550076
36.0,0.0010344536395879074
31.0,0.0009922310420537072
54.0,0.000971119743286607
46.0,0.000971119743286607
67.0,0.000971119743286607
68.0,0.0009288971457524067
64.0,0.0008866745482182063
33.0,0.0008866745482182063
42.0,0.0008866745482182063
76.0,0.0008866745482182063
39.0,0.0008655632494511062
51.0,0.0008655632494511062
41.0,0.000823340651916906
57.0,0.000823340651916906
59.0,0.000823340651916906
77.0,0.000823340651916906
60.0,0.000823340651916906
58.0,0.000823340651916906
45.0,0.0008022293531498057
48.0,0.0007811180543827056
53.0,0.0007811180543827056
56.0,0.0007811180543827056
78.0,0.0007811180543827056
66.0,0.0007600067556156055
29.0,0.0007600067556156055
40.0,0.0007600067556156055
62.0,0.0007388954568485054
50.0,0.0007388954568485054
47.0,0.0007388954568485054
28.0,0.000696672859314305
49.0,0.000696672859314305
38.0,0.000696672859314305
52.0,0.0006755615605472049
43.0,0.0006122276642459044
55.0,0.0006122276642459044
27.0,0.0005911163654788043
61.0,0.0005911163654788043
26.0,0.0005277824691775038
25.0,0.0004855598716433035
80.0,0.00046444857287620335
24.0,0.00038000337780780274
79.0,0.00038000337780780274
81.0,0.00035889207904070256
22.0,0.00033778078027360244
32.0,0.00031666948150650226
19.0,0.00031666948150650226
15.0,0.00029555818273940213
17.0,0.00023222428643810168
23.0,0.00023222428643810168
13.0,0.00019000168890390137
21.0,0.00019000168890390137
83.0,0.00016889039013680122
16.0,0.00016889039013680122
14.0,0.00016889039013680122
85.0,0.00014777909136970107
82.0,0.00014777909136970107
84.0,0.00014777909136970107
20.0,0.00012666779260260091
18.0,0.00010555649383550076
12.0,0.00010555649383550076
11.0,8.444519506840061e-05
86.0,8.444519506840061e-05
9.0,6.333389630130046e-05
90.0,6.333389630130046e-05
88.0,4.2222597534200305e-05
6.0,4.2222597534200305e-05
10.0,4.2222597534200305e-05
5.0,2.1111298767100152e-05
89.0,2.1111298767100152e-05
91.0,2.1111298767100152e-05
7.0,2.1111298767100152e-05
