,precip_hrly
0.0,0.7453344029724709
0.01,0.035678094916399256
0.02,0.019021280189157237
0.03,0.013363452119574397
0.04,0.009436750548893768
0.05,0.007747846647525756
0.06,0.00551004897821314
0.07,0.004306704948488431
0.08,0.0035466981928728254
0.1,0.0030189157236953216
0.09,0.0029978044249282217
0.11,0.0023433541631481167
0.12,0.002322242864381017
0.13,0.0018577942915048134
0.14,0.0017733490964364127
0.15,0.001541124809998311
0.17,0.001266677926026009
0.16,0.0012033440297247087
0.18,0.000823340651916906
0.22,0.0008022293531498057
0.23,0.0007600067556156055
0.19,0.0007177841580814051
0.21,0.0005911163654788043
0.2,0.0005700050667117041
0.31,0.0005700050667117041
0.25,0.0005277824691775038
0.29,0.0004433372741091032
0.28,0.00042222597534200305
0.24,0.00042222597534200305
0.33,0.00040111467657490287
0.3,0.00035889207904070256
0.27,0.00031666948150650226
0.41,0.00029555818273940213
0.34,0.00025333558520520183
0.32,0.00025333558520520183
0.35,0.00025333558520520183
0.26,0.00023222428643810168
0.38,0.00023222428643810168
0.45,0.00019000168890390137
0.54,0.00016889039013680122
0.5,0.00016889039013680122
0.42,0.00016889039013680122
0.59,0.00016889039013680122
0.37,0.00014777909136970107
0.36,0.00014777909136970107
0.51,0.00012666779260260091
0.44,0.00012666779260260091
0.53,0.00012666779260260091
0.62,0.00012666779260260091
0.39,0.00012666779260260091
0.4,0.00010555649383550076
0.75,0.00010555649383550076
0.47,0.00010555649383550076
0.48,0.00010555649383550076
0.68,8.444519506840061e-05
0.6,8.444519506840061e-05
0.99,8.444519506840061e-05
0.56,8.444519506840061e-05
0.7,8.444519506840061e-05
0.71,6.333389630130046e-05
1.02,6.333389630130046e-05
1.1,6.333389630130046e-05
0.66,6.333389630130046e-05
0.52,6.333389630130046e-05
0.63,6.333389630130046e-05
0.64,6.333389630130046e-05
0.43,6.333389630130046e-05
0.69,6.333389630130046e-05
0.65,6.333389630130046e-05
0.86,4.2222597534200305e-05
0.58,4.2222597534200305e-05
0.83,4.2222597534200305e-05
0.93,4.2222597534200305e-05
0.87,4.2222597534200305e-05
0.57,4.2222597534200305e-05
0.61,4.2222597534200305e-05
0.78,4.2222597534200305e-05
0.94,2.1111298767100152e-05
0.96,2.1111298767100152e-05
1.21,2.1111298767100152e-05
0.8,2.1111298767100152e-05
0.89,2.1111298767100152e-05
1.13,2.1111298767100152e-05
1.07,2.1111298767100152e-05
0.95,2.1111298767100152e-05
0.73,2.1111298767100152e-05
1.03,2.1111298767100152e-05
0.49,2.1111298767100152e-05
0.81,2.1111298767100152e-05
1.42,2.1111298767100152e-05
0.85,2.1111298767100152e-05
0.79,2.1111298767100152e-05
0.46,2.1111298767100152e-05
0.76,2.1111298767100152e-05
0.67,2.1111298767100152e-05
1.09,2.1111298767100152e-05
1.25,2.1111298767100152e-05
0.82,2.1111298767100152e-05
1.11,2.1111298767100152e-05
